lyrics,artist,song_title,featuring
"[Hook: Lil Wayne]
And when we hit the club
All the bitches know our names
It's Curren$y, Weezy F Baby, Mack Maine
And when we leave the club, everybody know we came
Cause all the ugly bitches left standin in the rain
And when we hit the club
All the bitches know our names
It's Curren$y, Weezy F Baby, Mack Maine
And when we leave the club, everybody know we came
Cause all the ugly bitches left standin in the rain

[Verse]
Im that nigga, the nigga nigga
The nigga nigga
The Crystal swagger, got shit off in my basement, like Tigger
But mama ain't cookin up shit
Got my lil mama cookin up bricks
I be hookin up with
Them bitches, who be hookin up with
Them bitches, who can hook me up with
Them bitches, who be hookin up with
Them niggas who can hook me up, when they get with em, i send my hittas to get em
And his reply was ""you know who you fuckin' with?""
A gun up in ya face and that's all you can come up with?
I'm rawer than a young dick in some bitch, you little niggas
Im right here, you ain't comin
You niggas just fuckin around
I be puffin the pound
By myself, i don't need nobody else
I need help, shit
I leave whelps on ya bitch from my D&G belt
Hot boy in ya mouth i melt

[Hook: Lil Wayne]
And when we hit the club
All the bitches know our names
It's Curren$y, Weezy F Baby, Mack Maine
And when we leave the club, everybody know we came
Cause all the ugly bitches left standin in the rain
And when we hit the club
All the bitches know our names
It's Curren$y, Weezy F Baby, Mack Maine
And when we leave the club, everybody know we came
Cause all the ugly bitches left standin in the rain",Lil Wayne,1  King,
"[Girl]
I have no doubt, that I could love you forever
The only trouble is, you really don't have the time
You got one night only [x5]

[Lil Wayne]
And when they see me, they C-3 baby

She marks her calendar, reschedule every plan
She knows when I'm coming, she's more than a fan
She got my tour dates, she also got a man
But even homie gotta understand
She got (one night only [x2])
And no one gon take it from her, nothing's gon' make her miss it
And when I go she'll miss it
But she'll never forget that (one night only [x2])
Next day another city, she's never coming with me
I'm nothing more than memories
Memories she keep forever
She always dream about me, wish she could sleep forever
She get her fit together, she get her shit together
After my concert, she wanna get together
I get her on my bus, we chill and sit together
She has no curfew, I can take the bitch wherever
Come off a bit respectful, I'm on a different level
I got her feelin special, then she remember
She got (one night only [x8])

[Lil Wayne]
But I can make you love me forever
Baby I can make you love me forever

Now all the hoes hate her, the dudes wanna date her
Her nigga saw her leave, she deal with him later
Right now she with the greateast, I'm even homie's favorite
How could he even blame her, she doin him a favor
She let that nigga love her, she let that nigga save her
But when I come she let a nigga take her
Take her for (one night only [x2])
She turnin off her phone, she turnin off her pager
Tell hime that shit on roam, that nigga goin in labor
(one night only [x2])
These niggas hate the game, but they can't block the layup
And she go home to him, he sicker than a patient
He waitin at the table, no breakfast at the table
He ask her where she been, she say stop trippin it was (one night only [x8])

[Lil Wayne]
But I can make you love me forever
I can make you love me forever, yeah

[Lil Wayne]
Them older bitches jealous, say she's a groupie whore
But every woman in this world was you before
See everybody wish to porn that superstar
But when it come true, how true you are
You got the (one night only [x2])
See, I can't be her man, and she can't be my girl
Oh, but we fuck like it's the end of the world
And we got (one night only [x2])
I got a wife, she knows, my wife ain't on the road
When she come to my room, she take off all her clothes
Say anything goes, tomorrow same clothes
We probably order movies, we probably lay together
But we can't stay together, that's when I gotta tell her

[Girl]
I have no doubt, that I could love you forever
The only trouble is, you really don't have the time
You've got one night only [x4]

[Lil Wayne]
Yeah",Lil Wayne,1 Night Only,
"[Intro: DJ Drama]
Baby, this dedicated to you
'Cause you make it look so good
So easy

[Pre-Chorus 1: Lil Wayne]
She said, ""I love you Tunechi,"" I said I love me too
She said, ""Can I come through Tunechi?""
Bitch, come through, we through
And I'ma go plum dumb in it and we all need fruit
She said, ""Babe, you so crazy and I'm your crazy glue""

[Chorus: Lil Wayne]
Because you make it look good, make it look easy
I never come down, I'm too high to see me, hold on
I make it look good, I make it look easy, yeah
I never cool down, I'm too hot for TV, hold on
She make it look good, she make it look easy, yeah
She never come down, she never come easy, no
We make it look good, we make it look easy, yeah
We never cool down, we too hot for TV

[Verse 1: Lil Wayne]
Cut all my exes off, higher than cholesterol
Tried to play professor and the bitch take a semester off
Wishing on a superstar, trippy life is too bizarre
Quickie in my roofless car, bust a nut and blew the horn
When she snort this Loius Vuitton and she keep the new ones on
Life in living color, she the one I spend them blue ones on
And it's right where you belong, girl, he make you Uber home
When he calls she threw the phone, I just cut the music on
Waiting for some Dominos, listenin' to some Commodores
Acting like some carnivores, after that we comatose
I ain't tryna bullshit my baby and she know me better
Told her, more money, more Prada, and the more the better

[Pre-Chorus 2: Lil Wayne]
She said, ""I love you Tunechi""
I said I love me too
She said, ""What you up to, Tunechi?""
I said, ""That's up to you""
She said, ""I don't want much Tunechi""
I said, ""And you'll need two""
She said, ""Babe, you so crazy and I'm your crazy glue""

[Chorus: Lil Wayne]
Because you make it look good, make it look easy
I never come down, I'm too high to see me, hold on
I make it look good, I make it look easy, yeah
I never cool down, I'm too hot for TV, hold on
She make it look good, she make it look easy, yeah
She never come down, she never come easy, no
We make it look good, we make it look easy, yeah
We never cool down, we too hot for TV, hold on

[Verse 2: Lil Wayne]
Your ex, he so petty, fast food to her veggie
Gas you with unleaded, I had to 211, yeah
Now you're too hot for TV, but I tell you don't sweat it
Don't wax or trim them edges, I treat that bush like Reggie, yeah
But I don't smoke no Reggie, I give her Coke, no Pepsi
And her best friend a lesbian and I want more affection, yeah
Been fucking on the legend, the Michael Jackson, Jesse
Lil Tunechi, Elvis Presley, Hendrix, Future, past or present, yeah
I'm too hot for TV, too high for my exes, I'm rated triple x's
Too much drugs, sex, and weapons, yeah
And I'm too high to see me, diamonds shine in 3D
No Fugazi CZ, y'all boys really PG, damn

[Verse 3: Lil Twist]
I make it look good, I make it look easy
I get it from Weezy, been too hot for TV
She said I love you Twizzy, I said I love me too
Now bring that big ass over here and come do what we do
She pull up on the kid, she suck my dick and try to kiss it
I told her, ""Hold it"", call her friends
If they ain't fucking, can't get in
I fuck her on the kitchen counter, drop my kids off on that chin
I tell her face down, ass up, I wear it out like a new trend, oh shit
Lil Twist, drop a four, four, four
Fuckin' crack down on the Act
I'm sippin' slow, slow, slow, yeah
I'm a lil freak on my camera shit
I got that Hannah Montana, bitch
Pull out my dick, can you handle it?
Then

[Pre-Chorus 3: Lil Wayne]
She said, ""I love you, baby,"" I said I love me too
She said, ""Can I come through, baby?""
Bitch, come through, we through
I'ma go bananas in it, you know we all need fruit
She said, ""Babe, you so crazy and I'm your crazy glue""

[Chorus: Lil Wayne]
Because you make it look good, make it look easy, yeah
I never come down, I'm too hot to see me, hold on
Make it look good, make it look easy, yeah
I never cool down, I'm too hot for TV, hold on
She make it look good, yeah, she make it look easy, yeah
She never come down, she never come easy, no
We make it look good, we make it look easy, yeah
We never cool down

[Bridge: Lil Wayne]
Don't I make it look good?
Don't I make it look easy?
I could never come down
I could never come down, no
Don't she make it look good?
Then she never come easy, no
We could never cool down
Too hot for TV, yeah
That's some sick shit

[Outro: Lil Wayne]
Skateboarding these days is going awesome. Umm, new tricks I've landed. Umm, y'all don't really know nothing about that shit. When I say ""y'all"", umm, I don't mean none of my fans, I don't mean people who don't skate, I don't mean people who do skate. It's just a lil, you know what I mean, it's a skate thing. You run into a skater, he, he or she, they'll run into ya and let you know what I mean. We always think that y'all don't know what the fuck we talking about. But uh, you see how I put myself in that ""we"", like I'm a real skater? It's all good though, shout out my skaters!
Umm, yeah, it's going well these days. I'm 'bout to drop a new part. I don't even know if you know what a part is. But I'm about to drop a new part and you'll see the tricks that I've learned. And uhh, when I learn some new ones, I'm not gonna tell you what they are because if I drop another part, then I already told you what tricks I learned. You gon' be waiting to see them shits. So, you know, now that go. You run into a skater there",Lil Wayne,2 Hot for TV,Lil Twist
"[Verse 1: Lil Wayne]
Ok, Gucci backpack, fresh black Adidas
I'm rollin' on a pill, rollin' up some reefers
Declining all the Keishas, replying to the Kims
Still knockin' boots like hammers on tims
I'm a mothafucker baby, Weezy F. Baby
Yeah I get it wet and I keep it wet baby
I can make a dyke say she leaving that lady
I can make a lady say she leaving that pussy ass nigga
That gave her that baby, now she with
Weezy F., Weezy F., Weezy F., Weezy F. Baby
Hahaha, Weezy F. Baby, hahaha, yeah
Whatcha gon', whatcha gon', whatcha gon' do?
When Nina Ross come and put the pussy on you
You probably still a virgin, I'mma bust your little cherry
And I'mma come through in something so cherry
And I'm sittin' on Pirellis, bumpin' Makaveli
Showed your girlfriend my house she think I live in Italy
Just bought a jet I'm 'bout to take that bitch to L.A
Bitch I never met I'm 'bout to meet that bitch in L.A
Ooh, I'm feeling myself
I'm so fly shawty think I really fly stealth
I'm so paid shawty I could really buy stealths
And I'm feeling my belt, and I'm feeling my sneaks
'Cause I don't see them on anybody
Got the semi by me for anybody
Yeah I'm from uptown, yeah I'm from uptown
Yeah, I'm from uptown, Eastside, I'm lighting up two blunts at one time
And I thank God I can say fuck one time
I'm sipping on two cups at one time
And I thank God I can say fuck one time
Fuck one time, fuck one time, fuck one time, thank God

[Verse 2: Lil Wayne]
Louis V. bag, all black hammer
Louis V. shoes with the Louis bandanna
On the Louis phone case with the sidekick case
Might put L.V. on the side of my bitch face
Man I'm a dog, I go so hard
Man I'm a dog, 'bout to come in your yard
'Bout to, 'bout to cum in your lady
Weezy F., Weezy F., Weezy F
Baby, hahaha
Weezy F., Weezy F., Weezy F
Baby, hahaha
And Young Mulah, baby
Can't forget that
How would you do that?
I beat that track 'til that bitch blue 'n black
It's Weezy F. the monster, even F your mama
Even X your mama, leave you next to mama
You are so pussy gonorrhea's your aroma
Blind gynecologist could see that your vagina
Who? Me? Me? Turn beef to balanya
And your girl ride me like a Honda
Better yet she ride me like Travis Pastrana
Fuck the X Games, it's ecstacy games
Show me a mirror cause I'm so glad to meet Wayne
And I'm feeling myself
So fly shawty think I really fly stealths
But I'm so paid shawty I could really buy stealths
But I'm feeling my belt, I'm feeling my sneaks cause
I ain't never seen them on anybody
Got the semi by me for anybody
Yeah I'm from uptown, yeah I'm from uptown
Eastside!",Lil Wayne,30 Minutes To New Orleans,
"[Intro]
Yessir!
They can't stop me
Even if they stopped me
Hahahah, yeah

[Refrain]
I'm on it, ooh, I'm on it
I'm so on it, and however you want it
You can get it tonight ho, and all night ho
I get the beat from (Maestro), fuckin' right, ho!

[Verse]
I might go crazy on these niggas, I don't give a motherfuck
Run up in a nigga house and shoot his grandmother up
What! What! I don't give a motherfuck
Get your baby kidnapped and your baby-mother fucked
It's Tha Carter 3, bitch, better put your supper up
Hollygrove, I throw it up like I'm trying to lose my gut
Fuck is up? Beat him up like a million uppercuts
Got a million duffled up for the fuck of it, shit
Get on my level, you can't get on my level
You gon' need a space shuttle or a ladder that's forever
However, I'm better, if not now, then never
Don't you ever fix your lips unless you 'bout to suck my dick
Bitch, swallow my words, taste my thoughts
And if it's too nasty, spit it back at me
Two more inches, I'd have been in that casket
According to the doctor, I could've died in traffic
Bounce right back on them bitches, like Magic
Abracadabra, I'm up, like Viagra
I just do this shit for my clique, like Adam Sandler
I control hip-hop and I'mma keep it on my channel
Watch me, bitch, watch me
Bitch, watch me, but they cannot-see me, like Hitler
It's the New Orleans nightmare
Money so old, it's growing white hair
Young Money, baby, yeah we right here
I'ma make sure we ball 'til we fall like tears
And mama, don't cry, your son can handle his
I got her out the hood and put her in the hills
Yeah, when I was 14, I told my mom we will see better days
And sure enough, I got Miss Cita in a better place
When I was 14, I told my mom we will see better days
And sure enough, we did exactly what I said
I tell my girl ""When you fuck me, better fuck me good
'Cause if another girl could, she gon' fuck me good""
No sitting at the table if you bringing nothing to it
And I get straight to it like it's nothing to it
Yeah, I got game like Stuart
Scott, fresh out the ESPN shop
And when SportsCenter poppin', everything stoppin'
But you can't fool me, I know what you watchin'

[Refrain]
Me! You watch me! You watch me
'Cause I be, Weezy, must see, T.V., C3
Nigga, that's me, and I'm me, I'm me, times three
So retreat, or suffer defeat, I'm back, 3-peat
C3!",Lil Wayne,3 Peat,
"[Lil Wayne talking]
It's the real shit, yeah
500 Degreez this time biotch
Yes sir, you already know

[Lil Wayne verse 1]
You see me? I eat, sleep, shit, and talk snaps; so fuck rap
Man I got weed, pills, pistols, all crack
Bitch niggas where ya hearts at?
Ya'll ain't stuntin' like us
Bitch niggas where ya cars at?
They like, ""Wayne why the fuck you dressed in all black?""
I'm about to bring CMR back
And all the lames, we done lost that
And all we got is Weezy, Weezy, and Lil' Weezy to fall back
I'm about to lock it from the summer to the fall and back
""Its Weezy baby!"" The ballers back
And the wheels on my car you got all of that
Stop playing, I've been balling jack
You don't want my Glock spraying - I hit all them cats
You don't want my stomach ache - I shit on them cats
I get all them gats - Fresh and B it's all a rap!
If I'm the only Hot Boy what do you call that?

[Hook]
You don't want to fuck with Weezy
You don't want to fuck with Weezy

[Lil Wayne]
Bitch what? I'll bust ya ass up
Don't even go there round
Niggas get your cash up
We probably need to clash up
And shit got me 'bout ass up
They finding niggas in they shit with they ass up
It ain't October 31st but we gone mask up - and guess what
And I heard they got a nice chain
And for the right price I'll bust the right brain
And mommy hot cause pull up in that white thang
Yo nigga might be fly but I still get trifling
Riding through the city just me and my friend
Friday night special, professional tight aim
A gangsta is who you hearing
Me in my building with 20 bricks in the ceiling
I'm more real than, I got more scrill than
Got more skill than them there
I'm a Cash Money Millionaire

[Hook]
You don't want to fuck with Weezy
You don't want to fuck with Weezy
Hot Boy, Hot, Hot, Hot Boy, Hot, Hot, Hot Boy
Hot, Hot, Hot Boy

[Lil Wayne]
Baby let me get the keys to the rover
No, let me get the keys to the house in Eastover
So I can throw a 500 Degreez platinum party, then the after party
Me and my Squad stomping in this bitch, fuck a Kappa party
Don't go to rapper parties - I'm no rapper man
But when the homies come home we throw a monster jam
And all my people tote chrome - we some monsters man
We gone mob to the promise land
I bought big - I'm a Tymer man
Son of a Stunna - still a girl fuck with a hustler!
Weezy keep it gutter for ya Baby Bubba
Baby blue Mercedes Coupe - Got it bullet proof
Make me shoot my 80 duke at your fucking roof
You're fucking with a big dog, nigga fucking woof
Mr. S-Fucking-Q - I'm the fucking truth
Three stripes, maybe Nikes, lot of ice fucking ooohf!
That's 500 Degreez!

[Hook]
You don't want to fuck with Weezy
You don't want to fuck with Weezy
Hot Boy, Hot, Hot, Hot Boy, Hot, Hot, Hot Boy
Hot, Hot, Hot Boy
Bitch get your mind right, Bitch get your mind right",Lil Wayne,500 Degreez,
"[Intro: Nicki Minaj]
Tunechi
Barbie
Young Money

[Verse 1: Nicki Minaj]
I been smokin' gas, killin' bitches
Man, I feel just like a gang-star
Cover up my face like a ninja
In this Alexander Wang scarf
I'ma drop a bag, they gon' pull up
And then they gon' let them things off
I ain't switchin' up my hairstyle
But my niggas let it bang off
Percocets and Addies, lookin' for a fuck I could give
All these hatin' bitches plottin', why they can't let me live?
Me and Weezy in LIV
When my album drop these bitches is gon' cry in the car
All your yes-men out here lyin', had you dyin' to spar
You was tryin' too hard
I'm out here livin' though, I am out here livin' though
Me and Tunechi winnin' though
Slimes out here twinnin' though
I am on my pivot though, I am just so pivotal
Bands, I go get it though, Weezy on his pedestal
A lot of gang shit, a whole lot of gang shit
All these plaques is pilin' up, it's nowhere to hang shit
These bitches pussy though
Pushed them out my pussy though
Niggas want my cookie though
'Cause it taste like cookie dough
Smoke, I got a free pack; flow sick, get a Z-pak
Niggas don't mean my race when they say ""She blacked""
I am the Queen (Facts), I'm everything she lacks
Bitch get on your kneecap, I don't mean C. Kaep'
I'll get you checked, pussy; I'll get you a free pap
You bitches don't ball out, you get your QB sacked
I'm OBJ, hoes; break records like ankles
I've been that bitch since ice cream with the sprinkles
Tell 'em carry on, they gon' miss me when I'm gone
I'm gone

[Chorus: Lil Wayne]
Yeah, yeah, yeah, yeah
I just fucked like five hoes in my mansion
Got 'em feelin' like they five star, yeah
Your hoes throwin' fits, my bitches patient
Man, I feel just like a doctor, yeah
Pop some X with my exotic dancer
She start cryin' and said her job hard, yeah
Switch her whip out, put her in a Mercedes
Now she screamin' Rest In Peace to Honda

[Verse 2: Lil Wayne]
Cocaine on her navel, lick it so my tongue can go HAM
Put my face up in her pussy and my thumb in her ass
Make her do the jumpman, ayy
I put her face down in the pillow, 'bout to smother her ass
A fly yellow bone to me, I told her to come get a tan
Now she butter pecan
Oh, I got a Draco in the sofa, an Eggo in the toaster
A cradle in the chocha, the yayo doing yoga
And I wake up, smell the Folgers, I don't know how I woke up
'Cause I was in a coma, but now I'm in the moment
Wearing high socks on the front porch
Two cups with the mud flowin'
The plug ain't charge me nothin' for it
I cried tears of fuckin' joy
LVs on my luggage, boy
Don't ask me where I'm fuckin' goin'
I pull up with my skaters
Make 'em beat you with their fuckin' boards
Sharp shooters like pool sharks
Shoot you down in the Walmart
Shoot you down in the parkin' lot
Shoot you down in the food court
Hit your crib in the Steamboat
Then disappear on the speedboat
Act a jackass like Steve-O
Then disappear like Ne-Yo
Leave a red flag on your screen door
Leave a red flag around your queen's throat
Leave a blood stain on your mink floor
Like a red stain on clean snow
That money gang, 500 gang on that money train
And we walkin' around with bloody fangs
Playin' hunger games; mmm-yummy, man
And we storm the block, lightning and thunder came
When my youngest came, that's your mother's name
Hit the address, knockin' down picture frames and other things
Throwin' up Eastside like stomach pains
Sugarcane get took to Spain, a kilo fell and it shook the plane
A nigga screamed, the hoes wouldn't complain
I brought the AK with the knife, so the butcher came
And the Nina came, and her sister came
And what's her name, it’ll go Buka Bang
You don't even know where to put the blame, that's cold

[Chorus: Lil Wayne]
I just fucked like five hoes in my mansion
Got 'em feelin' like they five star
Your hoes throwin' fits, my bitches patient
Man, I feel just like a doctor
Pop some X with my exotic dancer
She start cryin' and said her job hard
Switch her whip out, put her in a Mercedes
Now she screamin' Rest in Peace to Honda

[Outro]
Switch her whip out put her in a Mercedes
Now she screamin' Rest in Peace to Mazda
Put her ass up in a dumb Mercedes
Now she screamin' Rest in Peace to Smart Car
Switch her, put her in Mercedes
Now she screamin' Rest in Peace to Kia
Switch her whip out put her in a Mercedes
Now she screamin' Rest in Peace to Uber
That's some sick shit",Lil Wayne,5 Star,Nicki Minaj
"[Chorus: Harry Belafonte]
Six-foot, seven-foot, eight-foot bunch
Six-foot, seven-foot, eight-foot bunch

[Verse 1: Lil Wayne]
Ahem, excuse my charisma, vodka with a spritzer
Swagger down pat; call my shit Patricia
Young Money militia and I am the commissioner
You no wan' start Weezy ‘cause the 'F' is for finisher
So misunderstood, but what's a world without enigma?
Two bitches at the same time; synchronized swimmers
Got the girl twisted ‘cause she open when you twist her
Never met the bitch, but I fuck her like I missed her
Life is the bitch, and death is her sister
Sleep is the cousin—what a fuckin' family picture
You know Father Time, and we all know Mother Nature
It's all in the family, but I am of no relation
No matter who's buyin', I'm a celebration
Black and white diamonds; fuck segregation
Fuck that shit, my money up, you niggas just Honey Nut
Young Money runnin' shit, and you niggas just runner-ups
I don't feel I done enough, so I'ma keep on doin' this shit
Lil Tunechi or Young Tuna Fish

[Chorus: Harry Belafonte]
Six-foot, seven-foot, eight-foot bunch
Six-foot, seven-foot, eight-foot bunch

[Verse 2: Lil Wayne]
(I'm goin' back in…)
Okay, I lost my mind, it's somewhere out there stranded
I think you stand under me if you don't understand me
Had my heart broken by this woman named Tammy
But hoes gon' be hoes, so I couldn't blame Tammy
Just talked to Moms, told her she the sweetest
I beat the beat up; call it self-defense
Swear, man, I be seein' through these niggas like sequins
Niggas think they He-Men, pow, pow, the end
Talkin' to myself because I am my own consultant
Married to the money, fuck the world; that's adultery
You full of shit, you close your mouth and let yo' ass talk
Young Money eatin', all you haters do is add salt
Stop playin', bitch, I got this game on deadbolt
Mind so sharp I fuck around and cut my head off
Real nigga all day and tomorrow
But these motherfuckers talkin' crazy like they jaw broke
Glass half empty, half full, I'll spill ya
Try me and run into a wall; outfielder
You know I'ma ball 'til they turn off the field lights
The fruits of my labor, I enjoy 'em while they still ripe
Bitch, stop playin', I do it like a king do
If these niggas animals, then I'ma have a mink soon
Tell 'em bitches I say put my name on the wall
I speak the truth, but I guess that's a foreign language to y'all
And I call it like I see it, and my glasses on
But most of y'all don't get the picture 'less the flash is on
Satisfied with nothin', you don't know the half of it
Young Money, Cash Money
Paper chasin', tell that paper, ""Look, I'm right behind ya""
Bitch, real Gs move in silence like lasagna
People say I'm borderline crazy, sorta kinda
Woman of my dreams, I don't sleep so I can't find her
You niggas are gelatin, peanuts to an elephant
I got through that sentence like a subject and a predicate
Yeah, with a swag you would kill for
Money too strong; pockets on bodybuilder
Jumped in a wishin' well, now wish me well
Tell 'em kiss my ass, call it kiss and tell

[Verse 3: Cory Gunz]
Word to my mama, I'm out of my lima bean
Don't wanna see what that drama mean
Get some Dramamine
Llama scream, hotter than summer sun on a Ghana queen
Now all I want is hits, bitch, Wayne signed a fiend
I played the side for you niggas that's tryna front, and see
Son of Gun, Son of Sam, you nigga's the son of me
Pause for this dumber speech, I glow like Buddha
Disturb me, and you'll be all over the flo' like Luda
Bitch, I flow like scuba, bitch, I'm bold like Cuba
And I keep a killer ho, she gon' blow right through ya
I be mackin', 'bout my stackin', now I pack like a mover
Shout to ratchet for backin' out on behalf of my shooter
Niggas think they high as I, I come laugh at your ruler
Cash Money cold, bitch, but our actions is cooler
Wayne, these niggas out they mind
I done told these fuck niggas so many times
That I keep them bucks steady on my mind
Tuck these, I fuck these on your mind, pause
To feed them, on my grind, did I get a little love
Keep throwin' my sign in the middle
Hit 'em up, piece on my side
‘Cause ain't no peace on my side, bitch
I'm a man, I visit urinals abroad
Tune told me to, I'm shootin' when the funeral outside
I'm uptown, thoroughbred, a BX nigga, ya heard? Gunna",Lil Wayne,6 Foot 7 Foot,Cory Gunz
"[Hook]
And when they hear that new Weezy
All the dough boys go crazy
And watch the dough boys go crazy
Weezy f. ya heard yea I do it for the money baby that's my word
And when they hear that new weezy it remind them of that old baby
93 94 baby yea before the stunna yea the real bird man
I'm the Birdman Jr

[Verse 1: Lil Wayne]
Yeah, jumped in the game as a youngin' no sisters no brothers
All i had was some money (yea)
Learn how to work the stove and the oven
In the kitchen tryin' make a 20 turn in to a 100 (yea)
The pot runnin over wit hot water
Throw a 8 ball in it watch it come back harder (harder)
The come back kid come back carter yea
That's what they screamin' loud as Aretha
And for them Franklins we pop at the ceaser
Ridin round with the whole block with the speakers (yea)
We in Miami we stoppin at teasers (yea)
Have a cigar and a shot of tequila (patron)
I use to wear two socks with my sneakers (hey)
Back when i was puttin all my rocks in my sneakers
Yea but now i'm rockin ya speakers
I'm all grown up now i'm rockin with divas yea
I could rock 'em to sleep
But I rather be at home straight rockin the kibeler
I'm up in traffic bobbin and weavin
I'm in and out like pussy and penis
It's lunch time I'm a cook up genious(yea)
20 for Serena 10 for the Venus
Yea i can get ya higher then a tennis skirt
Never filled out a application got plenty work

[Chorus]

[Verse 2: Lil Wayne]
I'm lookin at 24 bricks on the counter
I'll make them dissapear in 24 hours (gone)
(yea) i'm really so honest that hot boy shit it's really so behind us
We on some new shit you niggas can't find us
That's like lookin in the rough for a diamond
We might hook a nigga up on consignment
And for the rest his life we keep an eye on 'em
Bussiness bad, fuck you pay me
Oh you had a fire, fuck u pay me
I'm might run through 80 in a week
But i can make a quarter million dollars off 1 street
Top in the game off one feet
Then i landed on two and i walked on through
What can you do when you living like me
Get fly in the house leave the pimpin in the street
As quiet as a mouse when you dippin through the street
If you lookin for some work you probably run into me
And on the humble the number still cheap
But the judge got numbers for a nigga to steep
Yea from a youngin to a g
Weezy baby from bundle to a key

[Hook]
And when they hear that new weezy all the dough boys go crazy
And watch the dough boys go crazy
Weezy f. ya heard yea i do it for the money baby that's my word
And when they hear that new weezy it remind them of that old baby
93 94 baby yea before the stunna yea the real bird man
I'm the bird man jr

[Verse 3: Birdman]
I remember havin' a mouth full a gold outta control
And jumped in this game upon one roll
And got the game off the floor got the game on the low
Nigga cookin this raw dope
Never thought when i see the light i'll see the limo tints grindin with the street strips
This the family homie where g's man up with the hammers on 'em
I'm where the danger be nigga where eye contact will get you natural beef bitch
Nigga where lil g's have big straps back in the game nigga the g's had the big macs yea
Call your national guard niggas cause we don't give a fuck well pull yo car nigga shit
And had a g4 iced up loaded with bitch niggas stunna islands same night
And i remember when i first saw puff nigga i was in the projects camouflaged up nigga
Like fuck them shiny suits we hood nigga white tee's is what we do
Yea we young and tough nigga fuck the other foes man we's is standin up
Nigga jumped in the same lane same niggas all shouting out the same thing
Like 93 wasn't a shame a nigga playin with me and i'll bust his mother f**kin brain
I'll cook a thing nigga give it to the lil homie keep the change nigga
Deep boys deep in the flame know it ain't nothing but the bling bling king
Certified of made man me and the j.r so kiss a nicca pinky ring

[Hook]
And when they hear that new weezy all the dough boys go crazy
And watch the dough boys go crazy
Weezy f. ya heard yea i do it for the money baby that's my word
And when they hear that new weezy it remind them of that old baby
93 94 baby yea before the stunna yea the real bird man
I'm the Birdman jr",Lil Wayne,93 94 Baby,Birdman
"[Intro]
I, I see you with your palms in your pants
But me, me, oh me, I got the world in my hands
I make it spin on my finger, I'm a critical thinker
I'm a hell of a smoker, and a bit of a drinker, yeah!

[Chorus]
I, I see you with your palms in your pants
But me, me, see me, I got the world in my hands
I make it spin on my finger (yeah) I'm a critical thinker (yeah)
I'm a hell of a smoker, and a bit of a drinker

[Post-Chorus]
I know your name, yeah
Your name is unimportant, yeah (haha!)
We in the belly of the beast, yeah
And she thinking 'bout abortion, damn

[Verse 1]
Uhh, I woke up this morning, dick rock hard
Ashed my blunt in my Grammy Award
You can save your bullshit on your memory card
If this real nigga business, then you niggas unemployed
Jumped on the celly, called Makaveli
He say he was gravy, I say I was jelly
Looked in the mirror, said ""You's an ill nigga""
Then I ran to the money like track and field nigga
Now I think I'll have me a coffee with six sugars
In a world full of ass-kissers and dick pullers
I'm tryna walk a straight line but the line crooked
I'm shooting for the stars, astronauts dodge bullets
Yeah, I bought a brand new attitude
The hate is music to my ears, I got my dancin' shoes
Sometimes we question shit that there is no answer to
But I just built a house on I Don't Give a Fuck Avenue

[Chorus]
I, I see you with your palms in your pants (haha!)
But me, me, see me, I got the world in my hands
I make it spin on my finger (yeah) I'm a critical thinker (yeah)
I'm a hell of a smoker (yeah) and a bit of a drinker (hey!)

[Post-Chorus]
I know your name, yeah
Your name is unimportant, yeah
We in the belly of the beast, yeah
And she thinking 'bout abortion, damn

[Verse 2]
Uhh, down on the ceiling, looking up at the bed
Life is a gamble, better check the point spread
And when life sucks, I just enjoy the head
I'm so sick of these niggas, I need meds
Uh, smoking on that hallelujah, thank you Jesus
Help me focus on the future and not the previous
Double R, I'm a rebel with a reason
Sometimes you gotta fight the devil with a demon
Blood is in the streets and it is up to my knees
Underground shit, I see myself as a seed
Living in the glass, and everybody's looking
But how can you get the picture if you don't know who took it?
This current affairs, but who the hell cares?
Everybody's fighting over positions, musical chairs
On the road to redemption, you gonna use a few spares
I'm just fucking ready so I come prepared

[Post-Chorus]
Yeah I know your name (hey!) yeah
Your name is unimportant, yeah (listen mayne)
We in the belly of the beast, yeah
And she thinking 'bout abortion, damn

[Bridge]
And the rockets red glare, the bombs bursting in air
Life is a rollercoaster, but still unfair
A blessing in disguise is right before our eyes
But since it is in disguise, we don't know that it's there

[Chorus]
And I, see you with your palms in your pants
But me, me, see me, I got the world in my hands
I make it spin on my finger, I'm a critical thinker
I'm a hell of a smoker, and a bit of a drinker
I know your name...
As it is, shawty",Lil Wayne,Abortion,
