lyrics,artist,song_title,featuring
"[Intro]
Well all me don't love is the people weh fight 'gainst me
Me don't love dem, but me enjoy dem because me cyan sit dung
And think of dem and write music bout dem...

[Hook]
I see 10,000 chariots
And they are going without horses
Hey, the riders them cover them face
So you could not make them out in smoky place
It's a musical stampede
It's a musical stampede
It's a musical stampede
Whoa saying it's a musical stampede

[Verse 1]
Lord, dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war
Yey, dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war
Me nah go put no triple six inna mi head you must be mad
One day me must have to dread you mus si fool
Me a run the whole place red and me tell dem
From now otherwise me will never beg bread
Dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war
Yey, dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war

[Hook]

[Verse 2]
Lord, dem gwaan until dem gwaan too far
Till dem start up the revolution and the war
Yey, dem gwaan until dem gwaan too far
Till dem start up the revolution and the war
Thru me nah follow dem system
Dem mek a big ting
And nuff a dem, a just wolf in sheep clothing
But Rome a go bun down
Inna di hot sun
And then the wicked and the Eden dem fun dun
Them making miscalculation
No hesitation
Them mek it sound like I and I praise Satan
Who is dem to pass judgement
And dem no reverend
And Raggamuffin say him nah keep silent

[Bridge]
Don't let me down, don't let me down
Don't let me down, don't let me down
Don't let me down, don't let me down
People ride on, ride, ride on
People ride on, ride, ride on
People ride on, ride, ride on
People ride on, ride, ride on
Ride on...

[Verse 3]
Dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war
Yey, dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war
Me nah go put no triple six inna mi head you must be mad
One day me must have to dread you mus si fool
Me a run the whole place red and me tell them
From now otherwise me will never beg bread
Dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war
Yey, dem bwoy gwaan until dem gwaan too far
Till dem start up the revolution and the war

[Outro]
We cyaan tell the woman from the man
They are dressed in the same pollution
Their minds is confused with confusion
So to their problems seems there's never no solution
Dem a night life ravers
Dem a midnight ravers",Damian Marley,"10,000 Chariots",
"[Chorus: Stephen Marley]
Said she wants my loving all night
When she get it she'll be all right
Said she wants my loving all night
When she get it she'll be all right

[Verse 1: Stephen Marley]
Well now she call me on the phone and said she's home alone
And she want me to come over and make her house a home
Well I gave it to her once, and I liked how she responds
Well now I'm in trouble

[Chorus: Stephen Marley]
Said she wants my loving all night
When she get it she'll be all right
Said she wants my loving all night
When she get it she'll be all right

[Verse 2: Damian Marley]
It seems she need to oil her spine
Tell all a gyal toast bread can't build di putty gold mine
Need all di doctor fish with di essential slime
She tell me she want to signal the plane 'n time mi want slow wine
Turn on di HBO she want fi watch showtime
Give her di cordless microphone, she want di one with line
Seem like me and this young gyal ya just can't combine
So it's sour like lime
Running it down the line, Mr Muffin one time

[Chorus: Stephen Marley]
Said she wants my loving all night
When she get it she'll be all right
Said she wants my loving all night
When she get it she'll be all right

[Verse 3: Damian Marley]
She call mi pon di I 95
How mi ah tek so long she ah wonder which car mi drive
Tired fi listen album now and she want me live
Tell me she want fi come knock her out till she can't revive
SO!Ah so my planet and the stars align
She tell me she want me know which part her hills and valley dem join
Seh she want me ride her like a Ferrari sign, put appointment aside
Nothing can't compromise fi di vibes I provide

[Bridge: Stephen Marley]
It's alright
She wants my loving all night
When she get's it she's all right
She wants my loving all night, ay

[Verse 4: Damian Marley]
I should make no physical contact
Tell her fi hold it down and still she just can't quiet
Seh mi take her up and tun her maniac, tellin me dat I compliment her natural habitat
WELL. . . It seem like she deaf or she blind
Want come step inna mi life when time she deh far behind
Want mi play her rhythm till di tape want rewind
And she nah watch no time
And she just nah resign
Till she see the sun shine",Damian Marley,All Night,Stephen Marley
"[Intro: Damian Marley]

Now greetings to the world
The accumulated intelligence of mankind
Is what makes us special among all other species
Everything is built upon the foundation before it

[Hook: Damian Marley]
These ancient thoughts
This ancient love
These ancient hearts
These ancient souls
These ancient songs
These ancient people

These ancient thoughts
This ancient love
These ancient hearts
These ancient souls
These ancient hopes
These ancient people

[Bridge: Damian Marley]
Like the earth, and the sky
And the sea, and the birds
And the trees, and the sun
Melody
Like a mountain, like a valley
Like the river, like the lake
Like the earth, when it quakes
Space and sea

[Verse 1: Nas]
This is rock and roll meets aristotle
I fly those G5's through the skies to Cabbo
Martial arts more ancient than Tae Bo
Swordsman, more ancient than Zorro
Ancient like the pharohs or priests of Yoruba
Or Obeah euphobia you peril
Your paths narrow like climbing mount Kilimanjaro
Ancient men traded cattle
Before columbus was lost in travel, ancient canoes got paddeled
Before the horse saddle there was camel
Spears before arrow, arrow before ammo
Tribal paint before camo-flage
Chief before sarge, or lieutenant
Village elders before the senate
Used to sail the seas before the compass was invented
Ancient people spoke free, they didn't need a 1st amendment
In the beginning, the drum was the text sending
There was moons before months, and time before minutes

[Hook]

[Verse 2: Damian Marley]
From love, onto language, onto hieroglyphics
The Invention of the wheel, onto mathematics
The almanac, the calender, onto geographics
Herbal medicine, to anti-biotic Ginseng to acetonic
Water pump, water pump, to onto hydrolics
Moonlight, candle light, onto electronics
Instinct to knowledge, classroom to college
Oh, all of These ancient thoughts

[Hook]

[Verse 3: Junior Reid]
Man a Bust the earth, man a Bust the sky
Junior Gong, and Junior Reid we meditation it so high
Man a trod the gravel, it dirty and it dry
Oh, dem no see no wings, but man a fly
Babylon fi splurt, dem no know what life is worth
Oh, tell dem stop polluting mother earth
Man a make a trot, me robe, me sandles and me rod
Dem shouldve known, hear say man this man a God

[Hook]",Damian Marley,Ancient People,"Junior Reid, Nas"
"Brother man say could it be

Could you be loved and be loved (x2)

Aye!
We’re careless the morning in me love zone
And when me take control the gal stop roam
I care less me share from a Brazil well
And when me take control the gal head swell
I care less the morning a my love zone
And when me take control the gal stop roam
I care less me share from a Brazil well, and when me take control

Well I man said baby you got me going up and down
Twisting and turning like a merry go round
You been asking for me the whereabouts unknown
Like an old soldier me a patrol the town
Keep enough queen and me a no wear one crown
And if you no see me then me gone underground
Too much panty moan up upon me compound
Gal a you me love but it is not you alone
Jamming jamming, making I your back bone
Jamming jamming, making on me back bone

Could you be loved and be loved (x2)

Do you receive the message I'm sending
Do you hear ya hear about the guineas I'm lending
Where you hear about all the time we're spending
Do make sure there's no wrong corner bending
Well, things are looking splendid
All of my Guiness and me peanuts blended
And you have received the messages I've sended
It's Rastafari name defended

Well its no co-inky-dinky;
Oh so much young gal come to lick me
Jenday ragamuffin feel a pound a stinky
Even one good spliff off a the sweet life twinkie
Well buildings need expanding
To meet the supplies where the fans demanding
I Jr. Gong microphone commanding
There'll be no clearance for landing
Well you miss teeny tiny
Will you please undo the bikini kindly
Well she must a come from a wine refinery
And get bless with the pretty gold minery

Oh its junior, he's a skanking
Oh they make me feel like a real top ranking
Better yell a new bally boot we’re spanking
Well you better watch how you ride your banking

Well...

Could you be loved and be loved (x2)",Damian Marley,And Be Loved,
"[Verse 1: Damian Marley]
And me and she we trampoose alot, several mornings she shampoos my locks
Always have my back she standing true to dat real type of loving, thank you for that
Yow. . . Run barefoot without no shoes and socks, cause she keep herself clean mi nah go catch no rash
And she love me for real mi nuh haffi have no cash, and any little thing from mi splish mi splash
Yow. . . All this blinging it's like you forgot, use cheddar as the bait den you recruit a rat
So we listen couple speech of Martin Luther chat
Dennis Brown, Bob Marley and some Super Cat
Yow. . . seem like she liveupside the duko shop, cause she don't have a scratch it's only beauty spot
When one duty start it's when one duty stop, one nine to five, one five to twelve o'clock
You see me

[Hook: Bobby Brown]
Beautiful, Here we go again
My love, you know, I will never let you go
My love, beautiful. Here we go

[Verse 2: Damian Marley]
And I remember when we met and we began dating, and everything was copacet' and we began mating
And the way then the way mi love her good, she gimme don ratings
Because mi style dem plentiful and ah nuh one way thing
And she get her belly full and ah nuh pot scrapings, and the closer we become the more she gravitating
Until we buckle down and there is no escaping
Now it typically become an everyday thing, regulary physically communitcating
Sexually, scientifically penetrating, until she start spiritually resonating
Ah so mi know she real and seh she ah nuh play thing
She is the only Queen the King is desognating, I know it's kinda deep but keep on concentrating
Cause jazzy lay di beat and I am clearly stating

[Hook: Bobby Brown]
Beautiful, Here we go again
My love, you know, I will never let you go
My love, beautiful. Here we go

[Verse 3: Damian Marley]
And me and she we trampoose alot, several mornings she shampoos my locks
Always have my back she standing true to dat mi ya da general I'mma chew for that
Yow. . . Run barefoot without no shoes and socks, cause she keep herself clean mi nah go catch no rash
And she love me for real mi nuh haffi have no cash, and any little thing from mi splish mi splash
Yow. . . All this blinging it's like you forgot, use cheddar as the bait den you recruit a rat
So we listen couple speech of Martin Luther chat
Dennis Brown, Bob Marley and some Super Cat
Yow. . . seem like she liveupside the duko shop, cause she don't have a scratch it's only beauty spot
When one duty start it's when one duty stop, one nine to five, one five to twelve o'clock
You see me

[Hook: Bobby Brown]
Beautiful, Here we go again
My love, you know, I will never let you go
My love, beautiful. Here we go",Damian Marley,Beautiful,Bobby Brown
"[Chorus: Stephen Marley]
She said she's born to be wild and she can't be tamed
And all she wants in life is fortune and fame
So she keeps on moving, moving right along
Even though she knows deep down inside she knows something is wrong

[Verse 1: Damian Marley]
No idle jubee dem couldn't, cotch pon my pillow
Weh a love man for nike an ah love man for fila
Dat's not the ways of ancient war gorilla
Me rather den to save all my sasaparilla
On a lonesome breezy sunday morning
This maiden came to town
Me have to blick a sound
How she so cute and plus so sexy and so round
Sunlight catch her skin and lord it good from head to ground
Next candidate me see wh fit, fi wear mi crown
And such tender smiles amaze me
The way that she looks on the night
She should be having my baby, my baby
The pleasure was all mine
Like yesterday news it's only for a time
Always on the go because she live a life ah crime
She don't want no man fi mind it
Di Muffin say dat he couldn't believe
I was living so blindly

[Chorus: Stephen Marley]
She said she's born to be wild and she can't be tamed
And all she wants in life is fortune and fame
So she keeps on moving, moving right along
Even though she knows deep down inside she knows something is wrong

[Verse 2: Damian Marley]
Well no Shandy, stricktly imported tequila
Vintage brandy, skunk sensemilia
Rubies and roses, diamond collar
Never check me for a money nor a penny nor a dollar
She can't go to London without visa
Me can't build me spliff dem without rizzla
Dem say look out the door and you know di weather
Me start put two an two together
First class flights and she drinks the most expensive wines
When she can't maintain her lifestyle up on the minumum wages
She needs the coil and just like a stubborn mule
I would tell that is all she's worth
Well tha smuggling and trafficking of ilegal substances is her line of work
Me say a good woman ration
Most of di gyal dem get so caught up inna fashion
Love vanity dem seem dem love it with a passion
Start to used dem body for some dirty profession
Seem like dem need spiritual supervision
Ital craft and a ital vision
Righteous path and a righteous decision
Instead of di materialistic religion
Else there's gonna be a crash course and collision

[Chorus: Stephen Marley]
She said she's born to be wild and she can't be tamed
And all she wants in life is fortune and fame
So she keeps on moving, moving right along
Even though she knows deep down inside she knows something is wrong

[Verse 3: Damian Marley]
Well the it's all history
Me go up on a ends fi chack a one jubilee
Di way she rub me down and make me feel so nice
Me say haffi left and go ah studio go voice
Ariana please stay home tonight
Ariana please don't take that flight
Smuggling di drugs weh dem supply to di poor
Destruction of my people well then she's got to go
Tell her nah fi mix up inna those things no more
Ariana never mixed up those drugs before
She said she want fi go up on a smuggling tour
She missing gangsta parcel dem say her skull fi bore
She don't have all di dollars weh fi ever the score
But she wanna run her own drug store

[Chorus: Stephen Marley]
She said she's born to be wild and she can't be tamed
And all she wants in life is fortune and fame
So she keeps on moving, moving right along
Even though she knows deep down inside she knows something is wrong
She said she's born to be wild and she can't be tamed
And all she wants in life is fortune and fame
So she keeps on moving, moving right along
Even though she knows deep down inside she knows something is wrong",Damian Marley,Born to Be Wild,Stephen Marley
"[Intro: Chew Stick]
Zion
Holy mount Zion
Zion

[Chorus: Chew Stick]
Better to go to Zion
More then burn in a fire, fire
Better to go to Zion
More then burn in a fire

[Verse 1: Chew Stick]
Me say dash your badness, and your bad mind
The carnal mind, have to stay behind
So honor your mamma and your father
Or else your days will feel longer

[Chorus: Chew Stick]
Better to go to Zion
More then burn in a fire, fire
Better to go to Zion
More then burn in a fire

[Post-Chorus: Damian Marley]
Oh, when me constantly can’t, then
You can’t go to Zion with no carnal mind
Carnal mind have to be left back behind
You can’t go to Zion with no chain and ring
Your chain and ring have to go to the mountain
You can’t go to Zion with no portable phone
Portable phone have to be left back a Rome
You can’t go to Zion with no big rusty nine
Your big rusty nine have to be left back behind

[Verse 2: Damian Marley]
Emperor Selassie so pure and divine
Empress Omega splendid all the time
Look into the scripture and see what you find
Look at the Revelations Chapters five verse five
Same root of David is Salomon line
Salomon seed, and Salomon Spine
Of ancient receipts of cure rude swine
And come down the humans say one more time

[Bridge: Chew Stick]
Owww, the prophet has raised again, awww
Owww, the prophet has raised again, awww

[Post-Chorus: Damian Marley]
Ah when me constantly can’t then you can’t go to Zion with no carnal mind
Carnal mind have to be left back behind
Can’t go to Zion with no chain and ring
Your chain and ring have to go to the mountain
You can’t go to Zion with no portable phone
Portable phone have to be left back a Rome
You can’t go to Zion with no big 45
Your big 45 have to be left back behind

[Verse 3: Damian Marley]
The eagle and the bear and all the dragon combined
Implied jizabell, and them Grow concubine
Can’t see the truth them must be blind, them blind
Just read about the news in Revelations Nine
And tell me how you feel about the black star line
You better pack your bag for a mountain climb
And all of them playaz and still them rewind
You walk with your nine keep one thing in mind

[Chorus: Chew Stick]
Better to go to Zion
More then burn in a fire, fire
Better to go to Zion
More then burn in a fire

[Verse 4: Chew Stick]
You see, no either [?]
And make your life more comfortable
Chapter a day, keep all evil away
And listen to the prophet and hear what him say

[Chorus: Chew Stick]
Better to go to Zion
More then burn in a fire, fire
Better to go to Zion
More then burn in a fire

[Post-Chorus: Damian Marley]
You can’t go to Zion with no carnal mind
Your carnal mind have to be left back behind
You can’t go to Zion with no chain and no ring
Chain and ring have to go to the mountain
You can’t go to Zion with no portable phone
Portable phone have to be left back at home
You can’t go to Zion with no big rusty nine
Your big rusty nine have to be left back behind

[Verse 5: Damian Marley]
Give me the microphone and burn down Rome
And all of them Churches which cast them stone
And fight against the lion of the royal throne
And [?] danger zone
The world become a graveyard of skulls and bones
And mount Zion is the the safest crown
Upon a holy mountain the city was found
That’s where the [?] choice to wear them crown

[Outro: Chew Stick]
Owww, the prophet has rised again, awww
Owww, the prophet has rised again, awww",Damian Marley,Carnal Mind,
"[Pre-Chorus: Stephen Marley]
Every time I 'ear di crack of di whip
My blood runs cold
I remember on di slave ship
How dey brutalise your very soul
Today dey say that we are free
Only to be chained in poverty
Good god I think it's illiteracy
Only a machine that makes

[Chorus: Stephen Marley]
Slave driver, your table has turned
Catch a fire, your gonna get burned
Slave driver, your table has turned
Catch a fire, your gonna get burned

[Verse 1: Damian Marley]
Bun dem out!
Dem take up di ghetto youths and give dem pure magazine
An take up anotha set an give dem bare 16
An play dem dirty game, applaud di plots and schemes
An watch dem like a show of a view big screen
How come we brother dem man go buy dem cream?
Turn dem inna police an bring dem in 'pon dem team
Ah wha dis fodder?
Him drive ten grand worth a government larder
An fight against di ones who have di same forefather
Him next door neighbour, all weed we charge for
We children slaughter
An we dem wan murder
Jus read di observer
Right now di city can't get no obsurder
After 400 years a no leap wi brown sugar
We ambush we brother
An gwan like whenever
Use to plan slave revolt an a dem push dem together
We change jus like di weather

[Pre-Chorus: Stephen Marley]
Every time I ear di crack of di whip
My blood runs at me, (It's runnin cold)
I remember on di slave ship
How dey brutalise your very soul
Today dey say that we are free
Only to be chained in poverty
Good god I think it's a little
Only a machine that makes

[Chorus: Stephen Marley]
Slave driver, your table has turned
Catch a fire, your gonna get burned
Slave driver, your table has turned
Catch a fire, your gonna get burned

[Verse 2: Damian Marley]
Son's of slaves chant down
Son's of di slave driver
Nah space slave rider neither
An if dem could, dem would tax you pon saliva
How much more must we die for?
The ones in the cars when we standing at da car minus
The government bogus, they don't work for us
Instead dem chain and whip you with domestic fuss
And guns and aids and drugs
'Cause most of di youths with di school in dey mouth
Can' get no money from legitimate jobs
Then you wonder
Why dem grab chain and bags
You influence di youth a turn dem gays and fags
And rest den can afford not even torn up rags
But table a turn a mi turntable spun
Di fiya we a catch up all a blaze and a burn
Dats why anytime you see Rasta ya run!
Eh yo!

[Chorus: Stephen Marley]
Slave driver, your table has turned
Catch a fire, your gonna get burned
Slave driver, your table has turned
Catch a fire, your gonna get burned

[Verse 3: Damian Marley]
We no wan nah Babylon government wey ya burn down ganja man tent
And dem a come wit dem one bag o' tax argument when we can't pay light bill and rent
Me side dem a leave ghetto youths every which part dem went dem a be round corner dem bent
So next time dem pass through you and ya crew don' give dem no encouragement
Eh yo, just start run dem out and start bun dem out a ya environment
An yo, we wan no bout da eva red cent o' di poor people money dem spent
An den, we wan no down to who pay di bill when di prime minister cyar dent
An yo, we wan know when dem come repossess all these guns and jobs they've sent

[Chorus: Stephen Marley]
Slave driver, your table has turned
Catch a fire, your gonna get burned
Slave driver, your table has turned
Catch a fire, your gonna get burned",Damian Marley,Catch a Fire,Stephen Marley
"[Verse 1]
Yow me tell dem caution
Wen yuh see lion pon patrol
We nuh kin teet, yuh cudda be the richest also
Wid yuh fortune, yuh money, yuh platinum an gold
Yuh cyaa buy people life, yuh cyaa save people soul
Slaughter, wen bwoy a stop di cash flow
An a live comfortable while resentment a grow
Yow a torture, di less fortunate a die slow
How yuh fi reap wealth, wen a pure death yuh sow
So di pauper, doesn't have a cash in him billfold
An cyaa buy di knowledge weh di rich man own
Nor look afta his family or his humble household
Wahapen wen him get up and decide fi roll
Wid di scorcha
Real fiya torch, real fiya sparka
Wen di fiya start
Well not even wata weh quench wen di river dem flow
Cudda out dis ya fiya wen it bun and start glow

[Chorus]
Well a wah dem wudda do if hungry belly stop fear
An decide fi tek from all who nah share
An one man pull up and kick off anywhere
Cah hungry nuh business a who life a spare
A wah dem wudda do if hunger keep conference
An mek criminal and police tun fren
And decide fi tek it from all who nah sen
(Caution, Caution, Caution)

[Verse 2]
Yow me tell dem warning
Listen up if yuh have ears to hear
You nuh mek hungry belly tun unnu inna gun engineer
Man a trespass and man a overcome and get there
Wen di dutty get tuff and everyting is despair
Warning
Talk up if yuh have mout fi talk
An nah speak up on ghetto yute dem behalf
Cah dem a play like a dummy and dem nah pay di staff
An a mek di most noise, dem hear dem front door kickoff
Warning
Look out all who have eyes to see
An still a play blin like injustice nuh real
Memba hungry nuh hav mercy pon bakklefield
Man will eat yuh food fasta dan ten Navy SEAL
So caution
Have you white collar extortion
Di dirty politican and yuh tricks dem a turn di yute dem inna orphan
Smoke di cigar and a laugh an
Since yuh smart ansa dis
Yow

[Chorus]
Well a wah dem wudda do if hungry belly stop fear
An decide fi tek from all who nah share
An one man pull up and kick off anywhere
Cah hungry nuh business a who life a spare
A wah dem wudda do if hunger keep conference
An mek criminal and police tun fren
And decide fi tek it from all who nah sen
(Caution, Caution, Caution)

[Verse 3]
Yow me tell dem action
Always louder dan words
An no school nah build outta di money transfer
You too greedy, you wuddnt even lef a one third fi di needy
Yuh bend up and gadda like herd
Option, scarce wen it come on to job
Man cyaa find nuh work till go road go rob
You a try save face but it done gone bad
It's a gamble dem lie fi raise dem living standard
An its a sign dat unless you being kind
One day you may find dat you cannot stop the crime
You system designed that, stony is the hill dem cyaa climb
Even if dem work a lifetime
Dem cyaa gain no traction
Cyaa find no satisfaction
Election is just a distraction
Write it inna caption
Caution
Warning to all
Yuh tink hunger cyaa jump yuh wall
Yow

[Chorus]
Well a wah dem wudda do if hungry belly stop fear
An decide fi tek from all who nah share
An one man pull up and kick off anywhere
Cah hungry nuh business a who life a spare
A wah dem wudda do if hunger keep conference
An mek criminal and police tun fren
And decide fi tek it from all who nah sen
(Caution, Caution, Caution)",Damian Marley,Caution,
"Mr. President, Distinguished delegates...

[H.I.M. Haile Selassie I speaking in Amharic]
[English translation:]
''The security of the world
Those who disturb (terrorise) the peace at this time
We are going to describe them now''

[Bunny Wailer dialogue]
Since the beginning of modern civilization
Generations have witnessed and inherited the only conflicts of world wars
But behold the marriage supper of the lamb and the bridegroom onto his bride
Then shall the earth's children know the true expression of ONE LOVE
Then mother earth shall honeymoon in peace
Forever eliminating the aspirations, lust and anguish of wars and rumors of wars...
SELAH!

[Chorus]
See it deh know the innocent going up in vapors
And propaganda spreading inna the sunday papers
Not even superman coulda save you with him cape cause
Red-a Judgement a blaze, blaze ya
And Babylon a gamble the youth dem life like racehorse
And gi dem a uniform and a shave dem head with razors
And now the clock a strike war, don't be amazed cause
Dem inna dem churches tryin to save... saviours

[Marcus Garvey dialogue 1]
Can we do it? We can do it, we shall do it!

[Verse 1: Damian Marley]
Boom!
Tell dem fi nuh draw mi out when the world government inna falling out
Only few men survive crawling out
Run left him colleagues dem sprawling out
NEARLY DEAD!
Medic haffi haul him out
And gi him two tranquilizer fi stall him out
DEH PON BASE!
Can't get no calling out when him hear from the shout last week
Him mistress find a new shoes
Wife can't get no news and lately she starting to doubt
She still searching!
And the youth dem bawling out
Working hard not to neva let it all come out
Well it's not safe to go walk about
A slaughterhouse from Baghdad to Waterhouse
She start to arouse sometime she want a spouse
She start go out, start beat a darker stout
GUNS COME OUT!
Working people funds run out
Keep a show last week and no one come out
BOMBS COME OUT!
Mi gas tank just run out
BOMBOCLAAT!
The scotch tape just run out
WEED RUN OUT!
Yuh senses must dumb out, Mi have a pound round a back deh a gwan sun out
NAH COME OUT!
Till the chalice bun out
NAH COME OUT!
Till the malice bun out, A WAR!

Zimbabwe to Berlin Wall
Blazin' like a burnin' ball, loose ball...dat no work in war
Sleeping dat no work in war
Can't wear jheri curl in war
No diamond and pearl in war
Can't drink weh a serve in bar cah
Gas wi fuck up yuh nerves in war
Shot wi blood up yuh shirt in war
Can't go lift up no skirt in war
Now disease and germs in war
Can't go release your sperms in war
Stamina must preserve in war
Fire constantly burn in war
RED...IT RED...IT RED...IT RED...IT RED!

[Marcus Garvey dialogue 2]
If you cannot do it, if you are not prepared to do it...then you will die
You race of cowards, you race of imbeciles, you race of good for nothings!
If you cannot do what other men have done
What other nations have done, what other races have done
Then you yourself shall die!

[Chorus]
See it deh know the innocent going up in vapors
And propaganda spreading inna the sunday papers
Not even superman coulda save you with him cape cause
Red-a Judgement a blaze, blaze ya
And Babylon a gamble the youth dem life like racehorse
And gi dem a uniform and a shave dem head with razors
And now the clock a strike war, don't be amazed cause
Dem inna dem churches tryin to save... saviours

[Verse 2: Damian Marley]
SEE IT DEH NOW...Hey!
Now wi fore parents sacrifice enough
Dem blood sweat and tears run like syrup
Any day a revolution might erupt, and the skies over Kingston lighting up
For the new generation rising up, of youths now a days weh dem sighting up
And through reasoning dem biding up
Searching for the sign and the sign is us
Searching for the truth all you find is us
Searching for the troops still behind is us
The almighty we recruit and we come from the root
We build like roach building boot
Weh just can't done, Rastafari design me tuff
If a the fight for freedom sign me up
Cause you Tell-Lie-Vision can't blind me up
Soldiers and police dem wising up, realizing they're no more right than us
Realizing there's no use fighting us
Realizing their opening their eyes to see the same demoralizing life as us
So we nah tek talk nor smiling up
Cause the word temper tantrum boiling up
And who calling the shots and nah bust none
Controlling the mind of the young, bring down...

Bear famine, no rain nah fall from London to Dadeland mall
All the son of the virgin bawl
Institute of the church in war
Preaching and researching war
Practice and rehearsing war
Teaching and dem learning war
Instigating and urging war
Always keep alert in war
Cause man will jump out a swerving car
Now bees and birds in war
And the freaks and nerds in war
And the straight and curves in war
Forward and reverse in war
RED...IT RED...IT RED...IT RED...IT RED

[Marcus Garvey dialogue 2]",Damian Marley,Confrontation,Bunny Wailer
