lyrics,artist,song_title,featuring
"[Verse 1]
Coming out the bottom of the mother fucking totem pole
Calling everyone who ain't believe like ""I told them hoes""
Now they on my scrotum though
And I've been grinding so long its like I gotta blow
Baby mama calling up my phone, what the fuck you want
Cause I don't owe nobody shit stop askin'
Haters get off of my dick, stop gaggin'
They know I'm schooling them, they tell me stop classin'
We already know that you the shit stop gassin'
Eck, and my flow is fucking sick dog
Make a bitch cough like a sick dog
Probably cause I spit raw
No fucking with this boy
Other rappers more uncool than when the fridge off
Damn I think my lid's off, more mental then Sig Freud
Mind like a mother fucking-unsolvable jigsaw
People ask my audience ""what you listen him for?""
Shit..cause I don't think Lil Wayne's come this hard
My God, then what that mean
Since I ain't son to nobody, then I must be king
Cocky with it, cause I know that can't nobody stop me with it
Wanna try? be ready to die, Kamikaze with it
Fuck a prince, I know I'm the real shit ya dig
Cause ain't no-mother-fucking-body done the shit I did
I'm the man where I'm from, but they call me the kid
Give me the crown cause if not then we taking that bitch
Mother fucker

[Verse 2]
100 words and running, 100 rappers that I ate still in my stomach
And 100 other coming, hustling for one-hundred a-hundreds
I don't give a fuck what you say, give me my money
Not college educated, but I can count a shit load
Connected like a constellation I can get you shipped more
Boy I do numbers with these verses check the info
I'm Machine Gun Kelly what the fuck's a pistol
What the fuck's a white flag
What the fuck's a price tag
What the fuck is beef? Fuck it show me where's the mics at
I will tear each one of them mother fuckers a nice ass
No homo cause we don't get dicked, we ain't like that
Nah bitch, should've hollered at me before
Cause ""fuck you pay me"" is now my steelo
And that goes for promoters, for the shows
For the verses, for the hoes
For the labels, what you owe
Bitch, give me my dough
I'm the big baller, shot caller of my age
19-year old Dwayne Wade
And the Eastside on my back, no matter what they weigh
Clevelands number 23 like I ain't know Lebron played
So what's up to all my fans who held me down since day one
Telling them Kells' the hardest that they come
Gave the real what they want and I did that
So come and blow a blunt with your boy give it here let me split that
And I bet they won't forget that
Cause rappers forgot how to be real
Forgot how they used to be before the deal
But I remember still
That's why I'm not a member of fame
Just raw talent who remembers the game
And the name, Kells",Machine Gun Kelly,100 Words And Running,
"[Intro]
And if I must go and die at 27
Then at least I know I died a legend
Now, will you roll and ride like we're together?
And keep the vibe alive inside forever
And feel me forever
They say I need to slow down, but I don't know how

[Verse 1]
Yeah
Real feelings from past dealings
When people counted me out 'til I grew up to count millions, uh
Like I guess it's good to be different, huh?
I'm a star so the sky isn't the limit, huh?
I'm living like it's my last day
Smoke as if there's not already 27 roaches in the ashtray
Smile as if no one hated at all
As if anyone understood anytime I evolved
Tell me, what do you do when what you dream comes true?
Buy a Bentley and look just like you?
How am I supposed to write a song when I'm famous
And all the pain is created?
I need to overdose on inspiration
27

[Pre-Chorus]
Why don't you just go home?
Well, I can't right now, I'm a rolling stone

[Guitar solo]

[Chorus]
And if I must go, and fly away
And kiss my baby girl goodnight
And if this really is goodbye
Then let's set the city on fire
Can you take me higher?
Now, can you take me higher?
Now, can you take me higher?
Can you take me higher?

[Post-Chorus]
If I must go, die at 27
Then at least I know I died a legend
Will you roll and ride like we're together?
And keep the vibe alive forever
Keep the vibe alive forever
If I must go, die at 27
Then at least I know I died a legend
Will you roll and ride like we're together?
And keep the vibe alive forever
Keep the vibe alive forever

[Outro]
I let these words seep through my soul
And speak through the song
'Cause if one day, I'm no longer here in the physical
Then at least I give you my voice to listen to
What is a beautiful life without a beautiful death?
What is a beautiful mind, how is our beauty defined?
Is it for you to decide, is it my duty to die?
No matter how I'm remembered, just let me be remembered
Kells
Yeah, forever young, though
Always be those crazy kids running wide-eyed down the boulevard
27, bloom",Machine Gun Kelly,27,
"Skit by Donnel Rawlings

[Hook: Machine Gun Kelly]
Ech, pimpin 
I got fifty hoes on my dick ain't that some shit 
I got fifty hoes on my dick ain't that yo' bitch?
I got fifty hoes on my dick, every one of them vouchin'
I got fifty hoes
You got fifty hoes?
Hold on I’m counting, damn 
Fifty hoes, fifty hoes, fifty hoes on my dick x3
Fifty hoes, fifty hoes, every one of them vouchin', damn

[Verse 1: Machine Gun Kelly]
I got fifty hoes on my dick bitch
Fifty o's in my zip bitch
Burn the roof off this muhhfucka like I got fifty stoves in my whip bitch 
We all smoking and driving
Might as well say that I’m flying
Might as well call me the pilot
Bitches in my cockpit I don’t check mileage
I just fuck my ho like I’m 'sposed to
And when she bring her friends I fuck both
I brought the bitch to thanksgiving
Why?
Cus she fucks with me when I’m broke
Ain't nothing funny about the way I get money
And them Cleveland boys ain't no joke
I’m the truth and the truth is hard to swallow
So you better tell these bitches don’t choke, echo
I got one bitch, I got two bitch, I got three bitch, I got four
I tell the fifth bitch to tell sixth bitch to get the seventh bitch to bring mo'. 
Ain't no hand cuffin cousin
That bitch ain't on parole
And pimpin ain't easy pimp but pimpin's all that I know, god damn 

[Hook: Machine Gun Kelly]

[Verse 2: French Montana]
Ay ay ay ay ay Montana
I got fifty hoes on my dick 
I got bout fifty hoes on that strip 
I got bout fifty load in that grip
Ill put bout fifty holes in your fit
My roof way back 
Montana stay strapped
Fuckin niggas hate that 
Bad bitches play back 
My pinky 80 stacks 
Cash I’m coppin
Diamonds shining rocky ASAP
I told them I be pimpin on them bitches 
You can call me pimping ken
I fuck em once and tell em go and bring a friend 
She ain't seen a real nigga ball in a minute 
She ain't seen that money stacked tall to the ceiling
White Maybach no roof in the ceiling
When I take em to the crib all the bad bitches with it 

[Hook: Machine Gun Kelly]",Machine Gun Kelly,50,French Montana
"[Chorus: phem]
Some days, I feel like I let myself down
I love my life, gonna run it in the ground
Can't sleep for days, got your name in my brain
Can't sleep for days, gotta stay up, stay up forever

[Verse 1: Machine Gun Kelly]
I'm writing this at 5:3666 in the morning
Wide awake still, not even yawning
Not even sure why I'm up at dawn like I'm celebrating
When my agent told me that no one's calling
It's a ounce in my living room on the couch
Next to a couple homies that smoked it and passed out
So I'm alone with my thoughts in this glass house
In the cabinet are glass vials, I just poured all the last out
I smelled her, now she's on my mind
I met her the first time my light turned lime
Hate it when she's gone, but she ain't hard to find
Left her on my desk, she made designs in little lines

[Pre-Chorus: Machine Gun Kelly]
It's 5:3666
It's 5:3666

[Chorus: phem]
Some days, I feel like I let myself down
I love my life, gonna run it in the ground
Can't sleep for days, got your name in my brain
Can't sleep for days, gotta stay up, stay up forever

[Verse 2: Machine Gun Kelly]
Ayy, look, I'm writing this at 5:3666 in the evening
In my head, talking to these demons (Demons)
In my bed, staring at these ceilings
I just bleached my hair and changed my whole appearance
I'm just fed up with these smoke and mirrors
My uncle sold some pictures of me with no clearance
What the fuck is family? I can't take that serious
Thank God everybody sucks so I can write these lyrics
Go pick her up, I need to lift my spirits
They don't know that we hook up, I don't let cameras near us
There's some shit I do, when she's around, I shouldn't share
Like that week I spent locked in a room with her in Paris (Fuck)

[Pre-Chorus: Machine Gun Kelly]
It's 5:3666 (Yeah)
It's 5:3666

[Chorus: phem & Machine Gun Kelly]
Some days, I feel like I let myself down
I love my life, gonna run it in the ground
Can't sleep for days, got your name in my brain (Name in my brain)
Can't sleep for days, gotta stay up, stay up forever

[Outro: Machine Gun Kelly]
It's 5:3666 (Yeah)
It's 5:3666 (Man)
It's 5:3666 (Yeah)
Somebody, tell me why I'm still awake
It's 5:3666",Machine Gun Kelly,5:3666,​phem
"[Verse 1]
Yo I was, raised on a seperate side of the track in the land where the wild things roam
Open up my closet see a tall leaf growin, pick a leaf off of the stem take it all to the dome
Callin it, the Alice in Wonderland, spiralin down the medium better known as time I'm stumblin
Come back to my senses from the sounds of thunderin, trees talkin to me wonderin if ill ever come again
Every single day until I'm seein the sun again
Starin at the ripples skippin rocks in the pond again
Stimulatin every single cell while I'm ponderin
And the green leaves are fallin and shrivelin like the Summer end
What shall I do, where do I go
I want the fumes in put the towel under the door
I'm feelin the dro, puff it in and releasin the smoke
Its not enough for me, I want it if u got it fa sho
There are, things talkin to me mommy I swear
I'm seein figures in the dark get up and nobodys there
Intangible shadows are fucking with me reaching for nuthin
So I take a hit of this Alice now I'm hopin for somethin
Fuck all the puffin, elmer it up get to the huffin
Treat it like christmas turkeys open up and get to the stuffin
See if I'm bluffin, I'm ready to go to the moon
Ill do whatever whenever promise it'll get me there soon

[Hook]
I'm lost in my own mind, where do I go
I swear This wonderland's not what I used to know
(voices in my head telling me to go to)
Wonderland (blisseded up feel the smoke run my hands)
Wonderland (twisted up, sip it chop it if you in)
Wonderland (Sit back let me how show u how it begin)
Wonderland (where my mind I think I lost in the end)

[Verse 2]
Take me to the twilight zone, no lights on
At the altitude where u be seein all the kites flown,(YEAH)
Family concerned and convinced that my mind gone
And they right, last night first class flights gone,HEY
Mommy why the fuck the flowypier gotta mouth now
Conversatin why I'm layin on the ground now
About face told me to get out now
See the revolution of tomorrow in the clouds now
So far gone, but I'm not Drizzy
Cleveland's own but I'm not Bizzy
Nope no bone well then who is he?
I don't even know anymore I swear I done went crazy (BAHH)
All this talk about the life and the ice in the right hands could get u the dream and a nice tan
But they don't say is the price is ya life plus a slice of ya soul as man and ya right hand
21 as long the cards set right
Drop on my saliva gave my card deck life
Queen of hearts tryna take away my best type
The Ace of Spade make a muthafucka bet right
Creepy crawlers tryna sneak up gimme bed bites
Hide under the cover keep intruders out my bed life
Hug the pillow keep it tucked under my head tight
So the toothfairy cannot get up in my head, night

[Hook]",Machine Gun Kelly,Alice In Wonderland,
"[Pre-Hook: Victoria Monet]
I screamed at the top of my lungs
But my voice couldn't save this home
You're proud of the guns you hold
What's left now, where can we go?

[Verse 1: Machine Gun Kelly]
Yo, I had a dream that the world changed
And for a minute there was no pain
Instead of presidents and old sayings
I heard lyrics from Kurt Cobain
Then i wake up to see the world's ill
Oceans tainted from the oil spills
How many kids have these wars killed?
How many families can't afford bills?
I wish that i could let the world know
That it's okay to let the pain show
And even though times seem bad
It always rains before the rainbow.​

[Pre-Hook: Victoria Monet]
I screamed at the top of my lungs
But my voice couldn't save this home
You're proud of the guns you hold
What's left now, where can we go?

[Hook: Victoria Monet + Machine Gun Kelly]
I think we all need a little more love
I think we all need a little more love
We just need a little more love
The world needs a little more love

[Verse 2: Machine Gun Kelly]
Kells, In my hood money equals power
And in the world money controls everything we believe in
I can see we're in our darkest hour
Cause it feels like the government just as crooked as the police
I spent the weekend catching up on the news
A girl committed suicide after she was bullied at school
Cause some dudes told her she wasn't cool
But you would rather gossip about a famous person breaking the rules
I'm confused, tell me is my life's price worth the jewels?
They told me fight night i'm supposed to lose
Just ​'​cause in hindsight, they don't like my type:
White boy with some rhythm and blues
Kells

[Pre-Hook: Victoria Monet]
I screamed at the top of my lungs
But my voice couldn't save this home
You're proud of the guns you hold
What's left now, where can we go?

[Hook: Victoria Monet + Machine Gun Kelly]
I think we all need a little more love
I think we all need a little more love
We just need a little more love
The world needs a little more love

[Outro-Verse: Machine Gun Kelly + Victoria Monet]
You can give up like they tell you, stop like they tell you
Be scared to dream for the top like they tell you
​but I'm tryIng to tell you
Fuck what they tell you

[Outro: Machine Gun Kelly & Victoria Monet]
​And in these dark times
​As a part of a generation they claim can't be saved it’s important to know we’re not blind
​We see the truth through blue and dark eyes
​And I would rather die on my feet then live on my knees if I can't live free
Right now in the world we just need
A little more love
A little more love
​a A more love",Machine Gun Kelly,A Little More,Victoria Monét
"[Intro: Collin Hilton]
I'm all alone (all alone)
In the unknown (the unknow)
So on my own (on my own)
Someone help me in my escape
I'm all alone (uh)

[Verse 1: Machine Gun Kelly]
What I'm gon' do now?
I'm going through withdrawls from this loneliness
I'm captain of my ship, without a crew now
Sinkin in the deep end, I ain't even in the pool
Broke the mirror cuz I'm sick of knowing all I got is you now
My knuckles bleeding, my back is against the wall
Screaming at my shadows, they ain't saying nothing at all
I'm going crazy, conversation when nobody talks
So tell me how my ears are ringing, when ain't nobody's called
Huh? Yeah
But in this life of mine, friends are expendable, living in a life of crime
Every morning pillows soaking, from the nights of crying
Knowing the choice is either jail or dying
But here we go

[Pre-Chorus: Collin Hilton]
Here we go, down this lonely road
Searching further for something more
In this dark world, I'm so alone
Can someone rescue me from my own

[Chorus: Collin Hilton]
I'm all alone (all alone)
In the unknown (the unknown)
So on my own (on my own)
Someone help me light the way
I'm all alone (all alone)
In the unknown (the unknown)
So on my own (on my own)
Someone help me in my escape
I'm all alone

[Verse 2: Machine Gun Kelly]
Yeah, in a position I wasn't ready to take
Pushin' the countless decisions I wasn't ready to make
But I do it, refuse it I can't
Its stupid as faith
This is the life I chose and I dont have room for mistakes
But everyday I wanna give up
Stomach hurtin like I did a sit up
Anxiety tightens my throat like a hiccup
Thinking about the things in my past I can't get rid of
Every single thing I eat I gotta spit up
And every time I get up my world is spinning, so where am I facing
Can't stop thinking, my mind is racing
Somebody come get me outta here, cuz now my only hopes of escaping is the sound of a (bang)
Please save me

[Pre-Chorus]

[Chorus]

[Bridge: Collin Hilton]
Where.. do.. I start to.. begin
When I thought I couldn't win.. I gave back in.. to.. myself
I can't wish it away.. maybe another day.. I'll wish this away

[Chorus]",Machine Gun Kelly,All Alone,Collin hilton
"[Verse 1]
Ay yo
This that shit you bob your head to
This that brand new instrumental
I heard he puts his city on
That boy Kells so influential
Success got everybody hating
Success to me is inspiration
Cause how we supposed to know that what we dream is possible
If don't nobody that looks like us makes it?
You only got one life, don't waste it
I mean we only got one night, get wasted
I mean I know you're trying to think it out
But go with what you feel cause real problems can't be calculated
It's hard to find the answer when they have no explanation
It's hard to find where you're headed when there's no destination
It's hard to know when we're going when there's no expiration
So until that day, just keep that Kells inside your playlist and

[Hook]
Bring those speakers up on blast, play it all night long
Bring those speakers up on blast, play it all night long
Bring those speakers up on blast, play it all night long
Bring those speakers up on blast, play it all night long

[Verse 2]
Drinking whiskey like a desperado
My bitches drinking Reposado
Ashing in an empty bottle
Listening to the songs that put our asses in this empty condo
Remember ridin' 'round in Ashleigh's car though?
When the radio first played our song though?
Or at her house when MTV first showed my face
That clip was crazy, I swear it felt like we won the lotto
But a million bucks can't buy priceless moments
An a million people may not know us
But every one of us wants this gift we own
And that is: how is how to keep it real
How to never judge somebody by their steering wheel
Cause you know that mother fucker in that Ford Taurus
Could be the next mother fucker in that new Porsche
But like I said it's hard to know where you're headed
When there's no destination
So until that day, just keep that Kells inside your playlist and

[Hook]
Bring those speakers up on blast, play it all night long
Bring those speakers up on blast, play it all night long
Bring those speakers up on blast, play it all night long
Bring those speakers up on blast, play it all night long

[Outro]
This shit right here, man, this shit feels right! Aye Dub! Aye Dre! Aye Irv! you know it’s all year right? Hah! I'm sitting here in the middle of New York City, the night before I gotta turn my second album in, higher than a motherfucka, drunker than a motherfucka, with my boys, and I’m thinking, damn, man 5 years ago, we were dead broke chilling in Cleveland everyday, and the next thing you know, people are calling us about record deals. And you know, the crazy part is, Ashleigh rented this white Nissan Altima for me and Slim so we could drive out to New York. I think she had to some work some shit or something, so she couldn’t go so we were gonna go out there and see what these labels were talking about. And I’m driving us there, but my license’s suspended so I tell Slim, I'm like “Yo, I gotta pull up before we get to New York and switch, so you can drive in case we get pulled over"" cause we got pulled over the last time we went there. But you know, he had a license so it made sense for him to drive so cut to like 7 and a half hours later, I'm pulling over in this emergency lane and right as I’m opening the door to switch with Slim, boom! This fucking car going full speed on the highway swerves off the road and smashed into us. Yo, I swear to God I woke up half my body’s laying outside the car in the ditch, like 15-20 feet away from where we just were. The car was totalled, the windows were smashed, it was cold as fuck, it was raining outside, but we were actually okay. I mean, my boy had to go the hospital you know the ambulance came and shit, he ended up being alright, but our meeting’s with the record label started at 2 and we didn’t have no car, and now we were stuck in a fucking hospital in New Jersey. So this dude that, I ended up partnering with later on, his name’s James McMillan, he comes and gets us to these meetings and shit, somehow, someway. I don’t know if it was just because we just got into a crazy car crash and could’ve died a couple of hours ago but I'm in there and like you know I’m not feeling this shit man I’m not feeling this record label shit and we drove back to Cleveland. Now I'm back in Ashleigh's mom's basement, I'm thinking about life, you know, I'm on a shit ton of vicodin cause the doctors at the hospital you know gave us something cause we got into that car accident and Ashleigh runs downstairs and she’s like “Yo, yo, Kells, Kells, you're not gonna believe who wants to talk to you right now."" I’m like, ""who?” She’s like “He’s gonna call you in 30 seconds."" Now I guess, when I was in New York, I had made some kinda noise cause this dude named Byron who ended up becoming my manager later on took this video I had called “Chip off the Block” over to Bad Boy and showed Harve Pierre and Harve Pierre went and showed that vid to a guy named Puff, so I answer my phone, depressed, down, fucked up on vicodin and I hear: “Please hold, I have Mister Sean Combs for you."" I said, god damn, life’s about to change, man, I felt it. And sometimes thats all it takes, it’s just that feeling you know what I mean. I knew I was gonna be here, and now I’m here

Feel that, uh
Lace up, Kells
Lace up, Kells
Farewell, yeah
This that shit you bob your head to
This that brand new instrumental
I heard he puts his city on
That boy, Kells",Machine Gun Kelly,All Night Long,
"[Hook 1: Anna Yvette]
All we have is right now
All we have is right now

[Verse 1: Machine Gun Kelly]
Yeah, staring out into the unknown
Voices in the wind telling me to come home
But I'm scared
Scared that all this time I've been gone
I’ll open up the door and my little daughter will be grown
And I’m cold, tell me why I'm so cold?
Probably cause a shoulder turns every night that I’m on the road
Probably why I can’t smile every time that I’m on the phone
And why I'm acting so wild every time that I’m alone
Save me!
I suffocate myself beside the bed
Tryna cut the circulation of these thoughts inside my head, like
""Do I hate me? Or do I hate them?""
Either way I've held grudges since I was holding a pen
My father had me think that my cousin was dead
Just to hide me from the truth, how can I look at him again?
But this is life, and in life we learning to live
And when the past dies, this where it begins cause

[Hook 2: Anna Yvette]
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)

[Verse 2: Machine Gun Kelly]
Question, what if tomorrow never comes?
And everything you said today couldn't be undone?
Cause all it takes is a bullet from one gun
To take another’s moment away from them, one love I know
See I was just an only child growing up
Just frowns cause I never seen a smile growing up
But you? You were a friend, always down growing up
Give the word, knew you would’ve blown trial growing up
Fuck! How could we let all this petty shit blind us?
How the fuck did we let the devil find us?
See, we were supposed to be best friends 'til the end, you promised
How’d it take that fucking night to remind us?
I only said I hated you cause you're the only one that’s ever honest
Man I said I was wrong, let’s get beyond this
But it’s crazy, cause I never thought my text apologising
Would be the reason that you died driving
Damn

[Hook 2: Anna Yvette]
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)

[Bridge: Machine Gun Kelly]
Hey, and when the sky turns grey
What you gonna do when your blues still stay?
Tried living the dream, yeah, but you still wake
Anything is possible though, cause rules still break
Hey, said when the sky turns grey
What you gonna do when your blues still stay?
Anything is possible cause rules still break
So when your dream comes don’t wake, yeah


[Hook 1: Anna Yvette]
All we have is right now
All we have is right now

[Hook 2: Anna Yvette]
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)
All we have is right now (Go hard or go home)",Machine Gun Kelly,All We Have,Anna Yvette
"[Verse 1]
Almost, to the top
Almost famous, shit y'all know
Hesitation, don’t get none
Still I’ll go to the basement, put Vice City in the PlayStation
Get away from stress, keep Js rotatin'
Dab rings and a bad bitch naked, I just wanna live

[Interlude]
See that’s what the fuck I’m talkin' about right there
Yeah yeah, I just wanna live
Let me smoke my weed in public, eat this In-N-Out burger
Can I, live? Sleep in 'til mothafuckin' noon and fuck my bitch
You know what I’m saying?
That’s my perfect world right there

[Verse 2]
Back to it
What if I don’t wanna work?
For a boss I don’t get along with
Name tag on a shirt
I’d rather be at home doing bong rips
But I’m just being real
A lil' irresponsible but I don’t really give a fuck how you feel
'Cause this ain’t your life
This is all my shit, my shit
Don’t worry about where I’m at, who I’m wit'
Commenting on the words that come from my lips
Bitch, please excuse my wrist
While I whip, whip, whip, whip
The car they said I couldn’t get
With the all black leather on, looking like the Matrix
I am the one light 2 joints, 35 millimeter life viewpoint
Everything is like a movie nowadays
Speaking of I did a movie the other day, ay!
I just, I just, I just wanna know am I being modest?
Asking 50k a show, or do I need mo’?
For all of the years it was slow
For every show where no one would’ve showed
For driving 12 hours to perform in the cold
Getting to the do’ and being told no
Bitch I want all that back times ten
Say it again, bitch I want all that back times ten
Bitch, I want all that back times ten
One more ‘gain, bitch I want all that back times ten
So, pay up!",Machine Gun Kelly,Almost,
