lyrics,artist,featuring
"[Nicki Minaj Speaking]
Ha ha, ha ha
It's your girl Nicki Minaj, bitches
Listen, y'all better buckle y'all motherfuckin' seat-belts broads
It's goin' down

[Verse 1]
Fitted down and I'm ready to play
When ya album gonna drop, bitches never could say
Say, ""Fuck I look like giving birds they props?
Bitches act like they hot, but I heard they not""
How the fuck you in the game like ten years strong
You bitches still can't write ya own damn songs
You see me on the stoop man these birds just salute me
Whether I'm in the coupe or the hoopti, Duke see
I'm always with a dude, that'll off the kufi
Let him eat my coochie and cop me Pucci
House in the boonies, rock a doobie
Cock the 22, then spark a loosey
He tell me I'm the one, he probably right
He pressing me like button downs on a Friday night
Your girl get it poppin' like dynamite
Dynamite, the coke albino white
Name one bitch in the game, that I can't murder
Chicken noodle bitches, on the side with a soda
Give it to everybody, like a cop with a quota
Stop playing poker hop in something mocha
I eat bitches, no knife, no fork-a (or)
Bitch want it with me? Living the life lo-ca
Oh, I get it you a joker
Leave a dot on your head, and I ain't talking bout polka
You the type, that be runnin' ya mouth
See you on the block, wanna run in ya house
I'm with that nigga Fendi, never fucks with a slouch
I fuck with dirty money, like what's under the couch
Cause ain't a bitch could fuck with my flow
When it comes to drugs, mami just say no
Either you're on something or you're S-L-O
Had to switch up the flow, let this skeptos (sketels) know
I come, cum hard, I don't come with garbage
Just one phone call, they gon' come regardless
I always got the ball ma, I don't roll with starters
Write my own bars and my flow's the hardest, nigga",Nicki Minaj,
"[Verse 1]
Yo, I had to reinvent, I put the V in-vent
I put the heat in vents, man, I've been competing since
I look beyond what people saying, and I see intent
Then I just sit back and decipher what they really meant
Cherish these nights, cherish these people
Life is a movie, but there'll never be a sequel
And I'm good with that as long as I'm peaceful
As long as seven years from now I'm taking my daughter to preschool
Cherish these days, man, do they go quick
Just yesterday, I swear it was 'o-six
Ten years ago, that's when you proposed
I looked down, ""Yes, I suppose""

[Chorus]
All things go, all things go
All things go, all things go
I feel one minute, yeah, we got it then it's gone
While we keep waiting for a moment to live for
So can't nobody ever tell me that I'm wrong
Cause I'ma ride out with you, still the night is young
And we keep going, we go
(We go, we go) We wake back up and do it all again
(We know, we know) Say fuck the world, we riding 'til the end
When all is said and done, look what we've become
I just want you to know that I did it for you

[Verse 2]
I lost my little cousin, to a senseless act of violence
His sister said he wanted to stay with me, but I didn't invite him
Why didn't he ask, or am I just buggin'?
Cause since I got fame, they don't act the same
Even though they know that I love 'em
Family ties, broken before me
Niggas trying to kill him, he ain't even call me
And that's the reflection of me, yes, I get it, I get it was all me
I pop a pill and remember the look in his eyes
The last day he saw me

[Chorus]
All things go, all things go
All things go, all things go
I feel one minute, yeah, we got it then it's gone
While we keep waiting for a moment to live for
So can't nobody ever tell me that I'm wrong
Cause I'ma ride out with you, still the night is young
And we keep going, we go
(We go, we go) We wake back up and do it all again
(We know, we know) Say fuck the world, we riding 'til the end
When all is said and done, look what we've become
I just want you to know that I did it for you

[Verse 3]
Let me make this clear, I'm not difficult, I'm just 'bout my business
I'm not into fake industry parties, and fake agendas
Rock with people for how they make me feel, not what they give me
Even the ones that hurt me the most, I still show forgiveness
I love my mother more than life itself and that's a fact
I'd give it all if somehow I could just rekindle that
She never understands why I'm so overprotective
The more I work, the more I feel like somehow they're neglected
I want 'Caiah to go to college, just to say ""We did it!""
My child with Aaron, would've been sixteen any minute
So in some ways I feel like 'Caiah is the both of them
It's like he's 'Caiah's little angel, looking over him
And I know Jelani will always love me, and I'll always love him
And I'm just his little sister, not Nicki Minaj when I'm around him
Gee, we did it, let's leave this imprint
Just finished writing, this is The Pinkprint

[Chorus]
All things go, all things go
All things go, all things go",Nicki Minaj,
"[Intro: Sir Mix-a-Lot]
My anaconda don't, my anaconda don't
My anaconda don't want none unless you got buns, hun

[Verse 1: Nicki Minaj]
Boy toy named Troy used to live in Detroit
Bi-big dope dealer money, he was gettin' some coins
Was in shootouts with the law, but he live in a palace
Bo-bought me Alexander McQueen, he was keeping me stylish
Now that's real, real, real
Gun in my purse, bitch, I came dressed to kill
Who wanna go first? I had them pushing daffodils
I'm high as hell, I only took a half a pill
I'm on some dumb shit, by the way, what he say?
He can tell I ain't missing no meals
Come through and fuck him in my automobile
Let him eat it with his grills and he tellin' me to chill
And he telling me it's real, that he love my sex appeal
Say he don't like 'em boney, he want something he can grab
So I pulled up in the Jag, and I hit him with the jab like
Dun-d-d-dun-dun-d-d-dun-dun

[Pre-Chorus: Sir Mix-a-Lot]
My anaconda don't, my anaconda don't
My anaconda don't want none unless you got buns, hun

[Chorus: Nicki Minaj]
Oh my gosh, look at her butt
Oh my gosh, look at her butt (I-ohhaha)
Oh my gosh, look at her butt
(Look at her butt)
Look at, look at, look at
Look at her butt

[Verse 2: Nicki Minaj]
Thi-this dude named Michael used to ride motorcycles
Di-dick bigger than a tower, I ain't talking about Eiffel's
Real country-ass nigga, let me play with his rifle
Pussy put his ass to sleep, now he calling me NyQuil
Now that bang, bang, bang
I let him hit it 'cause he slang cocaine
He toss my salad like his name Romaine
And when we done, I make him buy me Balmain
I'm on some dumb shit, by the way, what he say?
He can tell I ain't missing no meals
Come through and fuck him in my automobile
Let him eat it with his grills, and he telling me to chill
And he telling me it's real, that he love my sex appeal
He say he don't like 'em boney, he want something he can grab
So I pulled up in the Jag, Mayweather with the jab like
Dun-d-d-dun-dun-d-d-dun-dun...

[Pre-Chorus: Sir Mix-a-Lot]
My anaconda don't, my anaconda don't
My anaconda don't want none unless you got buns, hun

[Chorus: Nicki Minaj]
Oh my gosh, look at her butt
Oh my gosh, look at her butt (I-ohhaha)
Oh my gosh, look at her butt
(Look at her butt)
Look at, look at, look at
Look at her butt

[Breakdown: Sir Mix-a-Lot]
Little in the middle but she got much back
Little in the middle but she got much back
Little in the middle but she got much back
(Oh my God, look at my butt)

[Pre-Chorus: Sir Mix-a-Lot]
My anaconda don't, my anaconda don't
My anaconda don't want none unless you got buns, hun
(Do-don't) My anaconda don't (Don't)
(Do-don't) want none unless you got buns, hun

[Chorus: Nicki Minaj]
Oh my gosh, look at her butt
(Little in the middle but she got much back)
Oh my gosh, look at her butt
(Little in the middle but she got much back)
Oh my gosh, look at her butt
(Little in the middle but she got much back)
(Look at her butt)
Look at, look at, look at
Look at her butt

[Outro: Nicki Minaj]
Yeah, he love this fat ass, hahahahahahahaha!
Yeah! This one is for my bitches with a fat ass in the fucking club
I said, where my fat ass big bitches in the club?
Fuck those skinny bitches
Fuck those skinny bitches in the club
I wanna see all the big fat-ass bitches in the muthafuckin' club
Fuck you if you skinny, bitches, what?! Kyuh
Hahahaha RRRRRR (Kyuh)
Yeah, I got a big fat ass (Ass, ass, ass, ass) (Kyuh!)
Come on!
Hey
Hey
Hey",Nicki Minaj,
"[Spoken]
This is the autobiography of Nicki Maraj

[Hook: Nicki Minaj (Shawn Wright)]
May the lord protect me, as the world gets hectic
My voice projected, my life reflected
(The more I cry, the more I try)
(Can you hear me? Yeah)

[Verse 1]
Daddy was a crack fiend, two in the morning
Had us running down the block like a track team
When you burnt the house down and my mother was in it
How could I forget it? The pain is infinite
She's my Queen and I ain't even British, she's the only reason
That I went to school and I finished (yeah)
She told me that I had talent, got on her knees
And prayed for me when I started being violent (okay)
She saw something in me that 'til this day
I don't know if I could be that (yeah)
But I'ma die tryin' and when I'm done cryin' grab the iron
And black out like I'm retiring (kyuh)
Nightmares of you killing my mother
The reason that I sleep with my head under the covers
And they should've thrown a book at you
'Cause I hate you so much that it burn when I look at you

[Hook: Nicki Minaj (Shawn Wright)]
May the lord protect me, as the world gets hectic (I'll keep trying)
My voice projected, my life reflected (keep, keeping on)
May the lord protect me, as the world gets hectic
My voice projected, my life reflected
(The more I cry, the more I try)

[Verse 2]
Damn, I wanna run to you, hold you and kiss you
And tell you how I miss you (I miss you baby)
Thought I would have a son for you but now it's official
It's over and I can't let you go (oh)
But I gotta let you know, all the shit I did made me feel like
I'm dying real slow
'Cause no one understands me
They don't know what to do when I'm hurt
And when I'm angry (kyuh)
You was my friend and my man and my daddy
You was there when that bitch tried to stab me
Anything I ever needed, knew you had me
'Cause of you, all them chicks couldn't stand me
So why I hurt you? That's the question
It took this long, for me to learn my lesson
'Cause now all I want is peace and get drama
Finally understand the true meaning of karma

[Hook: Nicki Minaj (Shawn Wright)]
May the lord protect me, as the world gets hectic (I'll keep trying)
My voice projected, my life reflected (keep, keeping on)
May the lord protect me, as the world gets hectic
My voice projected, my life reflected
(The more I cry, the more I try)

[Verse 3]
Please baby, forgive me, mommy was young
Mommy was too busy tryna have fun
Now, I don't pat myself on the back for sending you back
'Cause God knows I was better than that (kyuh)
To conceive you, then leave you, the concept alone seems evil
I'm trapped in my conscience
I adhered to the nonsense, listened to people who told me
I wasn't ready for you
But how the – would they know what I was ready to do?
And of course, it wasn't your fault (no)
It's like I feel you the air, I hear you saying
""Mommy don't cry, can't you see I'm right here?"" (yes)
I gotta let you know what you mean to me
When I'm sleeping, I see you in my dreams with me
Wish I could touch your little face, or just hold your little hand
If it's part of God's plan maybe we can meet again

[Bridge: Nicki Minaj (Shawn Wright)]
(The more I cry, the more I try, gotta keep on)
My voice projected, my life reflected
(The more I cry, the more I try, gotta keep on)
(The more I cry, the more I try, gotta keep on)
My voice projected, my life reflected
(The more I cry, the more I try, gotta keep on)
May the lord protect me, as the world gets hectic
(More, more, more, more, more, gotta keep – mo-o-o-o)
(The more I cry, the more I try, gotta keep on)
May the lord protect me, as the world gets hectic
(The more I cry, the more I try, gotta keep on)
(The more I cry, the more I try, gotta keep on)

[Outro]
May the lord protect me, as the world gets hectic
My voice projected, my life reflected
May the lord protect me, as the world gets hectic
My voice projected, my life reflected
May the lord protect me, as the world gets hectic
My voice projected, my life reflected
(Can you hear me? Yeah)
May the lord protect me, as the world gets hectic",Nicki Minaj,
"[Chorus]
I can't control the way I'm movin' my hips
Bet you never ever seen it like this
I'm a monster on the floor, I can't quit
Now, I know, it's automatic, it's automatic

[Verse 1]
It's automatic, I'm a runaway train
And it's likely that I tear up this place
When I go, I go hard
I'mma show you bizarre tonight, tonight (ni-i-ight)
It's automatic, my condition's unknown
There's no remedy and no antidote
It's just the way that I am
Nicki, Nicki so bad tonight, tonight (ni-i-ight)

[Chorus]
I can't control the way I'm movin' my hips
Bet you never ever seen it like this
I'm a monster on the floor, I can't quit
Now, I know, it's automatic, it's automatic
It's automatic
It's automatic

[Verse 2]
It's automatic, some might call it insane
I assure you, I'll be stuck in your brain
You'll be falling for me, boy
Yeah, just like a domino tonight tonight (ni-i-ight)
It's automatic when I'm rockin' the beat
Systematically, I'm droppin' your heat
It's just the way that I am
Nicki, Nicki so bad tonight, tonight (ni-i-ight)

[Chorus]
I can't control the way I'm movin' my hips
Bet you never ever seen it like this
I'm a monster on the floor, I can't quit
Now, I know, it's automatic, it's automatic
It's automatic
It's automatic

[Bridge]
Press rewind, p-p-press rewind
It's automatic, I-I'm Einstein
I'm lookin' for that Einstein
Wales, London, Ireland
Scotland, I can idle in
South Africa and Brazil
Shut the club down, bring the bill
Bri-ri-ri-ri-ring the bill
Br-bri-bri-bri-bring the bill
Bri-bri-bring the bill
Shut the club down
Bring the bill

[Chorus]
I can't control the way I'm movin' my hips
Bet you never ever seen it like this
I'm a monster on the floor, I can't quit
Now, I know, it's automatic, it's automatic
It's automatic
It's automatic",Nicki Minaj,
"Now every club promoter wanna bid like auctions
'Cause we pack shows, Celtics like Boston
You see me in the lobby, takin' pics and flossin'
After every pic gotta fix my corset
I am running this shit, I am so exhausted
Batter up bitches, but approach with caution
You be talkin' slick, and honestly I could see why
You don't know me and I ain't talkin' bout T.I
Just when they thought I was done for the winter, I
Came out stuntin', I'm such a big spender, I
Two of everything but nope I'm not a gemini
My life's a movie, take me to the cinema
Take me out to the ball game
Cause you know I only fuck with ballers
Yup them is my type of niggas, shotcallers
I been around the world, I'm such a bad, bad girl
I got the Austin Power flow, I'm groovy bitches
And no, you're no match for my Uzi bitches
I dumb my raps down so I don't lose these bitches
Say some sex shit like, ""wetter than jacuzzi bitches""

[Hook]
Been around the world, I still can't find
Another girl that could steal my shine
I've had my highs, I've had my lows
But you can't tell me that I am not the baddest bitch
I'm the baddest bitch, the mistress, I'm the baddest bitch
I'm the baddest bitch, trick, t-trick please I'm the baddest bitch

[Verse 2]
Half a bar,  just to laugh at 'em
High school, if he ball, throw my math at him
And if he wants some pussy, that's a no no
I only fuck with bad bitches, no homo
Flow sicker than LL
Chinese and them things go pow-pow
Word to me, all them girls better bow down
Nicki Minaj, I'm the talk of the town now

[Hook]
Been around the world, I still can't find
Another girl that could steal my shine
I've had my highs, I've had my lows
But you can't tell me that I am not the baddest bitch
I'm the baddest bitch, the mistress, I'm the baddest bitch
I'm the baddest bitch, trick, t-trick please I'm the baddest bitch

Baddest, the baddest
My pussy's the fattest
I'm bad
Bad
Bad, Bad",Nicki Minaj,
"[Intro]
Uh, mmm, kyuh
R.I.P. to B.I.G. 
Classic shit

[Verse 1]
I'm lookin' for a nigga to give some babies
A handful of Weezy, sprinkle of Dave East
Man, I ain't got no type like Jxmmi and Swae Lees
But if he can't fuck three times a night, peace!
I tried to fuck 50 for a powerful hour
But all that nigga wanna do is talk Power for hours
B-beat the pussy up, make sure it's a K-O
Step your banks up like you're movin' that yayo
Somebody go and make sure Karrueche okay, though
I heard she think I'm tryna give the coochie to Quavo
They always wanna beat it up, goon up the pussy
Man, maybe I should let him autotune up the pussy
All these Bow Wow Challenge niggas lyin' and shit
Man, these Fetty Wap niggas stay eyein' my shit
Drake worth a hundred mill, he always buyin' me shit
But I don't know if the pussy wet or if he cryin' and shit
Meek still be in my DMs, I be havin' to duck him
""I used to pray for times like this"" face-ass when I fuck him
Man, Uzi is my baby, he ain't takin' a L
But he took it literally when I said ""Go to hell""
Used to fuck with Young Thug, I ain't addressin' this shit
C-caught him in my dressing room, stealin' dresses and shit
I used to give this nigga with a lisp tests and shit
How you want the pu-thy? Can't say your S's and shit, uh

[Chorus]
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' (Barbie dreams)
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' (B-B-B-Barbie dreams)
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' (B-B-B-Barbie, B-B-B-Barbie dreams)
Dreams of fuckin' one of these little rappers (Barbie dreams)
I'm just playin', but I'm sayin'

[Verse 2]
I remember when I used to have a crush on Special Ed
Shoutout Desiigner 'cause he made it out of special ed
You wanna fuck me, you gotta give some special head
'Cause this pussy have these niggas on some special meds
Like Mike Tyson, he was bitin' my shit
Talkin' 'bout, ""Yo, why you got these niggas fightin' and shit?""
On the, on the real, I should make these niggas scrap for the pussy
Young M.A and Lady Luck, get the strap for this pussy, uh
And I woulda had Odell Beckham bangin' the cake
'Til I saw him hoppin' out of cars dancin' to Drake
I been a five-star bitch, man, word to Gotti
I'ma do that nigga Future dirty, word to Scottie
Had to cancel DJ Khaled, boy, we ain't speakin'
Ain't no fat nigga tellin' me what he ain't eatin'
YG and The Game with the hammer yellin', ""Gang! Gang!""
This ain’t what I meant when I said a gang bang
Tekashi want a ménage, I said ""tre-way""
Curved him and went the Kim and Kanye way
Em, cop the Barbie Dreamhouse, then you can play the part
I-I ain't tryna bust it open in a trailer park

[Chorus]
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' (Barbie dreams)
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' (B-B-B-Barbie dreams)
Dreams of fuckin' one of these little rappers
I'm just playin', but I'm sayin' (B-B-B-Barbie, B-B-B-Barbie dreams)
Dreams of fuckin' one of these little rappers (Barbie dreams)
I'm just playin', but I'm sayin' (B-B-B-Barbie dreams)
(Barbie Dreams)
I'm just playin', but I'm sayin' (B-B-B-Barbie, B-B-B-Barbie dreams)

[Verse 3]
You know I'm all 'bout them dollars
I be supportin' them scholars
I let him give me some brain, but he wanted me to ride it
So I said, ""Fuck it, I'm in""
He wanna cut like a trim
And if he act like he know, I let him fuck it again
I got them bars, I'm indicted
I'm poppin', I'm uninvited
I said, ""Just lick on the clitoris, nigga, don't fuckin' bite it""
I ride his **** in a circle
I turn Stefan into Urkel
I go arounds and arounds and I'ma go down in slow motion
The-then I pick it up, look at it
I said, ""Daddy, come get at it,"" uh
Yellow brick road, he said that I am a wiz at it
Yeah, they want it, want it
You know I flaunt it, flaunt it
I'm a trendsetter, everything I do, they do
Yeah, I put 'em up on it, on it
¡Dimelo, papi, papi!
Yo quiero sloppy, sloppy
I'll give it to you if you beat it up like Pacqui, Pacqui
I-I-I-I'ma kill 'em with the shoe
No ceiling is in the roof
And I'm big, give me the loot
12 cylinders in the coupe
I get dome with the chrome, no tellin' when I'ma shoot
I just bang, bang, bang, real killas is in my group
Gorillas is in my unit, vacationin' where it's humid
And I shine, shine, shine, got diamonds all in my cubans
I'm in LA Times more than when niggas lootin'
And my flow spit crack, I think that nigga usin'
He done bodied everybody, in closing, these bitches losin'
Usin', usin' up, a bitch movin'
No, I ain't stuttered and no, I ain't Ruben
Damn, a bitch snoozin'
Shoutout to my Jews, l'chaim, Rick Rubin
Big fat titties, yes, they be protrudin'
I be like, fuck 'em, fuck 'em, bring the lube in
I be like, fuck 'em, fuck 'em, bring the lube in",Nicki Minaj,
"[Intro]
Dem-dem-dem-dem dem-dem
Dem-dem-dem-dem
Dem-dem-dem-dem dem-dem
Dem-dem-dem-dem

[Verse 1]
Uh, I'm in my prime, Optimus
Sagittarius, so you know I'm an optimist
Man, keep it all real, I'm a prophetess (Okay)
So at least you took an L off your bucket list (Bucket list)
It's time to make hits and it's time to diss
How you still dissin', still can't find some hits? (Okay)
Was it worth it, dummy? I ain't mind a bit
Still on that show gettin' no chips, time to dip

[Pre-Chorus]
I, I, I, I-I, I-I, I (Okay)
I'm still fly, just bagged a white guy (Okay)
Ritchie like Guy and I still eat Thai
Want the Nicki cheat code? Come on, bitch, nice try

[Chorus]
Let's be real, all you bitches wanna look like me
Wanna be in demand, get booked like me
Wanna run up in the lab and cook like me
But ain't nan you hoes pussy good like me
Pussy so good his ex wanna still fight me
Face so pretty bitches wish they could slice me
She just mad 'cause he never bought her ice like me
I cut all my niggas off, but they would still wife me (Still wife me)

[Verse 2]
Rap bitches tell they team, ""Make 'em like Barbie""
Had to come off IG so they can't stalk me
All they do is copy looks, steal music too
Want to see what bitches do when they lose the blue-print
I mean the pinkprint, ho, let it sink in
I spoke to Jay the other day, he's still the kingpin
He's still the only nigga that I woulda signed to
If I ain't sign to Wayne's perfectly designed crew
'Cause we the big three, don't need a big speech
We made the biggest impact, check the spreadsheet
That's Lil Weezy, the Barbie and Drizzy Drake
Niggas gettin' more cheese, kissy face
I'm a bad bitch, fuck the bitch (Uh)
Bitch get slick, I'ma cut the bitch
I'm a bad bitch, suck some dick (Okay)
If that bitch get slick, I'll cut the bitch
I'll cut up the bitch, I'll gut the bitch (Okay)
Had to fuck up the bitch, man, fuck the bitch
Won't shoot her but I will gun-butt the bitch
When we say ""Fuck the bitch,"" dick up the bitch
She was stuck-up so my niggas stuck up the bitch
Still draggin' her so don't pick up the bitch
Get the combination to the safe, drug the bitch
Know the whole operation been bugged the bitch

[Pre-Chorus]
I, I, I, I-I, I-I, I (Okay)
I'm still fly, just bagged a white guy (Okay)
Ritchie like Guy and I still eat Thai
Want the Nicki cheat code? Come on, bitch, nice try

[Chorus]
Let's be real, all you bitches wanna look like me
Wanna be in demand, get booked like me
Wanna run up in the lab and cook like me
But ain't nan you hoes pussy good like me
Pussy so good his ex wanna still fight me
Face so pretty bitches wish they could slice me
She just mad 'cause he never bought her ice like me
I cut all my niggas off, but they would still wife me (Still wife me)

[Bridge]
They would still wife me
They would still wife me
Yup, him too, he would still wife me
Ahh, ha

[Verse 3]
When it come to stealin' flows, these birds is fluent
But they stutter when get asked 'bout the queen's influence
When it's clear they bite me, I'm flattered they like me
I don't wanna check bitches, tell 'em wear their Nikes
Barbie tings, that's Barbie tings
Big Barbie tings, that's Barbie tings
Big Barbie tings, that's Barbie tings
Uh, Barbie dreamhouse, Barbie rings
That's Barbie beach house, Barbie Benz
Uh, Barbie white picket Barbie fence
All tea, all shade, bitch, all offense
If you ever try to confiscate Barbie's Ken
I'ma put you in the box where my dollies been
Chop it up and the next stop garbage bin
'Cause you hoes too old to be gossipin'
I'm just tryna find out when the new Porsche come in",Nicki Minaj,
"[Intro]
You know they say who, who is Nicki Minaj?
You know I'm like a multiple personality bitch
Like, you know, I'm, I'm, you know, I'm a ninja, I'm a boss
I'm, I'm the Harajuku Barbie!

[Sasha Sample]
Who said dem waan hackle mi body
Dem haffi have a permit and a licence fi me
Now tell me who said dem waan hackle mi body
Dem haffi have a permit and a licence fi me
Admit it
Mi say, me moan and groan
Admit it, say me moan and groan
Admit it, say me moan and groan
Admit it, -mit it, -mit it, -mit it

[Verse 1]
I just heard that I was the baddest in the town
So I came down and had to pick up my crown
Went to Taiwan and had to pick up my wand
Now everybody wanna pick up my sound
Baddest underground since Harriet Tub
That's why when I come around they hurry and run
And I know it ain't math but I carry the one
Got a couple body guards that'll carry the guns
Yao Ming, I'mma need a couple Asians
Sayonara, bitches, on a Kawasaki blazin'
Ayo, Rihanna, gotta come up off dem bajans
Call Wyclef, I'm a need a couple Haitians
Now where my West Indies?
Where the fuck my curry chicken and my rice and peas?
My madda cunt Trinis
My Jamaican bod gal, all my Guyanese?

[Sasha Sample]

[Verse 2]
I just found out that I was doper than Amy
Winehouse, maybe
Fresh out the navy
Fresher then a daisy
Used to be on Baisley
Young money bunny bitch please say the baby
Please stop callin' me, I'm such a rock star
Assalam alaikum, where the fuck is Akbar?
Give 'em my keys, tell 'em valet my car
B's pon da wheels, you can see them from far
Now all I need is a real mandingo
Gimme good uhh and distribute my single
Bootleg the mixtape out in Nigeria
Hit up Amadu, he can meet the criteria
If he work da middle like a mohawk, tell'em he can meet me where dem girls say aloha
See I got da first class pussy and he use to give me Coacha
Real good chocha, fuck is my chauffeur?

[Sasha Sample]

[Bridge]
Ahh, beam me up, Scotty
My wa-wa wine
My wine is too dutty
Beam me up scotty
My wa-ba wine
My wine is too dutty

[Verse 3]
One, two, buckle my shoe
No one on the corner has swagger like I do
Keep a two-two, get wetter then boo-hoo
Keep a couple stacks inside of my loo-loo
Excuse me, I'm sorry
I got the 45 special, don't worry
Cause I'm cooler than a bloodclaat flurry
I like mi chicken and mi goat with curry(yeah)
Now, where my West Indies?
Where the fuck my curry chicken and my rice and peas?
My madda cunt Trinis
My Jamaican bad gal, all my Guyanese?

[Outro]",Nicki Minaj,
"[Intro]
South Africa is where I come from
Get me my banjo, get me my drum
Kidnap career, and don't take ransom
Don't let me come out of my dungeon
When mi did ah leave then take it down
True say mi come out of England and it done
True say the pattern come from Kingston
Trinidad, Trinidad, my island

[Verse 1]
I see you in here dancing
Your preview is quite romantic
I envy your perfect kind of life
Who knew you'd be so sexy?
I think you're quite fantastic
Screw your flaws, you're perfect in my eyes

[Pre-Chorus]
And maybe I'm naive for loving you
You're a cheat and a liar
But tonight, you're everything I desire

[Chorus]
You beautiful sinner
I love your wicked heart
Beautiful sinner
It's such a work of art
I didn't know that bad could look so good
You are the type of bad that feels so good
You beautiful sinner

[Verse 2]
I bet you're hard as stone
Living in your world alone
I hope you let me in tonight
They want me to beware
You're dangerous, but I don't care
I can't wait to have you in my arms

[Pre-Chorus]
And maybe I'm naive for loving you
You're a cheat and a liar
But tonight, you're everything I desire

[Chorus]
You beautiful sinner
I love your wicked heart
Beautiful sinner
It's such a work of art
I didn't know that bad could look so good
You are the type of bad that feels so good
You beautiful sinner

[Bridge]
Maybe you're the master of disguise
And you are puttin' on and you're really the saint, the good one
Are you here to save me from the crowd?
If you are, then baby, take me now

[Chorus]
Beautiful sinner
I love your wicked heart
Beautiful sinner
It's such a work of art
I didn't know that bad could look so good (oh, I didn't know)
You are the type of bad that feels so good
You beautiful sinner",Nicki Minaj,
