lyrics,artist,song_title,featuring
"[Intro: Watch The Duck]
You ain't the type of lady that's known to fuck around
Keep your mind on your money, and you ain't looking to settle down
Girl, you keep it 100, 100, 100 when you're 'round me, yeah
That's why I keep it 100, 100, 100 when you're round me, girl
When you come around me, when you come around me
Yeah, girl, you keep it 100, 100, 100, when you're 'round me
Girl, when you come around me

[Verse 1: Iggy Azalea]
Imma keep it 100, I'm a boss chick, but he run it
No Michael Kors just Tom Ford
Saint Tropez, I'm like bonjour
In Spain wearing that Balmain, Lanvin, Givenchy
On the top floor of that penthouse, I got ten toes on that concrete
Keep it G with the money, I ain't gotta lie about shit
I don't need the money, I can buy my shit
Heard in the streets that he fucked that bitch
He know I'mma put his ass out my shit
Paid one million for that drop six
And he got the Glock in my cockpit
Them other chicks he get caught with
I'm the bitch he gonna rock with
They talk shit, but we bought shit, fly Aussie on boss shit
When he need to be, where he need to be
I tell him ""go on, it ain't no thing to me""
Gotta hit that thing, bring that back witcha
Let me thumb through the check if you wanna get sexy
You knew I was high class ass when you met me
My money tall, it's too bad for y'all
Y'all dough as short as Joe Pesci
I'm a fancy bitch but I'm ratchet
Not like the bitch you had, ain't never had shit
Respect that, how I come around, no run around
You better humble down
Them games, ain't gonna play none
Keep it A1 since day one, yeah

[Hook: Watch The Duck]
You ain't the type of lady that's known to fuck around
Keep your mind on your money and you ain't looking to settle down
Girl, you keep it 100, 100, 100 when you're 'round me
Yeah, girl you keep it 100, 100, 100 when you're 'round me
Girl, when you come around me

[Verse 2: Iggy Azalea]
Bankrolls'r'us, we got it, you know how we ride
No credit, no debit, no thanks
My clique pay cash everything we buy
See me walking by with my nose in the sky
Make you be like, ""Damn bitch, can't say hi?""
Then I hop in the drop and wave goodbye
As I drive through the tunnel looking like Lady Di
Why stress myself when he not there?
Let's see how he likes seeing me out there
You know how many dudes want me out there?
Just stop thinking about it, you got no idea
Don't try me man, you know I will
Throw this brick through your wind shield
Knife your nice new Rover Wheel
That fireplace? Your clothes in there
If I know you two in there, no asking what you doing there
Imma send my crew in there, you two gonna be ruined there
You violate, I demonstrate, especially if I'm true to you
And when I come around, I keep it 100 as usual

[Hook: Watch The Duck]
You ain't the type of lady that's known to fuck around
Keep your mind on your money and you ain't looking to settle down
Girl, you keep it 100, 100, 100 when you're 'round me
Yeah, girl you keep it 100, 100, 100 when you're 'round me
Girl, when you come around me

[Outro: Watch The Duck & (Iggy Azalea)]
100, 100 as usual, 100 as usual
(When I come around I keep it 100 as usual)
100, 100 as usual, 100 as usual
(When I come around I keep it 100 as usual)",Iggy Azalea,100,WATCH THE DUCK
"[Hook:]
Motherfuckers calling my phone
1-800-Bone
Boy, ain't you know?
I can back it up like a Tonka truck
So call my phone phone
1-800-Bone
Say you got that gun?
That AK-47
Bang! bang! bang!

[Verse 1: Iggy Azalea]
Iggy got that secret service, this that presidential shit
Get the busy tone when ya call my phone and my voicemail full of messages
Say you got that AK-47, well, let me see you shoot it
Eat it up, beat it up boy, don't bruise it
Put ya hands on it, don't slip, don't lose it
Bad bitches in my chat room, my chat room be poppin'
Turn that chat room to a freak show when them bad bitches get topless
Put it on Ustream for the whole world so the whole world can see it
Got that hotline, and it's about time for me to swap it out, I gotta re-up
They saying, ""Iggy, oh, Iggy,"" they wanna play with that kitty
They calling, blowing my phone up, wishing they could kick it with me
The way I'm stunting I'm hurting feelings, they wondering what I'm getting
A hustler charging all of you customers by the minute

[Hook:]
Motherfuckers calling my phone
1-800-Bone
Boy, ain't you know?
I can back it up like a Tonka truck
So call my phone phone
1-800-Bone
Say you got that gun?
That AK-47
Bang! bang! bang!

[Verse 2:]
I double G Y, Iggy
Who fuck with I? Not many
Well know like them four turtles
Shredder, Bebop, and Rocksteady
That late night call be the beddy-bye
Now tell me, who the fuck are you sleeping on?
Round trip flight where the fuck I want
Doing everything you bitches don't
Private parties on roof tops
Exclusive shit when I shoe shop
Other hoes just crew hop, while I'm pulling up in the new drop
1-800-Bone thug
That freak shit I put you on some
You could try all night but I won't come
(you could try all night but I won't come)
You better make sure you ready
These killer instincts is deadly
They calling two at a time, got that 3 way on my telly
My hotline always ringing, I got them specials and deals
You know my sex is a weapon, they lining up to get killed

[Hook:]
Motherfuckers calling my phone
1-800-Bone
Boy, ain't you know?
I can back it up like a Tonka truck
So call my phone phone
1-800-Bone
Say you got that gun?
That AK-47
Bang! bang! bang!

[Bridge:]
Let me go stupid
Go ape shit
Go dumb
Go insane
In the membrane
That straight jacket shit
I'm a crazy bitch",Iggy Azalea,1-800-BONE,
"Lyrics to Iggy Azalea's ""7teen"" won't be available

[Verse 1]
Talkin' out your gums'll get you drummed (get you drummed)
I pop a wheelie in the Jeep, just for the fun (for the fun)
I hit my neighbor, when I come, that's when you run (when you run)
Like I got some signal, that's just how you run (what you say?)
Where these bitches get they courage, where you from? (Where is you?
Girl, you lyin' through your teeth, you know you front (know you front)
Runnin' to the rum when I cut your tongue (cut your mouth)
Yeah, I bless 'em, they just wanna be the one (what you say? Ayy)

[Chorus]
I ain't wanna play though, I ain't wanna play though (pow)
I'm tryna pull my card, lay it on the table (uh)
I ain't wanna play though, I ain't wanna play though (say it)
I ain't wanna play, shut your mouth (uh)
I will never change where the cash go (go)
Keep my name out your mouth or get strep throat (go)
Meet me in the future, okay, let's go (let's go)
Make them dance around, DJ Esco (sheesh)

[Post-Chorus]
Seventeen milli, seventeen milli
Seventeen milli, seventeen milli
Seventeen milli, seventeen milli
You lookin' at seventeen, seventeen milli

[Interlude]
Know what I'm talkin' 'bout?
That shit crazy, man

[Verse 2]
I'm back with the finessin', nah, fuck a single
I put Chordz on the beat, that's my fuckin' people
Let's take it back to the crew like it once was (once was)
I swear these meetings every meeting like it's Breakfast Club (Breakfast Club)
What up Charlamagne? Add me to the hall of fame (hall of fame)
They want my Aussie accent, that's a fuckin' shame
They forgot I been here since I's a fuckin' teen, ayy (fuckin' teen)
Shit was kinda tricky, had to chase my dream

[Chorus]
I ain't wanna play though, I ain't wanna play though (pow)
I'm tryna' pull my card, lay it on the table (uh)
I ain't wanna play though, I ain't wanna play though (say it)
I ain't wanna play, shut your mouth up
I will never change where the cash go (go)
Keep my name out your mouth or get strep throat (go)
Meet me in the future, ok, let's go (let's go)
Make them dance around, DJ Esco (sheesh)

[Post-Chorus]
Seventeen milli, seventeen milli
Seventeen milli, seventeen milli
Seventeen milli, seventeen milli
You lookin' at seventeen, seventeen milli
Seventeen milli, seventeen milli
Seventeen milli, seventeen milli
Seventeen milli, seventeen milli
You lookin' at seventeen, seventeen milli

[Refrain]
That's how I lead, oh, what you thought?
I gave you some time, now go take a walk
That's how I lead, oh, what you thought?
I gave you some time, now go take a walk

[Verse 3]
I got onyx on fire, magic city is lit
Loose flame on these haters, stroke is holdin' my mix
Tell 'em what, check the spot you just missed
Tell 'em what, check the spot you just missed, talk to me

[Chorus]
I ain't wanna play though, I ain't wanna play though (pow)
I'm tryna' pull my card, lay it on the table (uh)
I ain't wanna play though, I ain't wanna play though (say it)
I ain't wanna play, shut your mouth (uh)
I will never change where the cash go (go)
Keep my name out your mouth or get strep throat (go)
Meet me in the future, ok, let's go (let's go)
Make them dance around, DJ Esco (sheesh)

[Post-Chorus]
Seventeen milli, seventeen milli (sheesh)
Seventeen milli, seventeen milli (sheesh)
Seventeen milli, seventeen milli
You lookin' at seventeen, seventeen milli",Iggy Azalea,7teen,
"[Refrain]
Heading for a zillion
Thumbing through a billion
Gotta keep it trillion
What is a million?
Okay
Heading for a zillion
Thumbing through a billion
Gotta keep it trillion
What is a million?
Okay

[Verse 1]
Heading for a zillion
Thumbing through a billion
Gotta keep it trillion
What is a million?
What the fuck is a million?
Gotta stack bread, home pride to the ceiling, uh
All my bitches say let’s get it on
One time for my bitches that can get it on
Represent for the ladies that be working
Who we schooling? Who you ruling?
Pussy power, ‘til I'm passin' on
Uh, six feet to the dead beats
Six feet to those that don’t understand me
Six feet to the lame dudes talking who scared to put a ring on it
Yeah, you know you hear me
Listen up this is therapy
There is no one ahead of me
A hundred bad chicks are backing me
Uh, the rest of y’all are just nominees

[Pre-Hook]
Who tryna get it, tryna get it with me
If I can do it you can get it with me
Guacamole, come and get it with me
Point ‘em out, every penny, penny
Who tryna get it, tryna get it with me
If I can do it you can get it with me
Guacamole, come and get it with me
Point ‘em out, every penny, penny

[Hook]
Now what’s a milli to a billion?
Forget a billi keep it trillion
We looking pretty in the building
Looking like a trillion
Feeling like a zillion
Now what’s a milli to a billion?
Forget a billi keep it trillion
We looking pretty in the building
Looking like a trillion
Feeling like a zillion

[Verse 2]
This is when I kill it, when I flip it
When I get it on
Money got us fickle think I want to spend it all
Fuck them with the silvers and golds
I’m getting commas and O’s like cheerios needs to get a song
Uh, who tryna get it, tryna get it with me?
From December to the motherfucking Igguary
Body bags putting covers in the cemetery
New Classic just the preliminary
This a rap bitch obituary
Pop queen, many weeks on the chart it’s scary
Got my squad no time for a little fairy
Raw shit, salmonella, gotta fuckin' bury
Legendary, kept it hustling, go for nothing, it was temporary
Seen it all before it happened I’m a visionary
Now the game, that’s mine, it’s necessary

[Pre-Hook]
Who tryna get it, tryna get it with me
If I can do it you can get it with me
Guacamole, come and get it with me
Point ‘em out, every penny, penny
Who tryna get it, tryna get it with me
If I can do it you can get it with me
Guacamole, come and get it with me
Point ‘em out, every penny, penny

[Hook]
Now what’s a milli to a billion?
Forget a billi keep it trillion
We looking pretty in the building
Looking like a trillion
Feeling like a zillion
Now what’s a milli to a billion?
Forget a billi keep it trillion
We looking pretty in the building
Looking like a trillion
Feeling like a zillion
Feeling like a zillion

[Refrain]
Heading for a zillion
Thumbing through a billion
Gotta keep it trillion
What is a million?
Heading for a zillion
Thumbing through a billion
Gotta keep it trillion
What is a million?
What is a million?

[Outro]
Listen up
This is when I kill it, when I flip it
When I get it on
Money got us fickle think I want to spend it all
Fuck them with the silvers and golds
I’m getting commas and O’s like cheerios needs to get a song
Gotta stack, stack, stack, stack bread
Getting commas and O’s O-O-O-O-O
Legendary",Iggy Azalea,Azillion,
"[Produced by 1st Down of FKi]

[Intro:]
TrapGold...

[Verse 1:]
I got twenty racks on my new jeans
I got ten more in my blue jeans
I walk in and I turn up, pimp tight like I'm permed up
I heard broke bitches talkin' like they rollin' like us
Man, these bitches sound shermed up
And these bitches be mad at us 'cause these bitches so down to fuck
Claim that shit, I can bang that shit
Fuck me, fuck a team, I'mma train that bitch
I hope you ain't wife that bitch
Cause I know a couple homies that'll pipe that bitch
Lifestyle flashy like a Nikon pic
And your bitch chose me cause you walk out with
My ass thick and my drinks mixed, say I'm sick, I say no shit
Better fo' drip, and that's a fo' sip and all my flows is slow piff
Closed case, I'm killin' shit, heard your flow, I'm not feeling shit
My brand right and I'm on one and these bitches don't want none
(These bitches don't want none)
(These bitches don't want none)

[Hook:]
I shine bright cause I grind, bitches hate, I don't mind
My heart's in it, I'm authentic, it's clear to see it's my time
I shine bright cause I grind, bitches hate, I don't mind
My heart's in it, I'm authentic, it's clear to see it's my time
I shine bright cause I grind, bitches hate, I don't mind
My heart's in it, I'm authentic, it's clear to see it's my time
I shine bright cause I grind, bitches hate, I don't mind
My heart's in it, I'm authentic, it's clear to see it's my time",Iggy Azalea,Bac 2 Tha Future (My Time),Tiësto
"[Sample: Niki & The Dove]
Last night, we got married in a taxi
I swear I loved you, yes I love you like there's no tomorrow
And I've got no time, for second thoughts now
We got tonight and then I have to go

(D.R.U.G.S.)

[Verse 1: Iggy Azalea]
I know you want it
So why prolong it?
Perfect time right now
Gimme that look, I'm a hop up on it
Iggy in that zone
And we all alone
What you waiting on?
Lots of woman back here
How bad you want it?

[Pre-Hook:]
Back bone, back on, gonna back
That to my back bone
Back strong, back back back
My apple, not no iPhone
Backseat, that's our horny ecstasy
Popping gone already see
So there we be, we feel it, yeah I'm telling he

[Hook: Chevy Jones]
Give it to him down in the parking lot
That's true love, that's true love
Give it to him down in the parking lot
That's true love, that's true love
Give it to him down in the parking lot
That's true love, that's true love
Give it to him down in the parking lot
In the backseat, in the backseat of the car

[Verse 2: Iggy Azalea]
Here we go, up and down to the beat
Never caring if they peep cause the windows fog
Gotta get it when I get it, get it right, get it good
Get it good while it's good, it's the shit for all
I don't really do this with all
But the way you touch me, my dress come off
Drop get you rocking then the top come off
And my top come off then we bring it hard

[Pre-Hook:]
Back bone, back on, gonna back
That to my back bone
Back strong, back back back
My apple, not no iPhone
Backseat, that's our horny ecstasy
Popping gone already see
So there we be, we feel it, yeah I'm telling he

[Hook: Chevy Jones]
Give it to him down in the parking lot
That's true love, that's true love
Give it to him down in the parking lot
That's true love, that's true love
Give it to him down in the parking lot
That's true love, that's true love
Give it to him down in the parking lot
In the backseat, in the backseat of the car

[Outro x4: Iggy Azalea (Chevy Jones)]
Back gone
Can't wait to get that home
I want that (backseat love)
I want that (backseat love)",Iggy Azalea,Backseat,Chevy Jones
"[Intro: MØ]
I'ma make you beg, I'ma make you beg for it
I'ma make you beg, I'ma make you beg...

[Verse 1: Iggy Azalea]
Pulled up looking picture perfect, baby
High price, but I'm worth it, baby
Can't play with ya, I've been busy workin', baby
Gettin' faded in the European, swervin', ayy
Look, describe Iggy groundbreaking what the word is
Hit the stage, ass shakin' like I'm nervous
When in New York, I be parkin' right on Madison
This ain't no accident, I'm killing 'em on purpose
I-G-G-Y did she just have to do it?
Baby ride with me, fly living, there ain't nothing to it
And my waist slim, ass fat, you gotta have it
Yeah, my bake on, cake long, that's automatic

[Chorus: MØ]
I know you like the way I turn it on
I'm out here with my friends
I'ma make you beg, I'ma make you beg for it
If you don't do this right, you're going home alone
I guess you'll have to beg
I'ma make you beg, I'ma make you beg for it

[Verse 2: Iggy Azalea]
P-P-P-Pussy power, pay me by the hour
I need me a Braveheart, can't deal with a coward
I tell him if he ain't ballin', he should hit the showers
If I pick you, you lucky, baby, this money ours
All yellow gold on me, like I'm Trinidad (James)
Sittin' drop top, wondering where the ceiling's at
I know my old thang wanna bring the feeling back
But I got a new thang, baby, I ain't feeling that now
Iggy Iggy Iggy, can't you see?
That everybody wanna put they hands on me
See I be on this money while your man on me
And I need another hand with all these bands on me, wait

[Chorus: MØ]
I know you like the way I turn it on
I'm out here with my friends
I'mma make you beg, I'mma make you beg for it
If you don't do this right, you're going home alone
I guess you'll have to beg
I'mma make you beg, I'mma make you beg for it

[Bridge: Iggy Azalea (MØ)]
Get up out my face like who d'you think you are?
Talking all this trash like blah-de-blah-de-blah
(Oh ayy oh) nuh-uh (Oh ayy oh) nuh-uh (Oh ayy oh)
Get up out my face like who d'you think you are?
Make me wanna laugh like har-de-har-de-har
(Oh ayy oh) nuh-uh (Oh ayy oh) nuh-uh

[Chorus: MØ]
I know you like the way I turn it on
I'm out here with my friends
I'mma make you beg, I'mma make you beg for it
If you don't do this right, you're going home alone
I guess you'll have to beg
I'mma make you beg, I'mma make you beg for it

[Outro: MØ (and Iggy Azalea)]
Got you hooked boy, I'm like a drug
If you want my love better smoke it up
(Make you beg for it, I'ma make you beg for it)
You can look, boy, but don't you touch
If you want my love make me give a fuck
(Make you beg for it, I'ma make you beg for it)",Iggy Azalea,Beg For It,MØ
"[Intro]
Got it on Smash
Go Grizz

[Pre-Chorus: Iggy Azalea]
Pop my clip and click clack
Pull up, push your shit back
Ain't got no time for chit chat
Just holla if you need that
Ain't 'bout dollars, get no text back
Packs, you know I flip that
Already had my setbacks
I pull up with the big bag

[Chorus: Iggy Azalea]
I pull up with the big bag, big bag
I pull up with the big bag, big bag
Pull up with the big bag, big bag
I pull up with the big bag, big bag

[Verse 1: Iggy Azalea]
I-G-G, I need that big bag
That broke shit, I'm not with that
Since y'all love lettin' y'all lips flap
Go tell 'em that that bitch back
This money still comin' fast
So quick, Ben Frank got whiplash
These diamonds in my necklace
Watch and bracelet look like chipped glass
Who playin' with your bitch ass?
That's smoke for sure you get that
This new Range it just sprint pass
I'm crazy with my rich ass
We not the same, that's big facts
This pussy should be gift wrap
Then I get so much paper, sometimes I feel like I print that

[Pre-Chorus: Iggy Azalea]
Pop my clip and click clack
Pull up, push your shit back
Ain't got no time for chit chat
Just holla if you need that
Ain't 'bout dollars, get no text back
Packs, you know I flip that
Already had my setbacks
I pull up with the big bag

[Chorus: Iggy Azalea]
I pull up with the big bag, big bag
I pull up with the big bag, big bag
Pull up with the big bag, big bag
I pull up with the big bag, big bag

[Verse 2: Stini]
Karma brought the big bag
Now all you bitches big mad
Just 'cause I went and got cash
I been there and I done that
It's 20 bands, yeah, run that
My jewels hit like ""pat, pat""
You got check, then gon' head, cut that
Drip and dividends, I'm 'bout that
Chanel shoes sold out, can't cop that
So you bitches can't copycat

[Pre-Chorus: Iggy Azalea]
Pop my clip and click clack
Pull up, push your shit back
Ain't got no time for chit chat
Just holla if you need that
Ain't 'bout dollars, get no text back
Packs, you know I flip that
Already had my setbacks
I pull up with the big bag

[Chorus: Iggy Azalea]
I pull up with the big bag, big bag
I pull up with the big bag, big bag
Pull up with the big bag, big bag
I pull up with the big bag, big bag

[Bridge: Iggy Azalea]
Runnin' through a new batch
Fendi, I done did that
Chanel runners like kick backs
My money gun got kick back
High with some jetlag
I've been runnin' up big bags
It's gon' come back, so I spend that
Two bags from Goyard cost me 10 racks

[Pre-Chorus: Iggy Azalea]
Pop my clip and click clack
Pull up, push your shit back
Ain't got no time for chit chat
Just holla if you need that
Ain't 'bout dollars, get no text back
Packs, you know I flip that
Already had my setbacks
I pull up with the big bag

[Chorus: Iggy Azalea]
I pull up with the big bag, big bag
I pull up with the big bag, big bag
Pull up with the big bag, big bag
I pull up with the big bag, big bag",Iggy Azalea,Big Bag,Stini
"[Chorus: Rita Ora]
I'm gonna love ya until you hate me
And I'm gonna show ya what's really crazy
You should've known better than to mess with me harder
I'm gonna love ya, I'm gonna love ya, gonna love ya, gonna love ya
Like a black widow, baby

[Verse 1: Iggy Azalea]
This twisted cat and mouse game always starts the same
First we're both down to play, then somehow you go astray
We went from nothing to something, liking to loving
It was us against the world, and now we just fucking?
It's like I loved you so much, and now I just hate you
Feeling stupid for all the time that I gave you
I wanted all or nothing for us, ain't no place in between
Might, might be me believing what you say that you'll never mean
Like it'll last forever, but now forever ain't as long
If it wasn't for you, I wouldn't be stuck singing this song
You were different from my last, but now you got 'em mirrored
And as it all plays out, I see it couldn't be clearer
Now sing

[Pre-Chorus: Rita Ora & (Iggy Azalea)]
You used to be thirsty for me
But now you wanna be set free
This is the web, web that you weave
So baby now rest in peace (It's all over with now)

[Chorus: Rita Ora & (Iggy Azalea)]
I'm gonna love ya until you hate me (Right)
And I'm gonna show ya (Show 'em what, show 'em what?)
What's really crazy
You should've known better than to mess with me harder (It's all over with now)
I'm gonna love ya, I'm gonna love ya, gonna love ya, gonna love ya
Like a black widow, baby
(Black, black widow, baby)

[Verse 2: Iggy Azalea]
I'm gonna l-l-l-love you until it hurts
Just to get you, I'm doing whatever works
You ain't never met nobody that will do ya how I do ya
That'll bring you to your knees, praise Jesus, hallelujah
I'ma make you beg for it, plead for it
'Til you feel like you breathe for it
'Til you'll do any and everything for it
I want you to fiend for it, wake up and dream for it
'Til it's got you gasping for air and you lean forward
'Til they have a CAT scan to check on your mind
And it's nothing but me, on it (On it, on it)
Now it's me time, believe that
If it's yours and you want it, I want it, promise I need that
'Till I'm everywhere that you be at, I can't fall back or quit
'Cause this here is fatal attraction, so I take it all or I don't want shhh

[Pre-Chorus: Rita Ora & (Iggy Azalea)]
You used to be thirsty for me (Right)
But now you wanna be set free
This is the web, web that you weave
So baby now rest in peace (It's all over with now)

[Chorus: Rita Ora & (Iggy Azalea)]
I'm gonna love ya until you hate me (Right)
And I'm gonna show ya (Show 'em what, show 'em what?)
What's really crazy
You should've known better than to mess with me harder
I'm gonna love ya, I'm gonna love ya, gonna love ya, gonna love ya
Like a black widow, baby

[Outro: Rita Ora]
Black, black, black, black widow, baby",Iggy Azalea,Black Widow,Rita Ora
"[Intro: Iggy Azalea]
Yeah, yeah, yeah

[Verse 1: Iggy Azalea]
Okay, supercalifragilistic
Ambionic, go ballistic
Coldest summer
Chain and wrist lit
Automatic Sonic facelift, uh
One time gotta hit 'em with the, uh
Two time like a backstabber
Baby, coming hear the pitter-patter
Kiss my (Hey) back-scratcher
Do you smell a lie lie lie? (Hey)
Dunny drunk la-la-la-la (Hey)
Dosie dough la-la-la-la
No time for the (Shh), wait a minute
Do you smell a lie lie lie? (Hey)
Dunny drunk la-la-la-la (Hey)
Dosie dough la-la-la-la
No time for the (Hey), wait a minute

[Pre-Chorus: Priscilla Renea]
Shotgun, left the scene
Poppin' out the magazine
Click-clock, set it off
Real ones in the parking lot

[Chorus: Iggy Azalea]
I got that boom boom
Baby bring the bass
I got that boom boom
All up in your face
I got that boom boom
Baby bring the bass
I got that boom boom
All up in your face
Boom boom all up in your face

[Verse 2: Iggy Azalea]
Wavy so often
Chordz made this on Slauson
Go crazy you lost it
My ladies you awesome
You got it, got it
Just drop it, drop it
Who 'bout it, 'bout it?
Who 'bout it, 'bout it?
Ugh, nah nah nah nah
Tell me if you ready to ride or die
Do you smell a lie lie lie? (Hey)
Dunny drunk la-la-la-la (Hey)
Dosie dough la-la-la-la
No time for the (Shh), wait a minute
Do you smell a lie lie lie? (Hey)
Dunny drunk la-la-la-la (Hey)
Dosie dough la-la-la-la
No time for the (Hey), wait a minute

[Pre-Chorus: Priscilla Renea]
Shotgun, left the scene
Poppin' out the magazine
Click-clock, set it off
Real ones in the parking lot

[Chorus: Iggy Azalea]
I got that boom boom
Baby bring the bass
I got that boom boom
All up in your face
I got that boom boom
Baby bring the bass
I got that boom boom
All up in your face
Boom boom all up in your face

[Instrumental]

[Chorus: Iggy Azalea]
I got that boom boom
Baby bring the bass
I got that boom boom
All up in your face
I got that boom boom
Baby bring the bass
I got that boom boom
All up in your face
Boom boom all up in your face",Iggy Azalea,Boom Boom,Zedd
