lyrics,artist,song_title,featuring
"[Verse 1]
Hot damn, hot damn, hot damn, hot damn, hot damn
Hot damn ho, here we go again
Suckers steal a beat when you know they can't win
You stole the beat—are you having fun?
Now me and the Aud's gonna show you how it's done
You are what I label as a nerver plucker
You're plucking my nerves you MC sucker
I thought I oughta tell you, better yet warn
That I am like a stock and my word is bond
Like James, killing everybody in sight
The code's three-six, the name is Lyte
After this jam, I really don't give a damn
Cause I'mma run and tell your whole damn clan
That you're a...

[Hook x2]
Beat biter, dope style taker
Tell you to your face you ain't nothing but a faker

[Verse 2]
Hit me why don't ya, hit me why don't ya
Milk's bodyguard is my bodyguard too
You wanna get hurt? Well, this is what you do
You put your left foot up and then your right foot next
Follow instructions, don't lose the context
Thirty days a month your mood is rude
We know the cause of your bloody attitude

[Hook]

[Verse 3]
Your style is smooth, even for a cheating mic
You shoulda won a prize as a Rakim sound-alike
Here's a Milkbone, a sign of recognition
Don't turn away, I think you should listen close
Don't boast, you said you wasn't bragging
You fucking liar, you're chasin' a chuckwagon
The only way you learn, you have to be taught
That if a beat is not for sale, then it can't be bought
When you leave the mic, you claim it's smoking
Unlike Rakim, you are a joke
And I think you ought to stop, before you get in too deep
Cause with a sister like Lyte, yo I don't sleep

[Hook]

[Verse 4]
When I'm in a jam, with my homegirl Jill
My cousin Trey across the room with a posse of girls
So I step in the middle, shake it just a little
Wait for some female to step up and pop junk
Give my cousin a cue, treat the girl like a punk
Now I'm not trying to say that I'm into static
But yo if you cause it, yep, we gotta have it
Cause I ain't going out like a sucker no way
So I sit around the way for you to make my day
We can go for the hands, better yet for the words
Cause you'll be ignored, and at the same time I'll be heard
Throughout the city, the town and the country
The beat is funky, my rhyme is spunky
There is no delaying in the rhyme I'm saying
Neither are there flaws in what my DJ is playing

So sit back Jack, and listen to this, it's 10% dis
Cause I'm just about ready to fly this fist against your lips

But I'll wait for the day or night that you approach
And I'mma serve and burn ya like a piece of toast
Pop you in the microwave and watch your head bubble
Your skin just crumble, a battle's no trouble
Get my homegirls Joanie and Kiki to get stupid
This thing called hip-hop, Lyte is ruling it
I hate to laugh in your face, but you're funny
Your beat, your rhyming, your timing, all crummy
On the topic of rapping, I should write a pamphlet better yet a booklet
Your rap is weak homegirl, and it's definitely crooked

Others write your rhymes while I write my own
I don't create a character when I'm on the microphone
I am myself, no games to be played
No script to be written, no scene to be made
I am the director, as far as you are concerned
You don't believe me, then you'll have to learn
This ain't as hard as MC Lyte can get
Matter of fact, you ain't seen nothing yet
So never let me step into a party hardy
Talk to some people and then hear from somebody
'You wanna battle?' cause you know where I am
You don't wanna come in the 90's and see me at a jam
When a mic is handy, ten feet away
I stretch my arm like elastic, hand like a magnet
Set assure, you know I don't play
When it comes down to it, the nitty gritty
For a sucker like you I feel a whole lot of pity

[Hook]",MC Lyte,10% Dis,
"""I'm the dopest female..""
	""I'm the dopest female that you've heard thus far..""

[MC Lyte]
I'm too old?  What's with that crap?
Come on now brother, age is just a number
Anyway what matters is your state of mind
And if you give me some time I'll make your heart all mine
I don't like pushin and I don't like rushin
But most of all I don't like fussin
So come on now sweetie why don't ya stop frontin
Besides older folks come equipped for good lovin
Are you really serious?  Age really matters?
I thought telling you this, you would be flattered
Well I guess I was wrong cause you still ain't widdit
.. oh well, forget it, nope nope
But don't you dare touch me, you said you wasn't widdit
You waited too long now, Lyte is not havin it
I coulda showed you things, taught you how to explore
My question is, what are you too young for?
I coulda shown you things that you never seen before
Took you all around on my wild world tour
But you're too young, too young to have fun
.. oh well, I'm done

	""I'm the dopest female..""
	""I'm the dopest female that you've heard thus far..""
..
	""I'm the dopest female that you've heard thus far..""

[MC Lyte]
It may sound nasty and it may sound mean
But I'm into little boys that are about seventeen
I don't know why, but they put up a fight
And hot damn that excites the MC Lyte
Cause yo I love a young buck, that give a firm {fuck}
But once in a while, they become lovestruck
But that's okay though, cause I can handle them
I love young boys on the brink, of being young men
I mold em, shape em, make em then I break em in
They get the job done, I make em get the job done
Well, swell, make em kiss and tell
All of their friends around the neighborhood
That Lyte is GOOD, soul food GOOD
So tell me honey, are you ready to score?
Again I'll ask, what are you too young for?

	""I'm the dopest female..""
	""I'm the dopest female..""
..
	""I'm the dopest female that you've heard thus far..""
	""I'm the dopest female that you've heard thus far..""

[MC Lyte]
Last but not least yo here's a description
Hard workin, not one that sells prescription
So if you're in school, that's okay
Get straight A's and I'll be back on Friday
You won't miss me, you know where to find me
And these words I will say finally
Never let age, restrict you from whatcha wanna do
Whether you're young or ninety-two
So if you're seventeen or around that age..
.. baby come to the stage
And if I didn't change your mind I'd find that odd
So when I ask this, think hard..

""Call me the Master..""
""Call me the Master..""
	""Swingin with Master T..""",MC Lyte,2 Young 4 What,
"I play practical jokes, just to get a laugh (ha hah)
I put roaches in my neighbor's bubblebath
But anyway one day she called upon me
She said, ""Lyte - it's an emergency!""
My next door neighbor had an errand to run
I said, ""Why Ms. Davis - ask your son""
She said, ""Ricky's at his grandmother's""
I said, ""Well what about Tommy, the younger brother?""
She said, ""See, umm, he's at the pharmacy""
I said, ""He'll be back soon how much longer could it be?""
She said, ""C'mon please, it's just a trip uptown
If you leave right now you'll be back before sundown
Hurry up, there's not a moment to spare
It absolutely positively has to get there""
Umm, I contemplated then I played a good Samaritan
I started the car, then she threw the package in

	It absolutely positively has to get there
	(Get there?)
	It absolutely positively has to get there
	(Well then send it Federal Express!)
	It absolutely positively has to get there
	(It gotta get there?)
	It absolutely positively got to get there!
	(Yo who you rushin?)

Pumpin out the music on the FDR
Not far behind me was a DT car
So I eased up selector, 55 the digit
But on the FDR, 40 is the limit
Here they come, sirens on
I could see myself in jail til the break of dawn
But they rolled right by it wasn't me they was after
A little red corvette, they was tryin to capture
Dread I feel sweat so I set down my jacket
Look up ahead, now that's what I call traffic
Dipped to an exit and I made my way through
Couldn't believe when I hit first avenue
On a Honda's ass, just about to crash
Looked at the gauge and the shit said NO GAS
Zero, nada, nothing in here see
In car terms the shit was on empty
Got out, and pushed the shit to the side
Hailed a cab, then I caught a quick ride
To the house of inflation, yes the gas station
Gave a little tip to show my appreciation
Got back to the ave where I left my car
It wasn't there, but it couldn't have gone far
Hot damn, I must have got towed
Tried to figure out how much money I owed
Went to the pound and I paid my debt
Think that was the worst?  You ain't heard nuttin yet
Bumped into that crackhead Sam I used to see
And like always, hand out, give me money
In my tank was a dollar's worth of gas
I had to get an ? machine fast

	It absolutely positively has to get there
	(Get there?)
	It absolutely positively got to get there
	(What?)
	It absolutely positively got to get there
	(Well send it some way else)
	It absolutely positively has to get there

As I left the bank to walk back to the BM
Couldn't believe what my eyes were seein
Looked at the back tire, it was flate
While the other three, were SO DAMN FAT
A brother walked by and offered his help
Ordinarily I woulda did the shit myself
But he, changed it quick, so I passed him a ten
Here I go on this journey again
Went to the gas station, to fill it up
When a crackhead from nowhere grabbed the pump
I said, ""LOOK, I don't need your help today""
And I scared the motherfucker and he was on his way
Oops, a cat, SHIT, scrat!
Fur on my tires, and all that
What's this, a stroke of bad luck?
But at this point, I don't even give a fuck
I got to get the package to the destination
No matter what the confrontation
I arrive, bag in my hand
Lookin for a woman named Pam
She opened the bag it was wrapped tight and snug
But in that bag yo, in that bag
45, guess what?  (What was it Lyte?)
It was a box of q-tips .. a box of fuckin q-tips man!!!
	{*laughter*}",MC Lyte,Absolutely Positively.....Practical Jokes,
"* DJ cuts and scratches ""This is MC Lyte.."" *

[MC Lyte]
Moonroof open, in the B.M
Windows tinted, they can't see in..
.. they know it's me though
MC Lyte, she's bigger than bolo
Gusto, gusto, I got so much so
You could have some, you just got to lay low
Do as I say so and don't try to fess
Do whatcha wanna just clean up the mess
I'm here, ARRRRRRUFF, kick it in the rear
Rhymes and rhymes and rhymes I gots to spare
Act like you know
The things that I do just ain't for show
This is my living, so I am giving
Everything I got if not a lot more
For the people, for the buyers
For all of those that seem to want to try a
MC Lyte tape in your Benzi box
What can I say?  Hey, thanks a lot
Cause I'll flip and trip and do ALL that good shit
That's why the brothers, they can't get off my tip
They know whose show this is
Who's show is this?

* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!

[MC Lyte]
Like I said, I'm in the B.M
Swingin it solo, enjoyin my freedom
Turn the radio on, nuttin but weak raps
Slide the tape in, that's where it's at
Look up at the sign and I see Winthrop
Can't hear nuttin so I turn down the hip-hop
Window down, reggae hit or somethin
Now hear a little shotty go pow-pow-pow
Brooklyn 90's, that's where I'm at
Reached to the back seat, get the baseball hat
Now I'm chillin so act like you know
This is my show

* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!

* K-Rock goes into scratching the line
""Lyte that's right huh, she could win a rap fight"" - Chuck D *

[MC Lyte]
Abra-cadabra, hocus pocus
I got somethin that'll make your eyes focus
Takin on the world, slammin it and bangin it
Keepin it hard, but still I'm changin it
Breakin all types of grounds
Here comes Wolf and Epic with the new sound
They get the job done
The name of the year is Lyte slash Ninety-One
So I'm chillin, in the B.M
Waitin for those, that might see in
Straighten my jacket, fix my hair
Turn up the system, as I prepare
To let the whole wide world know
This is my show
Now that I've schooled you and put you up on the scoop
Posse or massive, solo or group
Take it in stride, it's an inside
Top secret heavy duty type of thing that I'm swingin
I got the key to success but I won't press
I'm sure that I can relieve you, of the stress
If you ad-mit, and just per-mit
Me to go for mine and drop a line and ex-it
So just agree with me and simply act like you know
This is my show!

* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
* DJ cuts and scratches ""This is MC Lyte.."" 2X *
	Act like you know!
	* fades out *",MC Lyte,Act Like You Know,
"There's a song.. that I sing.. whenever I'm sad.. feelin bad

[MC Lyte]
It was a date, a simple little fuckin date
Or so I thought, wasn't that my great mistake
He picked me up at eight, from my crib
We went to dinner and he ordered babyback ribs
What a waste, a waste of the mind and body
And then he said, ""Lyte, would you like to go and party?""
I thought about it, and then I said, ""NO!
Pay for my food motherfucker and let's go!""
He said, ""My, aren't we agressive..""
Damn right, and I'm also perceptive
I know your kind, you roam around the fuckin town
You wanna slap it, flip it, and rub it down
You want some booty but you're gettin none this way
You better ask Suzy Sally or that girl Fay
You gets NONE, you hear me you cheesy rat?
Because I'm Lyte, and I'm havin NONE of that

Chorus: MC Lyte

I'm all that, yes I'm all that
You ask how?  I'm all that now
I'm all of that, yes I'm all that
And rollin through your hood with a BASEBALL bat

[MC Lyte]
First I head out, into the red-eyed
Turn the AC, so it feels cool inside
Step in the jam, baring good news
Although for some folks, I bring the blues
Always solo, no relyin on a posse
I see what you see, do you see what I see?
I see suckers, many pucker-uppers
ASS-kissers, as well as buttlickers
Many many that will do me good and plenty
Don't know me from Adam, but wanna get with me
Claimin they will do or have done or have did me
Talkin that yang, your ass'll get SLAPPED
Because I'm Lyte and I'm havin NONE of that

Chorus

[MC Lyte]
That!!  That!!

[answering machine]
Aiyyo Milk, aiyyo Milk, this is Teddy B
Yo I just checked out Lyte's new cut (That!!  That!!)
And yo it's ALL THAT, ALL THAT
Yo I get with you, peace!

[MC Lyte]
Back, way back when, shit wasn't funny
I'm talkin L-Q days, your gold and your money
If you wore gold, the shit was gettin taken
Hard rocks, don't even bother fakin
Cause they can sense a sucker as SOON as they saw ya
And oh well, how I felt sorry for the
Razor in my pocket, for my protection
Blackjack in my bag for a little selection
You got beef?  BITCH, chose your weapon
I sliced and diced, and then I kept steppin
For me to go for that woulda just been wack
Because I'm Lyte, and I'm havin NONE of that

Chorus

[answering machine]
(That!! That!!)
Yo yo, yo Lyte, you there?
(That!! That!!)
Alright I just called to see if you was still shittin on wax
Yo and DON'T make that shit soft alright?
Yo PUMP IT UP
Alright when you get in just give me a buzz",MC Lyte,All That,
"Have you ever
Had someone close to you die
I know you wanna cry
But keep your head up high
And remember (remember)
They're in a better place (in heaven)
Up there somewhere far away
And they'll be waiting for you to join them one day

I know you keep them in your heart
That special part. Didn't care to share
Thought he'd always be there
But he had to go. It was his time to fly
Though he struggled to live
See we all gotta die
Don't question why
It's just how life goes
It just happened to be your number one homie that God chose
Your sadness shows, your woes, your sorrows
But keep in mind the sun will shine tomorrow
Now he's gotta halo, an everlasting glow
And it's painful but only God knows
What's next on the agenda (yeah)
Either way you gotta return to sender
But while you're here you gotta keep ya head up
Moving on your life and never let up
Let the past be the inspiration to get up
Tell the devil he's a liar and ya feed up c'mon

Have you ever
Had someone close to you die
I know you wanna cry
But keep your head up high
And remember (remember)
They're in a better place (in heaven)
Up there somewhere far away
And they'll be waiting for you to join them one day

Release and let go the fault wasn't ours
She was called upon by a much higher power
What's important for us all to understand
We're just little pieces in God's big plan so
Hold on when I tell you hold on, stay strong and it won't be long
Till you see your little boy again your mommy again your brother again
Your best friend
Sometimes you just wanna ball out his name
Seem like your sun don't shine the same, but you gotta maintain
Remain sane, know you're not to blame
But while you're here
You gotta keep your head up
Keep moving on your life and never let up
Let the past be the inspiration to get up
Tell the devil he's a liar and ya feed up c'mon

Have you ever
Had someone close to you die
I know you wanna cry
But keep your head up high
And remember (remember)
They're in a better place (in heaven)
Up there somewhere far away
And they'll be waiting for you to join them one day

I know it's hard living life after death
Sometimes hard to see what you got left
Now you're feelin' lost don't know what to do
Don't let the demons out there try to fool you
Give it all to God he'll pull you through
Jehovah'll make a witness out of you
You know it's true, but it's hard to realize
That God's still there when your best friend dies
They'll be times when you just fall apart
Just remember to keep them always in your heart
Let the tears fall it's okay to cry
Try to understand it's his time to fly
There's a time when a spirit to say peace and release
From a body that's left deceased
You've got to know there's so much more than what's right here
Have no fear

Have you ever
Had someone close to you die
I know you wanna cry
But keep your head up high
And remember (remember)
They're in a better place (in heaven)
Up there somewhere far away
And they'll be waiting for you to join them one day

Ad lib and repeat chorus 2x",MC Lyte,Better Place,
"I, am, back on the scene
I'm takin it to the extremes
New blend, I've been schemin
Raw type stuff I know you've been fiendin
Waitin for, such a long time
For MC Lyte to drop another dope rhyme
Well I deliver as quick as you call my name
I'm beyond the hype, beyond the fame
So now, I prove to you
That I can shake you groove you and move you too
I am, too much to bear
To touch and then share
Once you've had one taste one touch one bite
All you want is M-C Lyte!
And I deliver as quick as you call my name
I'm beyond the hype, beyond the fame

Chorus:

We've got to try to move beyond
I'm comin
We've got to try to break on through
To the extreme
We've got to try to move beyond
Beyond the hype
We've got to try to break on through!

Can't, you, see, I'm beyond the hype
And all that type of jazz and pizazz
I'm, into, reality
Forget the fantasy, this is me
Beyond the hype, so don't believe
What you read, cause they'll deceive
So now I come to you
Telling no lies, the truth is in my eyes
Unlike the broadcasters on the news
Who try to tell you, the donts and the do's
The media blows things out of proportion
The public's eye, proceed with caution
It's a dog eat dog world
But we'll be alright
All we gots to do is stick together
And move beyond the hype

Chorus 2X (w/ variations)

You, must, trust when I say I'm here to stay
And believe I'll never leave
Haste, makes, waste
The track is all that, so pick up the pace
Forget the rumors, gossip, shit-talk
Besides that's old news, and that can walk
I'm beyond that, you are also
Release the negative vibe and let it go
So now, I come to you
Bearing gifts that certainly uplift
From coast to coast, Midwest I'm the most
But still, not on a high post
I'm comin, just call my name
Beyond the hype, beyond the fame
Down to Earth, I'm just that type
To take you and move beyond the hype

Chorus 2X (w/ variations)

I'm comin (3X)
To the extreme
Beyond the hype
Beyond the hype...",MC Lyte,Beyond the Hype,
"Ahhh yeah
Brooklyn's in the house, so come on now
Brooklyn's in the house
Yo, Staten Island is in the house
Staten Island is in the house
And let me hear you say Queens is in the house
Come on now, Queens is in the house
Long Island is in the house, say what?
Long Island is in the house, yeah
The Bronx, is in the house, uhh
The Bronx is in the house let me hear you say
Uptown's in the house one time
Uptown's in the house

Well they're falling falling but I can catch them
I just toot the whistle and you go fetch them
Bring them back into the real rap attack
Set the soft silly stuff back on the rack
45 (yeah baby) 45 (yeahhh)
Tell the silly mothers that we don't give a..
I'm not a psychic, but you can tell your sidekick
In ninety-one, Lyte is kickin some fly..
Take it from me, or could you really take it?
And if you got away with it, would you really make it
In the world of hip-hop, frontin like you're me?
C'mon now Hobbes, that I could never see
So just step aside, and feel it tonight
Cause comin to a store near you is MC Lyte

	{45 King scratches ""Who's that bad?""}

I'm bigger than bolo, see I go solo
Broader than broad, see how I soared
The big bad sister from around your way
I'm not tall but I'm small don't matter what I weigh
I kick the copacetic rhyme from the down to earth mind
I get hip with the hop I'm the tip from the top
I go all out, you never see me fall out
Although you hear me yell out, you never see me sellout {""No!!""}
Because my rhyme's about a profit, no one can stop the one
Funky lyrics synced with MC Lyte cause I be droppin it
The name the Lyte because my skin I'm blacker than black
Comin right and exact, for the rap attack
Some say they don't like the words I choose to use
I don't give a DAMN, Lyte will never lose
I ain't no sucka and I ain't into pleasin
Some critic that criticizes me for no reason
What's with the opinion it's a stated fact
I rule the pack, from the top of the stack
So FUCK the stocks and bonds I'm your new investment
Pick up the album it's quite a refreshment
Compared to the day to day BULLSHIT you hear
Pay attention and listen I'm comin clear to the ear
For all you non-believers, and you perpetrators
That TALK to me now but TALK about me later
It's time for you to grieve, grovel in your sorrow
I'm the star of today AND the star of tomorrow
I'm takin out the old jacks, rippin up the new ones
I don't care if it means I have to ruin
I will and I shall and I get the job completed
Those that don't belong they will be deleted
From the rap roster, I'm not an impostor
I'm comin to you live with the 45
Straight from the studio with a view..
.. in New York City
	{45 King scratches ""I love it!""}
.. I'm out *echoes*
	{45 King scratches ""I love it!"" [--] ""DJ"" back and forth}",MC Lyte,Big Bad Sister,
"(chorus) (G. Salah)
Let's break it down...
Let's break it down...
Let's break it down...
Let's break it down, break it down x2

Verse 1 (India)
Now it's India, India, I get into ya, styles I got plenty 'a
I'm bout it bout it, you know my ones stay crowded
Fuck around and doubt it, and get that ass louded
The future me, 2003, ultra magnetic, this MC... (MCs, MCs, MCs freeze)
I'm not afraid of you niggas, I'm ready for the masses
I keep it tight like spandex do asses
Palmer's cocoa butter for the ashes, while Chanel laces up my lashes
Uh oh no, stop! It don't get hot because I locked it
Got it, give me 6 million like you gave 2Pac it
Hot forever 'coz that's how I plotted

(chorus)

Verse 2 (G. Salah)
I'm that R rated nigga from the films with mistique
With taste from the hamptoms but still street
Don't sleep I reach the ghetto to elite
Blessed with the vocals gifted with the feet
Pretty nigga, pearly white teethe
I can't for now 'coz my mind says from Asia
I'm unreachable, fuck a portable and pager
Made nigga, no time for posin', leavin' niggas like Moses
Front and get swollen The black italian G. Salah the chosen
I beat you down with love get you stuck frozen
'Coz I talk shit like caches, and I backs it
Can you match this my magic
Catcy like habits, digest and swallow
The G. Salah tablet baby, wah you beautiful

(chorus)

Verse 3 (MC Lyte)
I resonate like 808s but with a ill tone
Lyte the oddesy, full blown
]From Cali to Medina, the head turner, Tina
Belle Venezuela, rockin' Argentina
Hot like heaters, swift like cheeters
]From where I stand grass remains greener
(Let me tell you 'bout a girl, maybe I shouldn't
I met her in Brooklyn, and her shit is always cookin')
See I be flowin' yes constantly
That's why the cabbage that I stack is deep winter green
And the way that I be hittin', unlike any other sister, I get into your
System, man I make you listen
I give, give back 10 fold, Lana on the ill trio
India, Gio, we know it's broke down so let's blow

(chorus till fade...)",MC Lyte,Break it Down,"G. Salah, India"
"(Brooklyn, Brooklyn, Brooklyn...)

[ VERSE 1 ]
I got the intro along with the cash flow
Make all the bad boys seem like nymphos
Yeah, I'm hard, I get sexy like Veronica
I use sex as an instrument like the philharmonica
No, I ain't tall, but I'm small and I'm slender
Ask him who's been in, shit is like tender
If he didn't like it, then return to sender
He didn't do that, it's too fat, he remembers
Never ever have I ever said I was good lookin
Just one bad-ass bitch from Brooklyn
Not here to steal your loot, your coat, your rocks
Makin niggas drop whenever we hit the block
They hear 'Brooklyn', and we up to no good
Well, here we come, so there goes your neighborhood
Timbos scuffed up, sess bein puffed up
Mess with the wrong one, kid, you get ruffed up

Peace to my people in
	(Brooklyn, Brooklyn, Brooklyn...)
	(You know the place)

[ VERSE 2 ]
I got the rhythm that'll rip up shows
Blow down foes, they kill at will to get a taste of my flow
Vocally I rock locally and worldwide
Those that got bad wish they woulda never tried
Cause when you come from where I come from
You gotta be tough
Cause niggas'll call your bluff quick enough
Cause if your hood is like my hood, you gotta think quick
Shit stink, niggas are slick, have you turnin tricks
I gotta give it up to Mr. Cool J
For givin up the props to the girls around the way
It ain't safe after dark to throw a jam in the park
If you wanna get naughty, bring your forty to the arc
Cause we get down when it comes to a jam
Just watch your backpocket, keep a eye on the man
If your town is like my town, you don't wanna mess around
Wind up gettin bagged up, beat down

	Peace to my people in
	(Brooklyn, Brooklyn, Brooklyn...)
	(You know the place)

[ VERSE 3 ]
Everyhwere that I step they know my rep
Cause I'm sayin and doin ill shit they won't forget
Breakin down doors, although I never break laws
Come to a town that's yours, and I be rippin the whole tour
Comin hard for your section, slow up
Live in the flesh and about to blow up
So yo, come down, and then get the fuck up
Looks are hooked, you lucked up, you're booked
You gotta be hard, cause I ain't with softies
Hit, then you miss, gotta get offa this
So come with your game, cause you can't be lame
As soon as you walk, I'm forgettin your name
As long as you know all that enter are equal
Straight from the Lyte I send peace to my people

	(Yeah)
	Peace to my people
	(Yeah)
	Peace to my people

	Peace to my people on the east coast
	Peace to my people on the west
	Peace to the people up north
	Peace to the people down south
	Peace to the people in Brooklyn
	Peace to the people in the Bronx
	Peace to my people in Compton
	Peace to my people goin uptown
	Peace to my people in Detroit
	Peace to my people in Houston
	Peace to my people in Philly
	Peace to my people in Boston
	Peace to my people in Jersey
	Peace to my people in Georgia
	Peace to my people in Philly
	Peace to my people in Richmond
	Peace to my people in Cali
	Peace to my people in Queens
	Peace to my people goin uptown
	Peace to my people in the islands
	Peace to my people on the beach
	Peace to my people in Miami
	Peace to my people
	I send peace to my people

	(You know the place)

	(Brooklyn, Brooklyn, Brooklyn...)",MC Lyte,Brooklyn,
