lyrics,artist,song_title,featuring
"[Fantasia]
Like your name is MISSY ELLIOTT, my name is Fantasia Barrino
And what I can GIVE YOU is Fantasia Barrino
Holla at your girl

[Missy]
Two thousand five!! WOOOOOOOOOOOO!

Wake up in the mornin with my man next to me
Up all night like we've been on that ecstasy (YES!)
Mixed with Hennessy, he got the remedy
Yeah my nigga into me, I can't say it simply
We, take a quick shower for the hour conversation
Time to have relation, love makin in the basement
Smack it up, flip it up, crush it
One minute, two minute, I was no question (AHH!)
Who would ever think that I'd be givin up the goodies
Walkin 'round naked in a pair of pink footies (HA!)
Just like them hoes at the shows
Half-dressed clothes doin whatever, who knows (OH-KAY!)
Nah I only get freaky with him
No menage-a-trois, not freaky with them (WOO!)
It's just me and my man
Yes, said me and my man

[Hook: Fantasia]
For my man, I'll do whatever
Cause what I feel, this love, it make me do thangs
For my man, I'll last forever
Cause what I feel, this love, it won't never change

[Missy]
I'm never insecure when we not together
Even though he tell me he in love with Ciara
I'm from a new era and I bring terror
To any chick who check my fella when we together, so
He treat me like a Cinderella, yup
Protect me from the storm like he my umbrella (okay)
This fella deserve primo stellar, he be a Roc-A-Fella
Not to Jay-Z and Dame but the charm on the chain be platinum
Jacob Roley lookin sporty, {?}
Money stackin keep track and I fax him
If I can't find his ass then his ass out of gas
He only gettin one pass (OH-KAY!)
My man, is my man and nobody else's
Damn right, I hope y'all felt this
Old ladies 'round the coast-es
You better get focuses 'fore you ever try to approacheth

[Hook] w/ ad libs

[Missy]
See when you in love you might have to say it
Don't say you won't, never say you won't
You might get real mad, wan' act all bad
Act up in the street, a few chicks you gotta beat
Cause they disrespect (disrespect)
Clockin your man from his feets to his neck, UHH
You gotta let her know that's a no-no, slap her real slow
With a right blow whichever way it go
And keep it gangster
Show these bitches that you can't come
Yank 'em, point blank 'em, top rank 'em
I ride for my nigga and I'm happy with the trigger (YES!)
Scared how you figure?
My man (OH-KAY!) Say it time again
Say my man (my man) my man again
I say my man, it's just me and my man
Said for me and my man

[Hook] w/ ad libs

[Scratched] That's my man.. yes it is.. this love..",Missy Elliott,4 My Man,Fantasia
"[Intro: Missy Elliott]
Uhh, yo
This is for my motherfucking club heads, you feel me?
AAAAOOW!!

[Break: Missy Elliott]
People, gangsters and pimps and people
Smokin' that lethal reefer
Up in the club wit speakers
Hi hats, some base and tweeters
DJ is jockin' needle
Sweat till I catch a fever
Call me the illest diva
(Yo I'm on fire!)
People go head and drink up
Get in the club get fucked up
See me you got get lucked up
Someone to touch and rub up
Show me some love, strip off your clothes, and take off your socks

[Verse 1: Missy Elliott]
The party's jumpin', I see something fine
Boy I wanna kiss you, but I'm just too shy
Let me dance with you, let me wear you out
Here's a glass of orange juice, let's go X it out
The music's bangin', way down in my soul
When you dance behind me, I lose all control
Make me grind my hips, make me move my waist
When the music comes on, you take my breath away

[Chorus: Missy Elliott]
This is for my people, my party people
This is for my people, my motherfucking people
C'mon
C'mon, get down, get, get on down
C'mon
C'mon, get down, get, get on down
This is for my people, my party people
This is for my people, my ecstasy people
C'mon, c'mon, get down, get on down
C'mon, c'mon, get down, get, get on down

[Verse 2: Missy Elliott]
I'm at the bar now, and I'm buying drinks
And I got this feeling, and it's all over me
I wanna dance with you, and lick your face
Take me on the dance floor to feel some ecstasy
The vibe is right now, and I'm bout to score
Mr. DJ can you play this joint once more
Cuz' I see the man I want, I want him right away
I'm look him right in his face and say dance with me

[Chorus: Missy Elliott]
This is for my people, my party people
This is for my people, my motherfucking people
C'mon
C'mon, get down, get, get on down
C'mon
C'mon, get down, get, get on down
This is for my people, my party people
This is for my people, my ecstasy people
C'mon, c'mon, get down, get on down
C'mon, c'mon, get down, get, get on down

[Bridge: Missy Elliott]
Freak that, come here baby, grab me from the back
Baby you the mack, and you know that
Put the needle on the track skip that, flip that, bring the beat back
Freak that, come here baby, grab me from the back
Baby you the mack, and you know that
Put the needle on the track, skip that, flip that, bring the beat back
Uno... dos... tres...
Uno... dos... tres...
Uno... dos... tres...
Uno... dos... tres...

[Verse 3: Eve]
Can't stand when a nigga fuckin up my plans
All night ducking him, while I'm tryin to dance
Drunk, and his breath stink, freaky with his hands
Cocky with his mouth please like he got a fan
Can't stand when a bitch all in my side
I don't even know her and she all up in my light
Givin' me the side eye like she wanna fight
Philly known for boxing bitch better get it right
Can't stand when a DJ fuckin' up the song
Know I'm tryin to shake my ass all night long
Cuttin' up the same shit all night long
High 'fore I got there, now my shit is blown
Can't stand when it ain't jumpin' like I want
Bouncer tryna stop my fun, take away my blunt
I don't give a fuck he ain't gon' take away my fun
See him when this shit is over, make a nigga run, uh

[Chorus: Missy Elliott]
This is for my people, my party people
This is for my people, my motherfucking people
C'mon
C'mon, get down, get, get on down
C'mon
C'mon, get down, get, get on down
This is for my people, my party people
This is for my people, my ecstasy people
C'mon, c'mon, get down, get on down
C'mon, c'mon, get down, get, get on down",Missy Elliott,4 My People,Eve
"[Verse 1: Missy Elliott]
Now I'm in the 9th inning
Thought I fell off, ain't quite finished
Yeah, I'm about to put my foot in it, talk with it, walk with it
I'm no gimmick
2012 there'll be no games, real rap, real bars, I'm not playing
Haters y'all lame, you a Missy fan!
I'm a beast in a booth, I'm just sayin'
Yeah, I make 'em wanna get low
Duck with it, buck with it, let's go
Every time I spin around, it's a sick flow
You newcomers better sit back and take notes
Yeah, this here my time
Yeah I've come better run, take what's mine
Bite the dead off like a tick line
This rhyme gonna make 'em push rewind
Yeah I'm so hot, up on the charts, number one spot
You see me when I drop, and I won't flop
Missy never stop, got the music game on lock (yeah)
Wanna get served?
You third, you second, but I come first
I flip my verse like I flip birds
I'm fire, yes sir!

[Hook: Timbaland]
We hit makin', hit breakin'
Party shakin', innovative
Groundbreakin', so creative
We be the most anticipated
Hit makin', hit-breakin'
Party-shakin', innovative
Groundbreakin', so creative
We be the most anticipated

[Verse 2: Timbaland]
Now I'm in the 9th inning
Niggas think I fail when I'm still winnin
So I been gone for a hot minute
I love this shit, that's why I got a gift in it
(Yeah) Fuck nigga, get fly
Nigga can't talk wit' a gun in the mouth
Niggas bitch up, bet they run in the house
I can smell bullshit when they walk out
(Yeah) Heard that old saying, yo
Never ever cross a one day, give ya most
Never ever act funny for the white folks
I'm a big fisherman when you a tadpole
(Yeah) I like Lady Gaga
Why you let a nigga do ya whole album?
Where you think that fake producer got ya style from?
Come fuck with a nigga, watch the outcome
(Yeah) Ain't no real artists
Wack talent get in real starvin'
All you hear in music is the chorus
Well that's okay, Timmy back in the story

[Hook: Timbaland]
We hit makin', hit breakin'
Party shakin', innovative
Groundbreakin', so creative
We be the most anticipated
Hit makin', hit-breakin'
Party-shakin', innovative
Groundbreakin', so creative
We be the most anticipated

[Verse 3: Missy Elliott]
Down to the 9th inning
I'm the real deal, y'all pretending
Years later, my songs still spinning
I do record deals no less than ten milli
(Yeah) My hits be yay long
My songs go on like a marathon
Get ghost, get gone, you a dum-dum
Better rhyme here, come and bite this like a python
(Yeah) Wanna act fly?
Wanna act like you better than the M-I
Shakin 'em, bakin 'em all like a bean pie
Takin' 'em, burnin 'em down like I'm Left Eye
(Yeah) Futuristic
Y'all can pack it up, I done ripped it
When you say my name, call me Miss Bitch
I make the next chick run to the exit
(Yeah) Yeah I got a sick sense
I'm making this a movie like a Netflix
I'm on the guest list, on the checklist
I'm the flyest chick, now tell me who the best is!
(Yeah) Elliott be the name
Elliott back in the game
Elliott hit it with a bang
Bring the hook back in, Timbaland

[Hook: Timbaland]
We hit makin', hit breakin'
Party shakin', innovative
Groundbreakin', so creative
We be the most anticipated
Hit makin', hit-breakin'
Party-shakin', innovative
Groundbreakin', so creative
We be the most anticipated",Missy Elliott,9th Inning,Timbaland
"[Intro]
This is, an exclusive
Suckas...
Let's go!

[Verse 1]
We don't stop till we done with it, done with it
We gon' come and have fun with it, fun with it
Tonight we goin' ghetto, whaaat!
Get a drink-drink in our cups
Go ahead let me see that donkey
Watch me I'ma show my monkey
Say we gon' turn that party down, we gon' turn that party down
Let me see all the ladies with the real hair
Let me see all the ladies with the fake hair
It don't matter if you're short or taller
Hands up if you're looking for a baller
Hands up if you're looking for a baller
Show your number payboy gonna call her
Cause You got that, and we want that
Dat, dat, dat, dat, dat, dat, dat, dat, dat

[Chorus]
Tonight we find that, act a fool
Give up while I'm all on you
Like when you touch all my body
Like when you touch all my body (yeah!)
Come and dance with me tonight
Promise I got what you like
Like when you touch all my body
Bu, bu, bu, bu, bu body (c'mon)

[Verse 2]
Hey shorty where you live (L.A!)
Hey shorty where you from (V.A!)
Where da get it crack, cracking (New York!)
Where to get it pop, poppin' (D.C!)
Miami, Orleans, Atlanta, wave your bandannas, hey
We be flossing everyday
We be flossing everyday
Well this one for my fellas in the whips
Drop top sounds system in the whips
For when ya down go turn it up
Boom, boom, boom let it thump in the truck
We gon get drunk till we bend out the slums
See the girls moving they lump diddy lumps
Pop that, pop that, we gone rock that
Mr. DJ, could you bring the hook back

[Chorus]
Tonight we find that, act a fool
Give up while I'm all on you
Like when you touch all my body
Like when you touch all my body
Come and dance with me tonight
Promise I got what you like
Like when you touch all my body
Bu, bu, bu, bu, bu body (woop woop)

[Verse 3]
Pull over, my ass to fat
Your bitch wanna be like me, too bad
Can't be me i'm supa dupa
Bet a 100 dollars, ain't a bitch cuter
Bet a 100 dollars, ain't a bitch cuter
Bet a 100 dollars, ain't a bitch cuter
We gon turn that party down
We gon turn that party down. (let's go!)
Tonight we gon turn the party down
Ladies squat down, turn around
We gon show you how to do the duck walk
Walk that walk, gon' talk that talk
Dusk till dark we gon let the blunt spark
Let the blunt spark till dusk till dark
We gon, we gon, light it up
We gon, we gon, light it up. (yes!)

[Chorus]
Tonight we find that, act a fool
Give up while I'm all on you
Like when you touch all my body
Like when you touch all my body
Come and dance with me tonight
Promise I got what you like
Like when you touch all my body
Bu, bu, bu, bu, bu body",Missy Elliott,Act A Fool,
"[Intro: Missy Elliot]
Sexy! Rah!
We gon' keep it sexy y'all
You dig? Ha! Oooh...
Let's go!

[Verse 1: Missy Elliott]
Baby what's up with you tonight
You wanna get busy I can read your mind
Baby, I can see you looking
Pour some champagne and you might get lucky
Touch on me, touch on me, gimme gimme honey
I don't want ya, want ya money
I just want you get on me (come on!)
I've been checking you from across the room
Money ain't a thing baby, what it do
Ain't no need to keep on waiting (yah!)
Tell them other bitches they can keep on hatin'
It's you that I want and I want what I want
And I get it, get it, get it, get it, get it

[Chorus: Missy Elliot]
It's all for you
Don't you turn it down
Til I show you my move
You won't be disappointed (I like this!)
Hey there shorty let me get that thang
Let's see how long that thing hang

[Verse 2: Lil Wayne]
Okay Missy, uhhhhm
I know what you're looking for
Got you butt naked in the condo cooking for
A nigga like Weezy, please say the baby
And just like I'm begging I please all the ladies
Ease off the Richtor Scale, lil 'girl
Make you feel it in your pussy to your fuckin' fingernails
I'm a beast with it baby, you ever had it beasted?
Leave that thing pink like Easter
Kiss ya on each of ya lips, yep all four of 'em
Dammn, shawty just won't let go of 'em
She gon' need more of 'em, I leave that thing wetter
I beat that thing up and then I kiss it 'till it's better",Missy Elliott,All 4 U,Lil Wayne
"[Intro: Missy Elliott]
Uh, hit me

[Verse 1: Missy Elliott]
Don't explain, you never change
Same old thang, same old game
Say ya want to be wit' me
But show me my ring, baby, let me think
I been in the cold
The story untold about to unfold
How do you expect me
To ever believe you want be wit' me

[Chorus: Missy Elliott (Nicole Wray)]
Why you all in my grill? (Why you all in?)
Can you pay my bills? (Can you pay my bills?)
Let me know if you will (Let me know, me know)
'Cause a chick gotta live (A chick like me, I got to live)

[Verse 2: Missy Elliott]
Talk is talk, and talk is cheap
Tell it to her, don't say it to me
'Cause I know I'm in control
See, Trix are for kids, and boo I'm too old
Go 'head with your games
Don't ever come back to me again
Where you go, remember me
I'm the best thing in history

[Chorus: Missy Elliott (Nicole Wray)]
Why you all in my grill? (Why, why, why?)
Can you pay my bills (Can you pay my bills?)
Let me know if you will (Let me know boy, boy)
'Cause a chick gotta live
(A chick got to live, ooh yeah)

[Bridge 1: Missy Elliott (Nicole Wray)]
Third time (Third time)
I moved you in, took you back
In my life (I was a fool)
I don't know what's wrong with me
Third time (Third time)
I moved you in, took you back in my life (oh yeah, yeah)

[Chorus: Missy Elliott (Nicole Wray)]
Why you all in my grill? (All in my grill)
Can you pay my bills? (Can you pay my bills, yeah)
Let me know if you will (Let me know if you will)
'Cause a chick gotta live (Oh, yeah)
Why you all in my grill?
Can you pay my bills? (Ooh, pay my bills)
Let me know if you will (Let me know, let me know baby, baby)
'Cause a chick gotta live (A chick like me, I got to live)

[Bridge 2: Missy Elliott (Big Boi)]
If you want me, where's my dough?
Give me money, buy me clothes
No need for talking, have my dough
Where's my money? Where's my clothes?
If you want me, where's my dough?
Give me money, buy me clothes
No need for talking, have my dough? (Aight, uh)
Where's my money? Where's my clothes?

[Verse 3: Big Boi]
Why you all in my grill?
I'm thinkin' it's time to chill
Yeah, but you wanna drill, though
I couldn't even step out the baby blue Bonneville
Cuz you be tryin' to kill my ho, my girlfriend
And people around me is tellin' me that you's a stalker
Like Darth Vader takes a Skywalker
I told you I was the street talker
It ain't my fault you gave me your Victoria's Secret's
And your Frederick's
You wanted the Waldorf Astoria
But instead I took you to Cedric's, to entertain you
To give you to the ""G"", and never claim you
Me and Missy, we gettin' straight pissy
And oh yeah, we puffin' on one of them thangs too
You blamin' who? You namin' who?
I know you ain't bringin' that lame crew
Big Boi, Daddy Fat Sax
G pretty D, are they same, boo
But I'm backed by the Dungeon Family
So you can go 'head wit' all that stabbin' me
Cuz I will jab thee, and slam thee
And Bobby Boucher yo' ass, G
Yeah, yeah, huh",Missy Elliott,All N My Grill,"Big Boi, Nicole Wray"
"[Intro]
""Brothers and sisters!
Brothers and sisters, I don't know what this world is coming to!""

[JAY-Z, Missy]
Whassup, Missy? Timbo!
This is.. another.. Missy Elliott (Hip-Hop! Yes!)
Exclusive (Yes, uh)

[Verse 1: Jay-Z]
One for the butters, I came from the gutter
No I came from my mother but y'all know what I mean
Hov' is here to stay like permanent crease in your jeans
Me and Missy be the new Tag Team
""Whoomp! There It Is""
We like, Rae & Ghost, A.G. and Showbiz
We ""Public Enemy #1,"" our ""Uzi Weighs a Ton""
This is our house, Run! hahaha

[Missy]
What happened to those good old days? (Huh?)
When hip-hop, was so much fun
Ohh, house parties in the summer y'all (C'mon)
And no one, came through with a gun (A guh-un)
It was all about good music y'all
It helped to relieve some stress (Huh?)
Ohh, we was under one groove y'all (Y'all)
So much love between North and West

[Hook: Missy Elliott]
Go back in the day
British Knights and gold chains
Do the prep and cabbage patch
And wear your laces all fat
Back in the dayyyyyyyy, hey hey
Hip-Hop has chaaaanged

[Verse 2: Missy]
Remember when we used to battle? (Uh huh)
On the block before the lights came on (Yeah)
Ohh! Mama said we would be straight A kids (Come on)
If we did our homework, like we knew those songs
Salt-N-Pepa, Rakim, and P.E
D.M.C, and Heavy D
Yes! Daddy Kane, Slick Rick, too (Oooh ooh!)
MC Lyte opened, doors for you and me, c'mon

[Hook (JAY-Z)]
Go back in the day
British Knights and gold chains
Do the prep and cabbage patch
And wear your laces all fat
Back in the dayyyyyyyy, hey hey (Young!)
Hip-Hop has chaaaanged (J. Breezy, let's do it again, nigga)

[Verse 3: JAY-Z]
Rough, the way it oughta be
From day KRS-One all the way up to Nineteen Naughty Three
To M.O.P., we Cold as Ice
Nigga, we rock it from the ""Dre Day"" to the Suge Knight
So fuck Chuck Phillips and Bill O'Reilly
If they try to stop hip-hop, we all gon' rally, nigga
Post Biggie and 'Pac I gotta hold down the city
Make a nigga wanna holla like Missy, but fuck it
Just let a nigga MC
The best rapper alive, unquestionably
If you riff on your EP, you gonna need an MD
So you gots to chill cause I kill at will
Like solid water dude; y'all niggas don't get it
""Kill at Will,"" solid water? Ice Cube
Ha ha, that's how hip-hop has evolved
Jay-Z's for President, I'm namin Ra as the National God

[Missy]
Me and Jigga, Jigga J-J-Jay-Hova
I rocks the mic right whether I'm pissin' drunk or sober
Misdemeanor fo'-finger ringer I'm stupid FRESH
I've been hot since LL rocked the Kangol HAT
Yes yes, the yes yes, the yes y'alln
C'mon... AW YEA, AW YEA
Okay, me, that nigga Jigga, fresh dressed in the mornin'
C'mon... AW YEA, AW YEA

[Hook: Missy Elliott]
Go back in the day
British Knights and gold chains
Do the prep and cabbage patch
And wear your laces all fat
Back in the dayyyyyyyy, hey hey
Hip-Hop has chaaaanged

{*ad libs and whistling*}

[Break: Missy]
I wanna, go back in, time (let's go)
Feels like I, I wanna, go back in, time
Feels like I (Y'all remember ""Self Destruction""?)
I wanna, go back in, time
(Where all the rap artists got on a record together?)
Feels like I, I wanna, go back in, time
(I used to love them days, no tension, let's go!!)

[Hook: Missy Elliott]
Go back in the day
British Knights and gold chains
Do the prep and cabbage patch
And wear your laces all fat
Back in the dayyyyyyyy, hey hey
Hip-Hop has chaaaanged",Missy Elliott,Back in the Day,JAY-Z
"[Intro: Vybz Kartel]
Yo, what some boy feel like
Dem know seh when dem see Missy Elliott and Vybz Kartel
Dem career nuh start well, gunshot send dem to hell, 45 Haskell

[Missy Elliott]
WOO!!! HA!!!! Sak Passe?!!!
WOO WOO WOO WOO!!! HA!!! AHHH!!!!!

[Verse 1: Missy Elliott]
What dem do dem rude badman (Badman)
Dem nuh want mi shoot badman (Badman)
Tell dem, dem be one dead man (Badman)
If dem batty boy play badman
Smash di place, smash di place, smash di place, smash di place (WOO!!!)
Smash di place, smash di place, smash di place, smash di place (HA!!!)
What dem do dem rude bad gal (Bad gal)
Dem get shot dem play bad gal (Bad gal)
Body drop dem not bad gall (WOO!!!)
When dem stop gimme pop bad girl (HA!!!!)
Knock dem out, knock dem out, knock dem out, knock dem out
Knock dem out, knock dem out, knock dem out, knock dem out

[Bridge: Missy Elliott]
Drums!!!! WOO!!! Drums!!!

[Verse 2: Vybz Kartel] (*Missy Elliott)
Like a nozzle plus a hippie, yeah, Vybz Kartel and Missy, yeah
Playa hater punk a get kicked until dem dizzy
If yuh real badman nuh fraid fi buss gun (*WOO!!!)
When mi a come up don't stand up just run
Fi mek blood stain mi get a custom
(BLOCKA BLOCKA!!!!) First serve to first come (*HA!!!!)
AK rifle this mi long gun
Magnum four four caliber mi hand gun
One shot shift dock couple plane land down (*HA!!!!)
Bulletproof buss up like a condom
General real badman, we a di general real badman
Decorated with hearts of metal, we have a heart that's made of metal
General real badman, we a di general real badman
Decorated with hearts of metal, we have a heart that's made of metal

[Bridge: Missy Elliott] (Vybz Kartel)
Yes! Smash di place, smash di place, WOO!!! (Forty Five Haskel)

[Verse 3: M.I.A.] (*Missy Elliott)
(Ho!) Some bad mi nuh like to play
Dem nuh worry mi when they say
They nuh like mi mi nuh like they
I be wilder than Tim McVeigh
Fuck 'em all and that's what I say
Now I see that it ain't easy
Everyone plays a part in our day
Humpty Dumpty we need every piece play
Some people are rude on the low though
They gonna get shook to the floor (*WOO!!!)
Some people are rude on the road though
They gonna get hurt lot more (*Yes)
Some people are rude on the road though
Gonna get hit to the floor (*Drums!!!)

[Bridge: Missy Elliott]
HA!!! Fire baby!!!

[Outro: Missy Elliott]
Dem nuh want test I, dem die, bwoy mi know I dem try
Smash it up see mi nickel plated nine
Buck dem buck dem straight to mi eye
Buck dem down, buck dem down...",Missy Elliott,Bad Man,"Vybz Kartel, M.I.A."
"[Intro: Missy Elliott]
She's a...
Uh, uh... bitch
Yo... I'ma tell y'all straight up and down
It's like this fo'real, it's goin' down like this fo'real
She's ahh... (Tell 'em)
Bitch (Bitch)
I'm sick of y'all fake Timbaland beat bitin'
You know what I'm sayin'?
I'm a bring it to y'all like this

[Verse 1: Missy Elliott]
By all means necessary
You might catch me somewhere stickin' yo baby's daddy
They say, ""Oh Missy, you wack"" but y'all not ready
'Cause I come back like a smack
You hear my gats in yo back (Blat-blat-blat)
Huh, like spaghetti
Half of y'all MC's be stinkin' like boobetti
So your record label cut you off like confetti
Then you wanna call Missy and beg me, beg me (Who?)
Ooh, beg me, beg me
Dang, I'm very scary
Burn a whole club down like I was Carrie
Give a boy French kiss, he wanna marry
See y'all jealous tricks, y'all cannot stand me
Ooh, that's fine and dandy
Hey daddy, daddy
Why these chicken heads? Ooh, they be so petty
Hey, nah, nah, nah, you best not test me
I keep tellin' you nah, you never ready
Nah, you never ready

[Chorus: Missy Elliott]
Get rowdy (Say what?)
Let me hear y'all loudly (Aha!)
Keep my high niggas 'round me (Ooh!)
Let me see y'all work it and work it till y'all can't stand up
Get rowdy (Get rowdy, baby)
Let me hear y'all loudly (Aha!)
Keep my high niggas 'round me
Let me see y'all work it, baby, work, work it, baby, what?

[Verse 2: Missy Elliott]
In the club, I see niggas
They think I'm super fly, they blow me sugars
So I cut them short like some scissors
They trying to take me home, they give me liquor
You know who I am? I'm a bitch
Do you know what I make? Filthy rich
Do you know what this means? Gotta get
I thought you was a freak, never that
You see me on the road, when I stroll
I float through the toll, like whoa (Beep beep)
You just a silly ho, this I know
You be at every show, for the dough, hear me now (What?)

[Chorus: Missy Elliott]
Get rowdy (Aha!)
Let me hear y'all loudly (What you got fool?)
Keep my high niggas 'round me (Say what!)
Let me see y'all work it and work it till y'all can't stand up
Get rowdy (Aha!)
Let me hear y'all loudly (What you got fool?)
Keep my high niggas 'round me (Keep 'em 'round me!)
Let me see y'all work it, baby, work, work it baby, what!

[Breakdown: Timbaland]
Yo, this is Timbaland
Callin' from the Matrix y'all
And this how we do it
Yo Missy, tell 'em how you feel, what

[Verse 3: Missy Elliott]
Beat biter, dope style taker, originator
Or just an imitator
Stealin' our beats like you're the one who made 'em
Timbaland's the teacher and I'm the one to grade 'em
Check the verbatim, F is how we rate 'em
How dare you make 'em, just like we made 'em
And I won't play 'em, and I won't say 'em
Save this for later, so I can tell you straighter

[Chorus: Missy Elliott]
Get rowdy (Aha!)
Let me hear y'all loudly (What you got fool?)
Keep my high niggas 'round me (Keep 'em 'round me!)
Let me see y'all work it and work it till y'all can't stand up
Get rowdy (Get rowdy!)
Let me hear y'all loudly (Aha!)
Keep my high niggas 'round me (Keep 'em 'round me!)
Let me see y'all work it, baby, work, work it baby, what!

[Verse 4: Missy Elliott]
Now see this one right here (Ooh)
This is for everybody (Ooh)
This is for my people East (What, what?) (Ooh)
East, West, South
East (Ooh)
West, South (Ooh)
(Yo baby, talk to them)
But you know what, before I get up on outta here (Ooh)
I gotta say one thing to y'all beat biters (Ooh)
It's 'bout to be the year 2000 (Ooh)
You know what I'm sayin'?
And I'm kinda sick of that (Kack, kack, kack, kack, ficky-boom, ficky-boom)
That (Kack, kack, kack, kack, ficky boom, ficky boom)
That (Kack, kack, kack, kack, ficky boom, ficky boom)
That (Kack, kack, kack, kack, ficky, boom ficky, boom)
On everything, y'all gotta come up with
Y'all own creativity, y'all own originality, y'all own style
You know what I'm sayin'
Heh, you gonna be left behind this time
Aight, ain't no love lost
All need you to do is stop beat bitin'!

[Outro: Timbaland]
That was Missy
Now this is Timbaland signin' off from the Matrix
You heard that
Shh",Missy Elliott,Beat Biters,
"[Intro: Timbaland]
Uh, uh, uh, like that, uh
Uh
Say what, say what
Say what, say what
Uh, uh, uh
Say what, say what
Uh
Missy, bring it in

[Verse 1: Missy Elliot]
Why you played on me? Wasn't I good enough for you? (Wasn't good enough)
All those other girls you've been with can't do like I do (Do, do)
Gave you all my dough when you needed it all the time (Uh-huh)
And if you planning on leaving me again
Then give me a sign (Say what, say what)

[Chorus: 702]
Beep me 911 or call me on my cell phone (Uh)
I'll call you back
To see what you gon' tell me (Say what, say what)
You don't wanna date
No ifs, ands, or waits, it's over, babe
(Say what, say what, say what, say what)
Beep me 911 or call me on my cell phone (Uh)
I'll call you back
To see what you gon' tell me (Say what, say what)
You don't wanna date
No ifs, ands, or waits it's over babe (Uh)

[Verse 2: Missy Elliot]
Why you cheating on me? Can you tell me what I've done?
I thought you was the one, but you just a hit and run
Gave up clubs and parties, I put them aside (I stopped goin' to all the parties)
Left me in the dark with no kind of sign
(Why don't you give me a sign?)

[Chorus: 702]
Beep me 911 or call me on my cell phone
I'll call you back
To see what you gon' tell me
You don't wanna date
No ifs, ands, or waits it's over babe, it's over
(No thinking twice)
(Say what, say what)
Beep me 911 or call me on my cell phone
I'll call you back
To see what you gon' tell me
You don't wanna date
No ifs, ands, or waits it's over babe, it's over

[Bridge: 702]
All my friends say I can do better than you (Say what, say what)
Maybe they was right cause I feel like a fool (Fool, fool)
But I can't let you go until you take some time (Say what, say what)
To tell me why you left me without a goddamn sign (Say what, say what)

[Chorus: 702]
Beep me 911 or call me on my cell phone
I'll call you back
To see what you gon' tell me
You don't wanna date
No ifs, ands, or waits it's over babe, it's over (Uh-huh, uh-huh)
Beep me 911 or call me on my cell phone
I'll call you back
To see what you gon' tell me (Say what)
You don't wanna date
No ifs, ands, or waits it's over babe, it's over
(Magoo, Magoo)

[Verse 3: Magoo]
Type of nigga made built to last
Look homegirl, I pump like gas when
Get your friend and your girl and them (What?)
My sex drive workout like a gym, Kim (What?)
Was the girl that I used to hit
You the girl that I gotta quit
See the kitty Kit
Gotta gold it like a light
In the night you the freak come out
We don't bite
No diggity, who took you out
No doubt when I first got down
Made the bro' shout
Look out, make it live
Dip and dive, staying alive
Shoot me sugar, there it is
Now we talking square biz
I'm leaving you without arrears
But I still luh the kids
What you think, I'm hen pecked
Girl get your mind checked
Take the time, recollect
I just gave you disrespect

[Outro: Timbaland]
Ah, like that
Like that
Beep me 911, baby
Aha, aha, aha, aha...
Aha, aha
Aha, aha
Say what, say what
Misdemeanor, 702
Whatch'all gonna do?
Fellas?
Don't beep them 911
Don't beep them 911
Don't beep them 911",Missy Elliott,Beep Me 911,"702, Magoo"
