lyrics,artist,song_title,featuring
"[45 King]
Let's start the show off, sisters ago look alive
The Queen Latifah, the King of 45
Bringing a mixture of pure flavor
I make beats, she rock rhymes, so I
Gave her
A sample sound, the she added a compound
Word, this is for those who haven't heard
A King and Queen combine minds and trample
Thos who oppose us, here's an example

[Queen Latifah]
It's time to run, the King and Queen is on the set
The competition is petty and ready to step
To the first one, go ahead, rehearse one
I hope you don't know you sound like the worst one
Rhymes are smoking, concentration can't be broken
Queen Latifah's outspoken
Use your imagination, picture this
Any male or female rapper trying to diss
Here for excitement and enticement
With my competitors killed I go build with my enlightenment
Teach the youth, feed the needy
Confident decendent of Queen Nefertiti
The mother of civilization will rise
Like the cream and still build the strong foundation
Secondary but necessary to reproduce
Acknowledge the fact that I'm black and I don't lack
Queen Latifah is giving you a piece of my mind
A rhyme spoken by a feminine teacher
Rhymes I do employ, no time for slimy toys
I'm steady and stable and the label is Tommy Boy
Backed by The Unit, produced by The King
Perfection pressed with the style that we bring
For the hip-hop patients, this is a King and Queen creation

[45 King]
Technician, musical musician
I'm stating the facts, strictly non-fiction
In hip-hop, you wonder who's in trouble most
Creativity, you get a double dose
How can you stop me? No, I put you to a test
The rhymes are Romeo (The beat's a Juliet)
With topic blend, this makes me a hard one
Persevere, I'm here, gets taught one
Strength producer, I send you an ultimatum
Hardcore worldwide is how I take 'em
I rock, never hyperventilate
Others get tired, could use a commercial break
45 King, DJ Mark's my alias
It takes a ton of MC's to prevail against me
Just listen, I'm unstoppable
You want a mission?  This one's impossible
Beats rock all night with no curfew
My talent's advanced, you haven't a clue
How I do it, the smoothest loopest spare it
If the style fits, I wear it
Many attempts were made, none was recognized
45 King said sample soundified
I'm going to Wonderland to check, find out who's next
You pretty good, but not quite a legend yet
Studio mixer, I got the formula
And said the man from self, I'm warning you
It's my domain, just ask my chauffer
My ride's equipped everything from a pool to a sofa
On top, it's a usual act
Can't wait to get down to 45 Studios
I'm into rap, but no urge to sing
I'm DJ Mark, 45, 45 King of Swing",Queen Latifah,A King and Queen Creation,DJ Mark the 45 King
"[Chorus 2x:]
Who you gonna call when it's time to brawl
Standin' 'round waitin' for my queendom to fall
Well I think not, styles are pipin' hot
Blazin', amazin', I give it all I got

I'm tellin' you straight up, all sleepin' beauties better wake up
I'll tear your state up, so set the date up
And I'm a rip it, what if it what was it
Who did it, who does it
From private to public
Anywhere I'm in there and been there
So recognize this, who the nicest
Sit down and settle for your constellation prizes
Whatever you want I got
Whether you ready or not
It's about to get hot when I drop
So notes, pause another spot
To do you, don't get me in a corner make me do you
Don't try to be me, do you
Be coo' to you and do you
I'm on a higher level with different class, another plane
I am the Queen, that's my name, time to explain
That I spit game with dames
Leave 'em all with shit stains
Split frames, hopin' you hopin' that I'm jokin'
Don't know but still blink off like fo'-fo's
But so-so, slow mo's comin' in like the po-po's
Don't want rocks comin' at me the wrong way
Packin' much rocks, it's gonna be a long day
And for real, spittin' on imbessiles and spinnin' wheels
On my 600 you want it, you must be blunted
I'll take it to your stomach, run it, give me all
Mic for mic, steppin' to me you gonna fall, we brawl
Throwin' a two-piece so loose leafs
It's the Q-U-double-E-N
You know how I'm MCin'

[Chorus 2x]
See physically you not ready
Lyrically you not ready
Mentally maybe
Who talks tough, time to get the baby
No threats or small bets on my bond we can get it on
From dusk 'til dawn from night 'til mourn
Some bubble hard squads are gone, no gimmicks, no tricks
'til one of us admits it's a battle a whisk
So look I'm off the hook, while you off the rocker
Thinkin' I'm shook, get the phone book, call the doctor
Are you out of your mind, doubtin' mines, out of line
Talkin' out your behind, shoutin' rhymes out of time
It's all over, what's up, yeah, what, what now, you tough now
Now you hush, hush now, ain't sayin' too much now
Thought so, haunt yo' sleepin' ass, creepin' fast
Like you was doin' somethin', now I gotta ruin somethin'
You image, your career, lookie here you whole life is hangin' in the air
Like a chandilier, poppin' off like a can of beer, understand is it clear
If not let me put it in your ear that I'm royalty
Even though I'm low-key, you know me
You be singin' over my tracks like it's kareoke
If you don't know the half you gon' feel the wrath
Represent the rugged path, the Flavor Unit staff
Droppin' math'matics, layin' you out like craftmatic
I'll let you have it, so you don't want the static

[Chorus 2x]",Queen Latifah,Bananas (Who You Gonna Call?),Apache
"Yeah, well, well, owww
Yeah yeah...
Bring on that pecan pie
Pour some sugar on it, sugar, don't be shy
Scoop me up a mess of that chocolate swirl
Don't be stingy, I'm a growing girl

I offer big love with no apology
How can I deny the world the most of me
I am not afraid to throw my weight around
Pound by pound by pound

Because I'm big, blonde and beautiful
Face the fact, the simply irrefutable
No one wants a meal that only offers the least
When girl, we're serving up the whole damn feast (oh ho)

Slice me off a piece of that hog head cheese (woah)
Then take a look inside my book of recipes (ooo)
Now, don't you sniff around for something fluffy and light
We need a man who brings a man-size appetite

I'll use a pinch of sugar and a dash of spice
I'll let you lick the spoon because it tastes so nice (oo ooo)
We'll keep it in a oven 'til it's good and hot
Keep on stirring 'til it hits the spot

Because I'm big, blonde and beautiful
There is nothing 'bout us that's unsuitable (oo oo oo)
Why sit in the bleachers, timid and afraid (ooo)
When Edna, you look like the whole parade

They say that white has might and thin is in
Well, that's just bull
'Cause ladies, big is back, and as for black
It's beautiful

All shapes and sizes, follow me
Who wants a twig when you can climb the whole tree (oo, oo oo oo)
Yeah, yeah, yeah, yeah, yeah, yeah (oh yeah)
Oh yeah, prove it baby, prove",Queen Latifah,"Big, Blonde and Beautiful",
"[Intro:]
Why y'all ain't say—?!
Yo, you KNOW
You know you was supposed to say something to me
Ooh, baby baby!
Aww yeah
Clap your hands, y'all...

[Verse 1:]
Check it!
Dig it while I rip it
Check it while I wreck it
(Give it to 'em, La!)
Okay, gimme a few seconds
First, I give a shout to every
Jersey-born-and-bred head
And everybody in New York
From brunettes to red heads
Who got my back? (Jersey got your back!)
Yo, tell me who got my back? (The Bronx got your back!)
Yo, tell me who got my back? (Brooklyn got your back!)
Yo-yo-yo who got my back? (Uptown got your back!)
Thank you as I come back into the beat
Give a shoutout to my brother L.A.N.C.E
Up in heaven, resting, chilling, watching over me
You know you're too good to be forgotten
Papa wasn't there but there was Lance in the house
And so, to me and Mommy, you the man of the house
Always flip the script back to the old days
I used to rock it on the high school stage
I used to drink 40s
Back then I didn't blaze
Switched to the pipe with the peace these days
Just go on to let you know I flow on
I'm wicked out my gluteus, so ho on and ho on (hoo-ooo)
That's what we about to do (hoo-ooo)
Take you on a mission with the Flavor U
Uh, me no deal with no dibby dibby flip flop
I get mad when it comes to playing hip hop

[Chorus:]
But chill
(Gimme five on the black hand side)
Just chill
(Gimme five on the black hand side)
Yo chill
(gimme five on the black hand side)
Uh
(gimme five on the black hand side)
Come on chill
(gimme five on the black hand side)

[Verse 2:]
Check it fear don't live in here
Tears don't bring me cheers
So gear for another year because I had it up to here
Yeah, I'm about through with you
You wack and rooty poo
Rip up a crew after I hear the one and the two
I'm ret' to set it off again
Wanna bet I can wreck you and your next of kin?
In fact, don't make me have to get the royal gatt
You best to get your narrow ass off that crack
We'll play any show and I know that I'll pack it
Attack it with my tactics
I'm loaded like a full metal jacket
I flip mines to get mines
I'm happy to get with you
But you can't come out to play right now
You got to much shit to do
It's all game
It all sounds the same
Them suckers know my name is
Sitting on the tips of their brains
But they're ashamed
They scared to face me
Yet they want to disgrace me, erase me
They must be freaking crazy
I'm the La La La from Halstead
Bred with the Queen as a prefix
It's off with your head
And that's a promise cause I don't make threats
So mind your neck, cause it's about to get set

[Chorus:]
C'mon set it off
(Gimme five on the black hand side)
Uh, set it off
(Gimme five on the black hand side)
Somebody set it off
(Gimme five on the black hand side)
Watch the La, set it off
(Gimme five on the black hand side)

Uh, set it off
(Gimme five on the black hand side)
Uh, set it off
(Gimme five on the black hand side)
Watch the La, set it off
(Gimme five on the black hand side)
Checks the Queen, set it off
(Gimme five on the black hand side)

Parlay
Ah uh, yeah (3x)
Black reign 1993
I'd like to welcome you to this album
Matter of fact, I'd like to welcome you to a new day
A new day to hear me
Check this out ya'll",Queen Latifah,Black Hand Side,
"[Chorus:]
Black on black love
That's what I'm thinking of
That's what I want from you
To thine own self be true
Black on black love
That's what I'm thinking of
C'mon, 'cause we're in this together, y'all
Let's try to make our hoods a little better, y'all

[Verse 1:]
Last night after I prayed, I layed my head down
Tired after a hard day
I blocked out the siren sound
As I fell into a deep sleep
I don't have dreams of cream
My dreams are vivid and seldom seen
And much to my delight
I saw my peoples in a different light
Tension was gone
We stood Black and strong
Instead of a day
We had a lifetime of atonement
I felt loved
I didn't have to treasure the moment
Instead of drugs, we gave out hugs
And you payed with pain
No more thugs and
Everybody knew everybody's name
No tricks, no cheaters, women beaters, pimps or whores
Less stress, and a whole lot less liquor stores
Children played without worries of strays
Longer days with shorter nights
No need to fight
We all stuck tight
We stayed away from the traps
As a people, we lived right and exact
And showed a whole lot more of that

[Chorus]

[Verse 2:]
In my dream, we all loved our neighbors
Did each other favors
And used the good sense God gave us
Watched each others' backs
And lifted while we climb
There was no crime
None of my brothers was doin' time
And they treated all their sisters like ladies
Women didn't worry because their men didn't act shady
Mothers were proud of their seeds
And kept a big smile
'Cause the whole village chipped in
And raise that one child
We supported our local Black-owned stores
We were down for the cause
The next man make sure you had yours
There were no robberies, murders, or rapes
No child molesters
We took control of our own fate
The life span of the Black man increased
Times were less stressed
We did our best to live in peace
We showed love for rap
Kept in contact
We stayed away from the traps
And showed a whole lot more of that

[Chorus]

Now as I wake up to face this harsh mentality
It's just a dream or prayer, far from reality
As I wait, the siren sounds begin again
I get up, walk to my window
Wondering if it will ever end
When I look out, nothing's changed
Hustlers are still there
Lady on the phone yelling how her baby father doesn't care
Conflicts with derelicts over squeegies
Homeless will work for food
""Would you please feed me?""
It's our duty to try and help remove some of the stress
Every 20 minutes a child dies a violent death
Parents are frustrated
Wondering where they went wrong
Knowing that that fast money, it won't last long
We got some that fight for rights to be equal
Some struggle, and still we commit crimes against our own people

[Hook:]
Love, love, love
Bump, bee-ahh-dump bah-dump-bah
Black on Black love

Don't let it chain react
Or fall into the traps
It's time to recognize
And start spreading some of that

Love, love, love
Bump, bee-ahh-dump bah-dump-bah
Black on Black love
Love, love, love
Bump, bee-ahh-dump bah-dump-bah
Black on Black love

Don't let it chain react
Or fall into the traps
It's time to recognize
And start spreading some of that

[Chorus]",Queen Latifah,Black on Black Love,"Antonique Smith, Next"
"Who brings the flavor?
That's me, that's me
Who brings the flavor?
That's me. I got it

[Verse 1:]
Oh no, it's a scandal
I drop upon the mic like an anvil
And they'll praise me
For mad thoughts, I'm crazy
I'm searchin'
Lookin' for the target
You don't know what hard is
This ain't all this hard yet
But I don't wanna be hard
I just wanna flow
Cause rhymin' is my game
And I play it like a pro
So what?
You want to know my name?
Dana Elaine
All hail the queen acclaimed
Drive you insane
Woman with a brain
I'm a Flavor Unit MC
And that means I'm one of the roughest
Def-est, toughest, best-est
Wickedest MCs rappers in the place
But if you try get swift?
I'mma punch you in your face
I'm a higher flier
Why you wanna cry?
I'm already hot, so put me in the fire
Give me a pen and pad and it's over
Bye-ya!
See ya later, alligator
Hey D, bring the flavor

[Chorus:]
Bring the flavor, La, bring the flavor, bring the flavor, La, bring the flavor (2x)
I get down with the F.U. crew, the only way to be, the only thing to do, ooh! (2x)

[Verse 2:]
Yup, yup, yup
I be Latifah on the mic and
When I'm rhymin' don't you call my bluff
Because I hate it when I have to get dangerous
It divides, it loosens, and it weakens and it changes us
You want more? Sure
I fill you up like Texaco
I switch to Spanish
And rock it from here to Mexico
Record go, yo
Watch the pro
Let me flow
I'm raking in the dough on the down low
So me no know
Don't get me riled
I get wick-wick-wild
Flex styles by the pile
So smile for awhile
Aware, my dear—
(Kick-kick-kick, snare)
That the flavor's in the air
Oh yeah

[Chorus:]
The flavor's in the air, the flavor's in the air (4x)
Bring the flavor, La, bring the flavor (4x)
I get down with the F.U. crew, the only way to be, the only thing to do, ooh! (2x)

[Verse 3:]
Peep me cause I'm not sneaky or freaky on the mic
I just grab it, grip it, rip it right
And the girls know it (know it)
And the guys know it (know it)
I'll put your best to a test (wanna bet?)
Wanna bet you'll blow it?
I'll smoke you like a cigarette
Just give me the mic
I'll give you wreck
And save your idle threats for the next rap
I'll take it without the cream
So leave it black
But you can leave the sugar
So I can make green-like-a-booger money
In the bank
No need for actin' stank
It's a sad thing to watch you get gassed like a tank
And spank
Look at the intelligent female I N I
Don't try it
You know I don't buy it
Now, uh, if your get-up-and-go
Done got up and gone
I wrote this song
So you can rock the hip-hop all night long
So I want a gigawatt in the back of your Jeep
So I can blast the shoes off your crusty feet

[Chorus:]
It's like this, it's like this, it's like this, it's like this (2x)
I get down with the F.U. crew, the only way to be, the only thing to do, ooh! (2x)
Bring the flavor, La, bring the flavor (4x)",Queen Latifah,Bring The Flavor,
"[Chorus:]
You can say I'm bad to the bone and that's it
You can say I'm quick to start a conflict
You can say I'm swift when it comes to mine
But mischievous all the time
You can say I'm bad to the bone and that's it
You can say I'm quick to start a conflict
You can say I'm swift when it comes to mine
But mischievous all the time

Melody... whoa... ha
Br-br-br-br-Brownsville, Brownsville, Brownsville...

[Verse 1:]
Tanya Montana, what you want?
Scanner
Microscopic camera
Infiltrate plans and scam ya
Get the chips
Triple split
So MCs and fat whips
Fly chicks with wits
Niggas suck us like tits

Fuck it, put they face is the dirt
Watch me do work shitting on bitches
Uh huh, bet it hurt
In a long black skirt
With the long platinum furs
In a long black [?] only my real bitches should be concerned with

Scarlet, I got these niggas scoped like a target
Bout to start shit, convicts flood the market
Charged with the Remy and Henny, rock condoning
She Capone-ing, ride the track like I'm boning

I'll tell you now if your shit is glassy
I'm seeing through like shot niggas
I put the feeding tubes in the ICU
Look nasty, the hottest crew ballers clocking who? I
Dropping jewels, I'll let you rock one too

[Chorus]

[Verse 2:]
Easily we fucks with niggas mentals
Lyrical credentials
We presidential, detrimental
Poetic prophets, philosophic when we drop it
Catastrophic street topics
Sonnin' niggas like the tropics
It's all logic
Profit sharing with my plan
Steady building and planning
I be the last bitch standing
In a war zone and chrome
We leave the spot blown
But still shown
God bless the child
That can hold her own

Forget living from paycheck to paycheck
Our styles will make a nigga
Wanna get his face wet
Don't stop 'til I break a sweat
I ain't choose your crowd
Your crowd chose me solely
Pimped out your style like Goldie

In the event you black out
Start poppin' off at the mouth?
Dropping you off down south
With the heat still in your mouth
I'm too grown to be playing with these little girls
Still getting [?]
Make you [?]
Ten times strong

[Chorus]

[Verse 3:]
O'Hara, the rap assassin-ess
Stay blasting this
Murder style disastrous
I mastered this
Throwing my back in this
Macking this for all the critics
With the Hollywood committeds
Well fuck 'em
We in a minute

Lady McGyver
Conniver
Be the sole survivor
Plot devisor
The move-on-them bitch that's liver
With Diablos jet black across the stars
Word, relax, put on the Marlboro
Headed for Monte Carlo
Camouflage specialist
Hold it down effortless
Be the best and shit
Lazarus soldier
Left your list
Mind the Matahari
White wine and calamari
Behind me, got an army
The fam is where my heart be

170 pounds of brown
Put it down
Don't clown, be around
Like that weak style you found
You get it?
Trying to live until they make me get rid of it
I was born with this gift
And you don't want me to spit it
L-A-T-I --
Yeah, like I really gotta do that
Lose the haters riding my flow talking, ""Who dat?""
Knew that fate was coming when I dropped that hot wax
Now you bummin'
Gotta feel that

[?] for the sport, play it
Bout the [?] stay wet
On flooded [?] from jewelers I ain't pay yet
Kita lace a tight verse
Blaze it right, then I burst
You deep pockets, you like [?]
You talk, we fight first

Get it on
[?] stuck in your ass like tampons
You thought I was up North
Doing a bid and fell off
Check the platinum soundtrack
That's where the fuck I'm at
Lay my head all up in Brooklyn
But Jersey's on the map
The authoritive figure
But you feel me like a nigga
Coming strong across the Hudson
And I know I'm touching something
'Cause you stupid niggas
Tasted this pussy and wanted to loop it
They said it was a hit
Just like this Brownsville shit

[Chorus] (2x)",Queen Latifah,Brownsville,"Scarlett, Nikki D, Markita"
"[Intro: Queen Latifah]
Dana Owens aka Queen Latifah, yes, I'm here to testify
No, I gotta speak on my behalf
You don't even know what happened
Can I just tell you what happened?

[Hook: Macy Gray] (Queen Latifah)
He had it comin' (He had it comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Verse 1: Queen Latifah] (Macy Gray)
I mean imagine, why was he hittin' his woman?
Why was she takin' that? Now picture her fightin' back
Think of the ass kickin', think of his ass flippin' down the stairs
And me at the top smilin', he shoulda stopped wildin'
Now could you picture me tryin' to finish him off?
See why I pictured me on this side of the law
High heels leave holes, you'd-a thought I was gunnin'
Now the cops comin', I ain't runnin' (He had it comin')
Girl, you shoulda seen it, shoulda bobbed and weaved
Before the cops came, got a couple of clean hits
In word the [?] couldn't take the abuse
But I couldn't explain that to the state troops
But you know, girl, yeah, you go girl
Plus I look real cute in orange jumpsuits
This the story I'm tellin' and I ain't changin' nothin'
I just needed you to know, Your Honor

[Hook: Macy Gray] (Queen Latifah)
He had it comin' (He had it comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Hook: Macy Gray] (Queen Latifah)
He had it comin' (He had it comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Verse 2: Lil' Kim] (Macy Gray)
Aight, aight, let's get this over with
Take the mug shot, hurry up the fingerprints, what, the blood clot?
Lil' Kim aka Sofia Luchiani
Keep your jumpsuit, I'm rockin' Armani
Yeah, I bust at him once, but that was just a warnin'
My lawyer will be here with bail money in the mornin'
I'm not guilty, just tryin' to protect mine
It ain't my fault he ran into my knife 20 times (He had it comin')
Just my luck the bastard ain't die
What you woulda did if every other day he blacked your eye?
Broke your nose 'til it started bleedin'
Kicked you in your ribs, choked you 'til you stopped breathin'
Fuck that, I'm sick of bobbin' and weavin'
Him threatenin' to kill me when I threaten to leave him
I do a bid, cause ain't no way
(Nigga) gonna do me like Ike and OJ

[Hook: Macy Gray]
He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Hook: Macy Gray]
He had it comin' (C omin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Verse 3: Queen Latifah (Macy Gray)]
This is for the constantly accused, mentally abused
How many of you been in my shoes before (aight)
Or have you felt you caught the worse case
Puttin' up with his tired ass in the first place
Why am I flippin'? I just bought them condoms
I ain't used not one but there was two missin'
Made a new mission, how to catch a cheater
If he only use Coast, you shouldn't smell Lever (He had it comin')
If you know he don't smoke, you shouldn't smell reefer
If you catch him cheatin' you shouldn't yell either
Run up on him quietly, choke him out silently
It might sound cruel, but you gotta love the irony
So explain that, just came back off a trip
And I come home to this, please
He ain't followed the guidelines
So forgive me, Your Honor, but he ran into my knife five times

[Hook: Macy Gray]
He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Hook: Macy Gray]
He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same

[Hook: Macy Gray]
He had it comin' (Comin')
He only had himself to blame
If you'd've been there, if you'd've seen it
I think that you would have done the same",Queen Latifah,Cell Block Tango (He Had it Comin’),"Macy Gray, Lil’ Kim"
"[Verse 1:]
Welcome into my Queendom (My Queendom)
Come one come all
When it comes to lyrics, I bring them (I bring them)
In spring I sing, in fall I call out to
All the ones who had a hard day
I prepared a place on my dance floor
The time is now for you to par-tay
I thought it would be a good chance for you to move
(One nation under a groove)
House music always soothes
So get with the flow, let's go, yo
Can you rock to a house groove tempo?
If so, then shall we let the games begin?
What better off position can you be in?
I'm on fire, the flame's too hot to douse
The pool is over, come into my house

[Chorus]
Don't make me wait
Come into my house (Give me body)
Don't make me wait
Come into my house (Give me body)

[Verse 2:]
Here's a dance step from Al and Kika
Bass and treble flow through the speakers
Ride the rhythm, I know it's gonna reach ya
I'm the queen, Latifah
Now it's time to run through it
45 King? (Yeah, baby?) Cue it
Yeah, there you go, I told you you could do it
Now did you enjoy it? (That was cool)
I knew it
Dance to the beat of the drum
Give me some
With the Flavor Unit I've come
To say ""ride the groove line""
Don't swing the pipe bomb
Listen to the smooth line
Throw away the white line
It's a house party I'm hosting (What?)
Come and rock with the one that's chosen
It can't turn me inside out (Uh uh)
For those who dare to, come into my house

[REPEAT Chorus]

[Verse 3:]
It's a new fusion I'm using
You ask what is it I'm doing?
Hip-hop house, hip-hop jazz, with a little pizzazz
From the queen, the Queen of Royal Badness
Remember me from ""Wrath of My Madness?""
It's my rap that rocks this party
I'm a hijack and jack your body
This is not an erotic interlude
Keep in mind I move multitudes
The Asiatic Black woman, hardcore beat drumming
It's hard to keep a good woman down, so I keep coming
Blow for blow, I take and I get some
Still I rise in a civilized wisdom
I hope the lyrical display has you around
It's an open invitation
Come into my house

[REPEAT Chorus]",Queen Latifah,Come Into My House,
"Hey old friend let's look back, on the crazy clothes we wore
Ain't it fun to look back, and to see it's all been done before?
All those nights together, are a special memory
And I can't wait for tomorrow, just as long as you're dancing next to me

'Cause it's so clear, every year, we get stronger (stronger)
What's gone is gone, the past is the past
Turn the radio up and then hit the gas 'cause

I know we've come so far but we've got so far to go (ooo)
I know the road seems long, but it won't be long 'til it's time to go
So most days we'll take it fast and some nights we'll take it slow (ooo)
I know we've come so far, but baby, baby we've got so far to go
(oh yeah)(hey yeah) (oh, oh)

Hey old friend together, side-by-side and year-by-year
The road was filled with twists and turns, oh, but that's the road that got us here
Let's move past the bad times, but before those memories fade
Let's forgive but not forget and learn from the mistakes we made

'Cause it's so clear every year we get stronger (stronger)
So don't give up and don't say when
And just get back on the road again 'cause

I know we've come so far but we've got so far to go (ooo)
I know the road seems long, but it won't be long 'til it's time to go
So most days we'll take it fast and some nights we'll take it slow (ooo)
I know we've come so far, but baby, baby we've got so far to go
(oh, yeah)(hey yeah)(oh, oh, oh, oh ,oh)

Hey old friend come along for the ride
There's plenty of room, so jump inside (jump inside)
The highway's rocky every now and then (yeah, yeah)
But it's so much better than where I've been

Just keep movin' at your own speed
Your heart is all the compass you'll ever need (so you need)
Let's keep cruisin' the road we're on
'Cause the rear view mirror only shows what's gone, gone, gone (yeah)
We got so far to go!
(woah oh)(yeah)

Oh, it's so clear every year we get stronger (stronger)
So shine that light, (ooo)
Take my hand (ooo)
Let's dance into the promise land 'cause

I know we've come so far but we've got so far to go (ooo)
I know the road seems long, but it won't be long 'til it's time to go
So most days we'll take it fast and some nights we'll take it slow (ooo)
I know we've come so far, but baby, baby we've got so far to go
(hey yeah)

Baby, baby, ooo, (hey)
Baby, baby we've got so far to go
Baby, baby, ooo, (oh, oh, oh, oh ,oh)
Baby, baby we've got so far to go
Baby, baby, ooo, (yeah, yeah)(welcome to the 60's)
Baby, baby we've got so far to go
Baby, baby, ooo, (oh, oh, oh, oh ,oh)
Baby, baby we've got so far to go (welcome to the 60's)(come on, lets go, baby)
Baby, baby, ooo, (oh, oh, oh, oh ,oh)
Baby, baby we've got so far to go (welcome to the 60's)(come along for the ride)
Baby, baby, ooo
Baby, baby we've got so far to go (yeah)(oh, oh, oh, oh, oh)
...",Queen Latifah,Come So Far (Got So Far To Go) (”Hairspray”),"Nikki Blonsky, Zac Efron, Elijah Kelley"
