lyrics,artist,song_title,featuring
"{*set to Dr. Dre & Snoop's ""Deep Cover"" instrumental*}

[50 Cent]
G-G-G-G-G-G-Unit!
50 Cent nigga, Tony Yayo (yeah)
{WHOOOOOO... KID}

[Hook: repeat 2X]
Yeah! And you don't stop
I do a 187 on your motherfuckin block
Yeah! And it don't quit
It's G-Unit in your motherfuckin ass bitch~!

[Tony Yayo]
They say good things should happen to those who wait
But I'm stuck in the game still slingin weight
For that eggshell white, that tan and the brown
For a XL-6 or a seven four pound
Suede seats is hot but Italian leather is better
And with cameras in the mirror, nigga cars costs cheddar
I'm on first class flights, with flyin cooks
Cause my verse sound nice when they fly in hooks
Now I'm blowin weed yo, in Beverly Hills
With some bad freak hoes in the Montreal
Next year it's the new Hummer, stash box with the llama
I drive through in the blue data bomber
Heaven or hell'll prevail when I'm a goner
Cause I eat up tracks, like Hannibal and Dahmer
I'm the first one out, and last one on the corner
Cause life is a hustle, any day you be a goner
P89 Ruger with the silencer
Let off a clip it sound like spitballs goin through straws
We got, plenty of ratchets but not on sale
We even got villagers that hold shotgun shells
These rappers is talkin 'bout bricks in they rhymes
You never did shit but some Mickey Mouse crimes
I don't respect it, my work is never watered down
So on the first I get mo' checks than Nike Town
Sling in thirty-one hundreds, I been on the block
Since niggas did the snake, running man and the wop
When I was 15, I ain't want no workin papers
I played the strip all night, servin niggas
Listen nigga, we live like Italians in jail
I got C.O.'s bringin cell phones to my cell
Get rich in the game, niggas out to get you
Fill your ass up with led turn yo' ass to a pencil
I jumped out with the Ruger rapid-fire
I had you on the run like Omar on ""The Wire""
I'm the only rapper you know that stay on the run
I'm the only rapper you know that stay with a gun
I'm a hustler, O.G.'s love to hate
Cause I got old school money put away in the safe
You can catch me in the hood where that dope and coke at
Or you can catch me in cali in the Hollywood throwback
I'm a bail jumper, you know them fish scale pumper
Fuck Judge Wong, he won't catch me on the corner
Nigga pay poor tax, homey you owe me
You wanna rap we can battle for your see through Roley
I be in M mansion, strippin them models
His bathroom's so far you gotta piss in a bottle
There's too many indians and not enough chiefs
Why you buy all the guns if you ain't got enough beef
The shit I spit'll cause an all out riot
And my new four-fifth'll cause a hollow-tip diet
I'm the type to tie up your lady, and gun butt your baby
I'm like the mob nigga, fuck you pay me~!
I'mma hide my assets, and disappear
Make a quick twenty mill' and vanish in thin air
I've finished my work now its time to cop
And meet that Chinese lady at the baggage spot
I need twelve 12's, and fifty-eight 58's
Cause I got eight sales and they all gon' wait motherfucker!

[Hook]

YEAH!
{Ha ha... WHOOOOO KID!!}",50 Cent,187 Yayo,Tony Yayo
"[Ad-Libs: 50 Cent]
New York City
You are now rockin'
With 50 Cent
You gotta love it

[Intro: 50 Cent]
I just wanna chill and twist the lye
Catch stunts in my 7-45
You drive me crazy, shorty, I
Need to see you and feel you next to me
I provide everything you need, and I
Like your smile, I don't want to see you cry
Got some questions that I got to ask
And I hope you can come up with the answers, babe

[Chorus: Nate Dogg]
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

[Verse 1: 50 Cent]
If I fell off tomorrow, would you still love me?
If I didn't smell so good, would you still hug me?
If I got locked up and sentenced to a quarter century
Could I count on you to be there to support me mentally?
If I went back to a hooptie from a Benz
Would you poof and disappear like some of my friends?
If I was hit and I was hurt, would you be by my side?
If it was time to put in work, would you be down to ride?
I get out and peel a nigga cap, chill and drive
I'm askin' questions to find out how you feel inside
If I ain't rap ‘cause I flip burgers at Burger King
Would you be ashamed to tell your friends you're feelin' me?
In the bed, if I used my tongue, would you like that?
If I wrote you a love letter, would you write back?
Now we can have a little drink, you know, a nightcap
And we could go do what you like, I know you like that

[Chorus: Nate Dogg]
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

[Verse 2: 50 Cent]
Now would you leave me if your father found out I was thuggin'?
Do you believe me when I tell you, you the one I'm lovin'?
Are you mad ‘cause I'm askin' you 21 questions?
Are you my soulmate? ‘Cause if so, girl, you a blessing
Do you trust me enough to tell me your dreams?
I'm starin' at you, tryna figure how you got in them jeans
If I was down, would you say things to make me smile?
I'll treat you how you want to be treated, just teach me how
If I was with some other chick and someone happened to see
And when you asked me about it I said it wasn't me
Would you believe me? or up and leave me?
How deep is our bond if that's all it takes for you to be gone?
We only humans, girl, we make mistakes
To make it up, I'll do whatever it take
I love you like a fat kid love cake
You know my style, I say anything to make you smile

[Chorus: Nate Dogg]
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

[Outro: Nate Dogg]
Could you love me in a Bentley?
Could you love me on a bus?
I'll ask 21 questions and they all about us
Could you love me in a Bentley?
Could you love me on a bus?
I'll ask 21 questions and they all about us",50 Cent,21 Questions,Nate Dogg
"[Intro - 50 Cent talking]
Uh, yeah, G-Unit, uh, yeah 50 Cent, uh, yo

[Chorus 1 - 50 Cent, imitating Timbaland]
Timbaland sounds so good, but I might not be ready
I don't know
If I spend a 100 grand on the beat, then we done bumped already
Now here we go

(*harmonizing over the beat - doo, doo, doo, doo, doo, doo, doo)
(doo, doo, doo, doo, doo, doo, doo) (Pee Wee Herman)
(doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo, doo)
(Niggas look down to Pee Wee Herman)

[50 Cent - Verse 1]
50, lefty, no gun in my right palm
Bronx niggas love me, like they think our mics on (WOO)
These rap niggas not like me, they too soft (yeah)
Get shot down, I get up, shakin' shit off
You know white collar crooks, do jokes on lap tops (uh huh)
Real niggas snatch Glocks, and run up in spots
We can talk Trump talk, real estate, stocks, and bonds
Or gangsta shit, my Rugers and Glocks in palm (uh huh)
Danger, ring the alarm, kiss the ring of the Don
I conquer like Genghis Kahn, I said song in this song (god damn)
I won't hesitate to put a knife or a slug in you
And watch you bleed out, that little bit of thug in you
You don't want to bump heads with me, and get hit up
You, you ain't got what it takes to fuckin' get up
Holla niggas names on records, that shit is played out
But holla mine in your next line, and get layed out

[50 Cent - Chorus 2]
My jewels look so good, and my chain is so heavy
I don't know
If I should stunt for these hoes again, cause I did that already
Now here we go

[Lloyd Banks - Verse 2]
(Lloyd Banks) I don't give a fuck if your favorite rapper dies, to me thats my spot
I'll celebrate his burial and eat at IHOP (yeah)
I've been hungry since a little nigga weed in my high top (Woo)
Face burgundy red, in need of a eye drop (uh huh)
I had the black Delta Force, blue in the front
Back when Jordan was flyin', and Ewing could dunk
Of course, you can fuck now, you was buyin' the shrimp then
Me on the other hand, Don Bishop and Pimp King
(*harmonizing of ""doo, doo"" plays in backgroud until G-Unit is yelled)
I'm runnin' from a digital Munster
I do this for the hood and every kid in a dumpster
My name is poppin', and I ain't been at it long
My neck's 16, and made Flex drop a Benz latin bomb (G-UNIT!)
I'm the best thing to happen to hip hop
Since (uh huh) ""Life After Death"" and that 2Pac shit drop
I'm even good to a white boy with a slick top
Stuck up in the mountains with a gun and the wrist pop
Who? where?, Master P says our watch don't tick tock
I'm cleanin' out my 6 shot, watchin' the Knicks flop
Damn near the whole day I’m passing the green
Thats how my bedroom, look like the World Trade after the scene (smoking)
Breaking news, hijack, bus passenger scream (yeah)
I'm your worst nightmare, I crush half of your team
To me your line up is pussy, three wet Pampers
The uzi will have you shakin' like them G-Dep dancers (damn dude)

(*50 Cent - harmonizing ""doo,doo,doo""*]

*beat stops

[Lloyd Banks]
What the fuck happen to the rest of the beat man?

(50 Cent laughing)",50 Cent,50/Banks,Lloyd Banks
"[Hook]
50 bars of pleasure, 50 bars of pain
When I'm dead and gone niggas gon' remember my name, 50

[50 Cent]
Black is flashy like Alpo, gun happy like Pappy
Sneaky muthafucka 'mind me of nigga that clapped me
He ain't the type you shoot dice with and win dog
Unless you tryna get your ass laid out in Gilmore
He had some soldiers, 'mind me Troy and E-Bags
When they came through they hollored like ""What up comrade?""
Grimy niggas, they loved to get gully
Summertime, still had on black gloves and skullies
The Lex 450 pulled up that's Cornbread
Them niggas from Philly woulda called him an old head
But he a OG, 'mind me of Chaz and Bump, real low key
Sounded like they don't know nothin about drama
His money sent many men through trauma
Switchy walked in son, this bitch had the baddest ass
The bulletproof glass was rolled down on his S-Class
Heard in DC, he kept mad blocks in order
Picture this, a young nigga gettin it like Rich Porter
Sonny came in for half a pit, he got knocked
He on lock still controllin the spot from Comstock
Pop pulled up in the CL5, surprised he came
His man just got fucking murked by some lame
Heard he got it in the Range nigga Caine popped one
On his brain over some-thang, took his watch and his chain
Country boys off the hook down there in Richmond mayne
In the black 740 I sat, my hat turned back
""Down down baby,"" Nelly singin my wrist blingin what?
I'm waiting on this nigga Wise, three loaves for two pies
Son he smokin that shit, I can see it in his eyes
Comin up Wise and locs is close
And locs ride 'round lookin for wires to toast
Benny hopped out the Escalade with a few thorough men
From B-More, they sellin heroin in Maryland
His first batch of diesel, he killed like 4 fiends
His popularity grew, that only meant more cream
First it was him and his brother, now he got a team
Went from 5 and a half grams to livin the dream
Seen he pulled up, goddamn, you know his format
Bentley Azure, marble in the door, mink floor mats
Hit the hazards, out the stash box popped two Glocks
Theme song: ""All Eyez on Me,"" 2Pac
Everybody know he a boss he still gotta floss
He on the same bullshit that sent Gotti up north
That's Ty in the blue GS, stuntin like he Nicky Barnes
He broke but he talk like he a Don
Homes hoppin out the Jag that's Max, Haitian cat
Kill a nigga quick remind me of Haitian Jack
I peeped his style son I know his steelo, he on the d-low
He smile at niggas mumblin fuck you in Creole
Heard war stories bout how he maneuver with the Ruger
Hold the iron horizontally and send shots through ya
Few niggas tried to merk him, most them got found
Some turned away try to run they in wheelchairs now
Banks hopped out, bulletproof this, bulletproof that
Bulletproof snorkel, bulletproof hat
Got out a black Hummer, he blew 90 on that
Poppin mad shit like he gonna bulletproof that, let's go

[Hook]",50 Cent,50 Bars,
"[Intro: 50 Cent]
Nights like this... I wish
Rain drops would fall
5 heartbeats left
One last deep breath

[Verse 1: 50 Cent]
I got a 16 shot Ruger, I got 16 cars
All over how I write 16 bars
Ja, Joe and Jada they're fuckin' retards
I run Interscope, uh-uh Oh, my God
Your stuff I'll make it hot
You want I'll get ya shot
You're just open your coffin
You're dead men walking
Now when I'm out in London they say I'm so smart
I fired rounds from pounds I came up so hard

[Hook: 50 Cent]
I been around the world and aiya-ya-ya
Must be goin' crazy
Cause I'm still down
To get down to let off rounds
I'm loadin up my 380
I can't wait 'till I see death

[Verse 2: Tony Yayo]
I'm tryin' to pray to the preacher man but he in new gators
My ASCAP check got a nigga new haters
The condos in Vegas - cause NY freezin'
My strap is the reason that you on the floor bleedin'
I learned the Coke game Young and Watchin' 50!
And learned the dope game fast ask Bo-Diddly
Automatic Mossberg in the all white fur
Shotgun pellets out of snow white spur. [shot] {DAMN!}

[Hook]
I been around the world and aiya-ya-ya!
Must be goin' crazy
Cause I'm still down
To get down to let off rounds
I'm loadin' up my 380
I can't wait 'till I see - death!
Oh babyyyy!
Nigga I'm gonna... I'm gonna find you

[Outro: 50 Cent]
It's the first of the month
Hahahaha
It's the first of the motherfuckin' month nigga
OOOHHH!
It's a fuckin' zoo out here, man
These fuckin' chimpanzees, man
Fuckin' monkeys talkin' 'bout me, man
Pull through there man, it's hot
These niggas out on the curb, I'm like look at these donkies
Bunch of fuckin' jackasses
Man go do something, nigga
What the fuck, man?
Damn, nigga go to jail nigga
Give yourself an excuse for bein' Fuckin' broke nigga
Come on, man
Fuck is up man
This 50, man
South Side, man
You already know what I'm about boy",50 Cent,5 Heartbeats,Tony Yayo
"[Intro]
Yeah, Shout out to Chris Lighty! Violator!
You know how I put it down when I put it down nigga, let's go!

[Hook]
When you frown at me is it because I won't provide for you girl
Your after me cheddar
And you friends they see it to screaming we know what your up to do girl
I'm after my cheddar

[Verse 1: 50 Cent]
I gave you your style Gucci this Fendi that
Burberry bag shoes and the hat to match
I like the way it look but bitch I ain't buying that
I hate to be the bearer of bad news but no more Prada shoes
When I just wanna chill you wanna go out
See me parle with some other chick you wanna show out
You say I'm wrong when I dog yo ass like I should
Now you reminisce about all the time I treated you good

[Hook]

[Verse 2: Lloyd Banks]
When you think about me grinding my fans
You either got more than one watch on or it's to much time on your hands
They say behind every good man is a woman
So tash pull up stash the cannon linen
I'll never be your chofuer to the mall
You'll learn to appreciate cd's and posters on the wall
Fatal attractions is mad real
Last bitch I deaded got mad and swallowed 50 Advil's

[Hook]

Verse 3: Tony Yayo]
They say money make the world go round
Material things make a ho go down
I see you in your Prada Gucci and BCBG
Bitch I'm rich but I don't trick on GP
That's 5 dollar dresses and 10 dollar skirts
Bitch play the strip and put in work
Birds wanna have my baby since I signed my contract
Now I got to double up in case the condom snap

[Outro]
Look don't ask me for shit man
I ain't got nothing for you man what?
Bitch what the fuck you mean I can't sing bitch
Bitch I'm Luther Vandross in the shower
G-UNIT!",50 Cent,After My Chedda,"Tony Yayo, Lloyd Banks"
"[Verse 1: Skip]
Every time I'm in the kitchen, you in the kitchen
Let me finish this brick, 'fore you put that fish in
Listen, I know we just came from fishin'
But I'm on a mission, you see, there's money that I'm missin'
I got 'em posted, told 'em ""Move and I'ma murder y'all""
You and all the trouble goin' through by servin' y'all
And only 'cause my man heard of y'all
Other than that, shit, y'all won't get served at all

[Verse 2: Tony Yayo]
I went from oodles and noodles to lobster and shrimp
I went from bare bubble coats, to brand new minks
And yo, my neck upgraded, my wrist's upgraded
I stay C of F, I ain't got time for Jacob
I'm still on the strip, tryin' to get my grims off
Nigga tryin' to flip and it's a Mexican standoff
I put a hole in your grill, with the nine mil
Dressed in all black, lookin' for souls to steal

[Chorus]
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroin
A little bit of ecstasy
That's why your bitch want to be next to me
We sell a little bit of everything
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroin
A little bit of ecstasy
That's why your bitch want to be next to me
We sell a little bit of everything

[Verse 3: Young Buck]
I put the two mags up to your durag and rock-a-bye baby
I'm in the blue Jag with new tags in case you wanna chase
I never knew that, the impact, comin' up out a Desert Eagle
A make a nigga wob and wiggle screamin' call my people
We got these fiends pourin' liters, and they shootin' needles
Need to be takin' your connection 'cause we got it cheaper
Shit I ain't new to this, I met this air stewardess
Who knows the ins and outs on how to get it in and out, nigga

[Verse 4: Lloyd Banks]
Ya if I put a dress code all black, nine hows and a laser
And the party is an ink pen, bottle, or a razor
Your hollerin' for praise ya
Catch me in the hood with a model named Taysha
And the swallow game major
These cowards ain't gangsta
They tellin' you lies by sellin' you dreams
And they ain't felons, they fiends
Plus they rat, and it's too hot to chill in the sun
My pops 39 years old, and still on the run

[Chorus]
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroin
A little bit of ecstasy
That's why your bitch want to be next to me
We sell a little bit of everything
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroin
A little bit of ecstasy
That's why your bitch want to be next to me
We sell a little bit of everything

[Verse 5: Juvenile]
Wodie what you want, you want dope, you want coke
Wodie what you want, you want X, you want dro
Shit you got beef, I got a tec and a fo'
You feelin' hot and moist, I even get you a ho
If you don't got no whip, I get you a car
If you don't got no skills, I get your some bars
My nigga, we don't cut it, we serve it raw
Got anythin' you want, play us awful hard

[Verse 6: 50 Cent]
My 22's bling, so niggas scheme
745 I clean, digital scale nigga, fuck a triple beam
Coffee pot to cook coke, dro to smoke, I was born to loc
Method cut the coke, 50 no joke
I ain't ""Scarface,"" no women, no kids, I don't give a fuck
Better teach that bitch, and that little nigga to duck
With a P-90 Ruger, I put shots all through ya
If you survive you gonna feel what talons do to ya

[Chorus]
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroin
A little bit of ecstasy
That's why your bitch want to be next to me
We sell a little bit of everything
Little bit of dust, little bit of cocaine
Little bit of dro, little bit of heroin
A little bit of ecstasy
That's why your bitch want to be next to me
We sell a little bit of everything",50 Cent,A Lil Bit of Everything U.T.P.,"Tony Yayo, U.T.P, Young Buck"
"[Chorus]
He gonna give you all his love
He gonna give you all his time
He won't let a minute go by
Without the thought of you crossing his mind
I be like fuck a bitch, I'm trying to stay rich
No time to concentrate on hoes
Even if I fuck that bitch do the freakiest shit
By the mornin, I got the go

[Verse 1]
Yeah, I got all kind of bitches, a vet bitch, a beginner bitch
My phone ringing and I ain't answering cause I'm in a bitch
I'm more like a pimp than a trick, I send a bitch
50's and lead escorts, call me the runner bitch
If we going out we going Dutch pay for your dinner bitch
Look bitch, this is my life I'm on some different shit
Every different day I wake up to play with a different bitch
Bitches love me, just like I love me
Fat bitch, skinny bitch, short bitch, tall bitch
You wanna buy me shit, meet me at the mall bitch
In the strip club, let her lick your ass bitch
Get the cash bitch and then go back to your man bitch

[Chorus]
He gonna give you all his love
He gonna give you all his time
He won't let a minute go by
Without the thought of you crossing his mind
I be like fuck a bitch, I'm trying to stay rich
No time to concentrate on hoes
Even if I fuck that bitch do the freakiest shit
By the mornin, I got the go

[Verse 2]
I got a ghetto bitch, a good bitch, a certified hood bitch
She with me to do the to the end, bitch fuck me and her friend
I said I'm headed to the top bitch I'm trying to get it all
A real bitch will be there for a nigga if he fall
The club pack front to the back up in this bitch
Got on my Louie checkers grey and black up in this bitch
Diamonds on my neck, diamonds, diamonds on my neck
Bitch niggas front if you want, we got swimmers on deck
Get your ass hit over a bitch
The bitch ain't shit she in a porno clip with a bitch
She can't suck dick but damn nigga use your head
She gonna find another dick to suck when you're dead

[Chorus]
He gonna give you all his love
He gonna give you all his time
He won't let a minute go by
Without the thought of you crossing his mind
I be like fuck a bitch, I'm trying to stay rich
No time to concentrate on hoes
Even if I fuck that bitch do the freakiest shit
By the mornin, I got the go

[Outro]
West side
This that shit right here!
Feel like it's supposed to be on that Detox!
Yeah
Niggas think they're better than me, but they're not!
Fuck that! I'm just gonna start over
So we gonna act like I ain't been that nigga for 8 years
And I'm a new nigga! Call me Ferrari! G-UNIT!",50 Cent,All His Love,
"[Produced by Jake One]

[Hook: Mary J. Blige]
Now if I give you all of me, what'chu gonna give me back?
Your body is calling me, got me feeling like a fiend on crack
Boy you gonna make me fall in love, now why you wanna go and do that?
Now if I give you all of me, tell me what'chu gon' give me back?

[Verse 1]
Let's start with the moon and the stars, whatever you into
The money I acquire, mama, make it all simple
Flashback '03, paparazzi flashing flicks
I moved away, hustle hard, now I got a sick stash
Tell me you miss me, baby come here and kiss me
Mwah - it just happened so quickly
Feels like I hopped off a bus and got in a Bentley
It's gangsta my music, even when it's the smooth shit
You can hate me cause I hurt you, but I ain't mean to do it
Em predicted it all, I don't know how he knew it
He said women from Hollywood, they liar-liar-liars
You fuck 'em they, get you heated, deny you like Mariah
Fast forward to '06, I'm still on fire
The world is still turning, my records are still earning
Dough come quicker and quicker, flow gets sicker and sicker
Straight up and down, baby, I'm a special kind of nigga

[Hook]

[Verse 2]
Life is short, baby, be a part of my dreams
I own Ferrari horses, my Lamborghini leans
So mean, I have niggas hating on me
God gave me a gift, I'm supposed to be rich
I'm supposed to ride through the hood and make niggas sick
When my homies put in work, they supposed to get hit
With a piece of chain thick and go and buy 'em some bricks
I ain't make that up, this is how it's 'sposed to be kid
You should feel like a lifer that get back that time
When I smile your smile should be as big as mines
Girl to know me is to love me, I'm one of a kind
Even when you hate me you love me, forever you're mine

[Hook]

[Outro: Mary J. Blige]
What you gonna give me back?
You're gonna make me fall in love
What you gon' give me, what you gon' give me, what you gon' give me",50 Cent,All of Me,Mary J. Blige
"[Produced by Dangerous LLC]

[Intro]
50
Ferrari F50

[Chorus]
Shorty, you ain't gotta take your panties off
Just pull 'em to the side
If you wanna ride on the roller coaster
Baby, come on and ride
It go up and down and round and round
Stand up or get on the floor
It's on tonight, I know what you like
I know just how to break you off

[Verse 1]
Good evening ladies, I'll tell you from the start
I'm hoping you enjoy my amusement park
There's lots of activities, fun things to do
And I'll find my pleasure in pleasing you
Some rides go fast, some rides go slow
You fear heights when I'm high, hell yeah I'll go low
It tastes so sweet that sticky cotton candy
We get carried away, we be starting a family
It's a perfect time for a magic trick
Girl, you know it's no fun without the magic stick
Now watch me as I pull a rabbit out a hat
Then you can use the rabbit all over your cat
Applause now, that's the first half of my act
I started out a pimp, now I'm more like a mac
I don't need your paper, just don't fuck with my stacks
(Oh, it's like that?) Yeah, it's like that

[Chorus]
Shorty, you ain't gotta take your panties off
Just pull 'em to the side
If you wanna ride on the roller coaster
Baby, come on and ride
It go up and down and round and round
Stand up or get on the floor
It's on tonight, I know what you like
I know just how to break you off

[Verse 2]
Now you can ride the horse around the carousel
Explosions, Trojans, all in the hotel
Put me to the test, girl, I don't fail
I work it out without a doubt
There's plenty water rides, I'm sure to get you wet in the park
Have your lusting seductions considered an art
Throw a hoop around the bottle, I'll be your teddy bear
Whatever color you like, you know I don't care
I really wanna thank ya for attending this affair
Now go encourage your friends to come have fun here
I smile when I speak, but I'm being sincere
And your pass is valid all summer, my dear
So at your convenience you can always return
There's so many tricks to the trade you should learn
Suck that, lick that, swallow that lollipop
Forget that, grip that, ride it nonstop

[Chorus]
Shorty, you ain't gotta take your panties off
Just pull 'em to the side
If you wanna ride on the roller coaster
Baby, come on and ride
It go up and down and round and round
Stand up or get on the floor
It's on tonight, I know what you like
I know just how to break you off",50 Cent,Amusement Park,
