lyrics,artist,song_title,featuring
"[Intro]
Yeah, hahaha
""When I flow for the street.."" - "".. who else could it be""
""Nas..""

[Verse 1]
Yo, explode, my thoughts were drunken from quarts of beers
Was years back, before Nasir would explore a career in rap
As a music dude, I mastered this Rubik's Cube
Godzilla, fought Gargantua, eyes glued to the tube
Was a, long time ago, John Boy Ice
Geronimo po-lice jumpin' out Chryslers, e-z wider paper
Pops puffin' his cess, punchin' his chest like a gorilla
Outside was psychoes, killers
Saw Divine, Goon, and Chongo, Lil' Turkey
R.I.P. Tyrone, 'member no cursin front of Ms. Vercey
Big Percy, Crazy Paul, the Sledge Sisters
My building was 40-16, once in the blue, hallways was clean
I knew, all that I'd seen had meant somethin'
Learned early, to fear none little Nas was huntin'
Livin carefree laughin', got jokes on the daily
Y'all actin' like some old folks y'all don't hear me
Yo, I'm in my second childhood

[Chorus: scratches by DJ Premier]
""When I flow for the street.."" - "".. who else could it be""
""N-A-S"" - ""Nas..""
""Resurrect, through the birth of my seed.."" - ""Queensbridge""
""Make everything right.."" - ""Get yours, nigga""
""When I flow for the street.."" - "".. who else could it be""
""N-A-S"" - ""Nas..""
""Resurrect, through the birth of my seed.."" - ""Queensbridge""
""Make everything right.."" - ""Get yours...""

[Verse 2]
Yo, dude is 31, livin' in his moms crib
Ex-convict, was paroled there after his long bid
Cornrows in his hair, still slingin', got a crew
They break his moms furniture, watchin' Comicview
Got babies by different ladies high smokin' L's
In the same spot he stood since eighty-five, well
When his stash slow, he be crazy
Say he by his moms, hit her on her payday
Junior high school dropout, teachers never cared
They was paid just to show up and leave, no one succeeds
So he moves with his peers, different blocks, different years
Sittin' on, different benches like it's musical chairs
All his peoples moved on in life, he's on the corners at night
With young dudes it's them he wanna be like
It's sad but it's fun to him, right? He never grew up
31 and can't give his youth up, he's in his second childhood

[Chorus: scratches by DJ Premier]
""When I flow for the street.."" - "".. who else could it be""
""N-A-S"" - ""Nas..""
""Resurrect, through the birth of my seed.."" - ""Queensbridge""
""Make everything right.."" - ""Get yours, nigga""
""When I flow for the street.."" - "".. who else could it be""
""N-A-S"" - ""Nas..""
""Resurrect, through the birth of my seed.."" - ""Queensbridge""
""Make everything right.."" - ""Get yours...""

[Verse 3]
Baby girl she's always talkin', name droppin', hangin' late
Drinkin', smokin', hates her baby daddy, craves shoppin'
E poppin' Ecstasy takin', won't finish her education
Best friend she keeps changin', stuck with limitations
Lustin' men, many hotels, Fendi, Chanel
With nothin' in her bank account frontin' she do well
Her kid suffers he don't get that love he deserve
He the Sun, she the Earth, single mom, even worse
No job never stay workin', mad purty
Shorty they call her the brain surgeon
Time flyin', she the same person
Never matures, all her friends married doin' well
She's in the streets yakkety yakkin' like she was 12
Honey is twenty-seven, argues fights
Selfish in her own right for life
Guess she's in her second childhood

[Chorus: scratches by DJ Premier]
""When I flow for the street.."" - "".. who else could it be""
""N-A-S"" - ""Nas..""
""Resurrect, through the birth of my seed.."" - ""Queensbridge""
""Make everything right.."" - ""Get yours, nigga""
""When I flow for the street.."" - "".. who else could it be""
""N-A-S"" - ""Nas..""
""Resurrect, through the birth of my seed.."" - ""Queensbridge""
""Make everything right.."" - ""Get yours...""

[Outro]
""Who else could it be.."" - ""N-A-S"" - ""Nas, Nas..""",Nas,2nd Childhood,
"[Produced by No I.D.]

[Verse 1: Nas]
You cocked back
You thought you had it planned, you thought you had your man
He saw you coming, he ran when you tried to blast that man
You missed him by inches, he sprinted
Some of his boys on the corner was who your bullets entered
Two of 'em pull through but one didn't, son's finished
You took the life of him
The part about it that's crazy, you was aight with him
Tight with him, why was he in the way?
Why was he standing next to the enemy that specific day?
His style never hollas loud, stays reclusive
Good dude, got that look like he always about to do shit
Side of his mouth toothpick, one eyebrow raised
Got into it with dude who still tried to live out his old wild out days
They never had no probs
Somehow they rubbed each other wrong like a bad massage
These two different personalities had to collide
Niggas could not aim and innocent niggas died
You ask why, 'cause of a

[Chorus: Nas]
Accident murderer, act like you killed on purpose
Liars brag, you put work in
You ain't mean to murk him, your gun's a virgin
Streets are full of 'em, read the bulletin
Accident murderer
You just an accident murderer

[Verse 2: Rick Ross]
We grew up doing graffiti, now hollow heads getting heated
Seated in foreign cars, constantly getting weeded
Proceeded to count profits, I know they got on binoculars
But fuck em all, we balling 'til they come lock us up
20 to life; I'm clubbing, blowing 20 tonight
We the mob, Bob Marley Marlin' all through the night
Addicted to wealth, never cold turkey to war
Snatch a TEC off the shelf, live forever; that's Insh'Allah
Memoirs of a rich nigga
Sweat suits, gold chains, old drug dealers
New Benz, chrome rims are for show, killer
You niggas accidental, shoppers in back of the limo
Pay your tithes, stay alive, can't be dodging my clique
Cut a check; I use your bitch for some bargaining chips
In a hole, sell your home, nigga go sell your soul
This forty-five in control, God forgives and I don't

[Chorus: Nas]
Accident murderer, act like you killed on purpose
Liars brag, you put work in
You ain't mean to murk him, your gun's a virgin
Streets are full of 'em, read the bulletin
Accident murderer
You just an accident murderer

[Bridge: Nas]
Accident murderer
Accident murderer, you just an accident murderer

[Verse 3: Nas]
Yo, for my nigga that got killed, got hit up
Vodka spills on the concrete, light a swisha, we miss ya
And for that girl who never made it home, shot in the dome
How they gon' kill that beautiful sister?
Violent adolescents, homicidal with weapons
Not a lot of knowledge inside of they minds, that I'm guessing
Tell me who you impressing
Shooters I knew them when they was babies, I used to test them
Make em throw up they hands, choke 'em out playing wrestling
Watch em grow to a man, I see them now they repping
But they cold-blooded, homie, wondering where the respect went
Can't play with these little niggas, gangsta little niggas
Can't hang with these little niggas, they're killing, they're reckless
Wish I could build with him, but will he change really?
Some real killers, I think of Wayne Perry
Think of my nigga Drawz, but you aren't a name to me
You ain't mean to kill him, it wasn't necessary

[Chorus: Nas]
Accident murderer, act like you killed on purpose
Liars brag, you put work in
You ain't mean to murk him, your gun's a virgin
Streets are full of em, read the bulletin
Accident murderer
You just an accident murderer",Nas,Accident Murderers,Rick Ross
"[Verse 1: Nas]
The ghetto Othello, the Moor
Oh my God, they speak venomous on the boy
Oh my Lord, my enemy is fear, and I'm sure
Oh my God, they want the end of me 'cause I'm pure
Oh my Lord, discipline for the win, I just go for it
It's a trend for these men to die on their own sword
Journey far, learn who you can be
But you can learn who you are when you around family
Chip off the shoulders of soldiers, on they grizzle
My granddaddy Mack Little married Nannie Little
They passed down wisdom, blessings were given
Pray my sins don't get passed to my children
I made a killin', I'm alive like the morning star
Court Jordan's for the price on stock, so what the Hornets are?
I need evaluations, I'm savvy, y'all
Eatin' foie gras and caviar, listen

[Chorus: The-Dream]
Adam and Eve
Don't fall too far from the apple tree, ayy
Adam and Eve, Adam and Eve
Don't fall too far from the apple tree, apple tree

[Verse 2: Nas]
The ghosts of gangsters dance
Chinchillas shake on the hanger, the force of this banger
Yeah, my language advanced, my cadence amazin'
The voice triggers somethin', what is this conundrum?
The clouds scurry, your spirit rumble, a boyish smile
Still puff the loud, it's nothin' less than a quarter pound
Savage narrative, every verse that I write bursts light
Brings awareness to my personal life
After my morning walk, Havana cigar, the ganja spark
See my doctor more, sweat in the sauna or the spa
Spendin' fifty large at the Bellagio
Spent twenty on a bad bitch I hardly know
New girl every night, two girls was every other night
Sexual addiction, gangster tradition
They wanna fuck me, have me under they belt, slightly offended
Yeah, that's how I felt, that's how it ended
I'm just good at existin', existin' in my truth
As long as I enjoy the fruit, yeah

[Chorus: The-Dream]
Adam and Eve
Don't fall too far from the apple tree, ayy
Adam and Eve, Adam and Eve
Don't fall too far from the apple tree, apple tree

[Verse 3: Nas]
What come first, peace or the paper?
Before I had a piece of paper, peace was in my favor
Before I sat to eat at the table, it had leeches and traitors
Cut the fat from the meat, extract the weak, bon appetit
No bacon, brothers is swine
It's so hard to trust 'em 'cause my hustle is mine
It's evident they all the same, with gray hair and still mean muggin'
Gray hairs of wisdom, that means you seen somethin'
Say somethin', you stay frontin'
But these clowns got false crowns, fictitional kings
You broke my heart, Fredo
You bring this thing of ours down to a fable
Be advised my guys dyin', enterprisin' at a boss's table
There's always room at my table
Insecurities is keepin' you disabled
All this money to get, is there less time?
They ain't stopped printin' money, 'cause they made mine
I learned to stretch time, these are the best times
I'm in my neighborhood in stadiums, the Mets' kind
With restaurants and Carbone, spicy rigatoni
Go hard, a red Bordeaux, oh God

[Chorus: The-Dream]
Adam and Eve
Don't fall too far from the apple tree, ayy
Adam and Eve, Adam and Eve
Don't fall too far from the apple tree, apple tree",Nas,Adam and Eve,The-Dream
"[Intro: Nas]
R-A-W
R-A-W

[Post-Chorus: Nas]
Fuck outta here, second guessin' our love
Dick Tracy, detective, inspectin' hoes need a hug
You need to detect this dick, get your ass out the club
Get a cookbook, you gossipin', watchin' hip-hop & love, uh

[Verse 1: Nas]
I don't mean to be brass, even a genius asks questions in class
Supposed to know a love that'll last
Her friends, they don't mess with rappers, correction
I'm Akhenaten, King Tut's predecessor
I fantasize, and no mind him, I'm slick with words
Tell your girlfriend I flip the birds
She don't know shit, I am your neighbor
Brother, homie, love, a friend to smoke with
I want us to take road trips, fuck that low shit
I'm on some more 'everybody-should-know' shit
Or let's be real discreet
Everybody lies, not everybody Nas
So your friend might hate (Ayy)
When was the last time her and a man was straight? (Ayy)
Just chill, light bulbs dim (Ayy)
You are my adult film

[Chorus: Swizz Beatz and Nas]
Life begins right now
Life begins right now (My adult film)
Life begins right now (My adult film)
Life begins right now (R-A-W)
No matter what they say (You are, you are, my adult film)
Life begins right now (You my, you my, R-A-W)
Life begins right now
Life begins right now

[Post-Chorus: Nas and Swizz Beatz]
Fuck outta here, second guessin' our love (Hey)
Dick Tracy, detective, inspectin' hoes need a hug
You need to detect this dick, get your ass out the club (Hey)
Then pick a good book, so we can both get our knowledge up, uh-huh

[Refrain: Swizz Beatz]
Life begins right now
Life begins right now
Life begins right now
Life begins right now
No matter what they say
Life begins right now
Life begins right now
Life begins right now

[Bridge: Nas]
The end of your comfort zone is the start of your life
The end of your comfort zone is the start of your life
You start to get comfortable after you get it right
Yeah, you start to get comfortable after you get it right

[Verse 2: Nas]
Misogynistic monologue what we dialogue
Yeah, I'm mature from the chest, and higher North
But below the waist, I'm a dog
Your girl in heat like cayenne sauce
She so sweet, but she kinda lost
Like me, African name with a diamond cross
But you a strong, stand-tall soldier
They lean on you, expecting you not to fall over
Like you never feel pressure, like you made of steel
So I absorb your pain, I like to see you chill
Eight millimeter cinematic celluloid
I see us both, little girl, little boy
Explorin' the world, similar, virgins became experienced
We both like it in front of mirrors, and this shit start weighin' on me
Feel your good vibes layin' on me
When them light bulbs dim
Lemme watch you, my adult film

[Chorus: Swizz Beatz and Nas]
Life begins right now
Life begins right now (My adult film)
Life begins right now (My adult film)
Life begins right now (R-A-W)
No matter what they say (You are, you are, my adult film)
Life begins right now (You my, you my, R-A-W)
Life begins right now
Life begins right now

[Post-Chorus: Nas and Swizz Beatz]
Fuck outta here second guessin' our love (Hey)
Dick Tracy, detective, inspectin' hoes need a hug
You need to detect this dick, get your ass out the club (Hey)
Then pick a good book, so we can both get our knowledge up, uh-huh

[Outro: Swizz Beatz]
Life begins right now
Life begins right now
Life begins right now
Life begins right now
No matter what they say
Life begins right now
Life begins right now
Life begins right now
Hey
Hey",Nas,Adult Film,Swizz Beatz
"[Produced by Dave Atkinson & Trackmasters]

[Intro: AZ]
This is what, this what they want, huh?
This is what it's all about?
Time to take Affirmative Action, son
They just don't understand, you kna'mean?
Niggas comin' sideways, thinkin' stuff is sweet, man
Niggas don't understand the four devils
Lust, envy, hate, jealousy—wicked niggas, man

[Verse 1: AZ]
Yo, sit back, relax, catch your contact
Sip your con-gi-ac
And let's all wash this money through this laundromat
Sneak attack, the new cats in rap worth top dollar
In fact, touch mines and I'll react like a Rottweiler
Who could relate? We play for high stakes at gunpoint
Catch 'em and break
Undress 'em, tie 'em with tape, no escape
The Corleone, fettuccine Capone
Roam in your own zone
Or get kidnapped and clapped in your dome
We got it sewn, The Firm art of war is unknown
Lower your tone, face it, homicide cases get thrown
Aristocrats, politickin' daily with diplomats
See me, I'm an official mack, Lex Coupe triple black

[Verse 2: Cormega]
Criminal thoughts in the blue Porsche
My destiny's to be the new boss
That nigga Paulie gotta die, he too soft
That nigga's dead on, a ki of heroin
They found his head on the couch with his dick in his mouth
I put the hit out
Yo, the smoothest killer since Bugsy, bitches love me
In Queens where my drugs be, I wear Guess jeans and rugbies
Yo, my people from Medina, they will see ya when you re-up
Bring your heater, all your cream go between us
Real shit, my Desert Eagle got an ill grip
I chill with niggas that hit Dominican spots and steal bricks
My red beam made a dread scream and sprayed a Fed team
Corleone be turnin' niggas to fiends
Yukons and ninja black Lexus
'Mega the pretty boy with mafia connections
It's The Firm, nigga, set it

[Verse 3: Nas]
Yo, my mind is seein' through your design like Blind Fury
I shine jewelry, sippin' on crushed grapes, we lust papes
And push cakes inside the casket at Just wake
It's sickenin', he just finished biddin' upstate
And now the projects is talkin' that somebody-gotta-die shit
It's logic, as long as it's nobody that's in my clique
My man Smoke know how to expand coke in Mr. Coffee
Feds cost me two mill' to get the system off me
Life's a bitch, but God forbid the bitch divorce me
I'll be flooded with ice, so Hell fire can't scorch me
Cuban cigars, meetin' Foxy at Demars, movin' cars
Your top papi Señor Escobar

[Verse 4: Foxy Brown]
In the black Camaro, Firm deep
All my niggas hail the blackest sparrow
Wallabee's be the apparel
Through the darkest tunnel
I got visions of multi millions in the biggest bundle
In the Lex pushed by my nigga Jungle
E Money bags got Moët Chandon
Bundle of sixty-two
They ain't got a clue what we about to do
My whole team, we shittin' hard like Czar
Sosa, Foxy Brown, Cormega and Escobar
I keep a fat marquess piece, laced in all the illest snake skin
Armani sweaters, Carolina Herrera
Be The Firm, baby, from BK to the Bridge, my nigga Wiz
Operation Firm Biz, so what the deal is?
I keep a phat jew-el, sippin' Cristy
Sittin' on top of fifty grand in the Nautica Van
We stay incogni' like all them thug niggas in Marcy
The gods, they praise Allah with visions of Gandhi
Bet it on my whole crew is Don Juan
On Cayman Island with a case of Cristal
And Baba Shallah spoke
Nigga with them Cubans that snort coke
Raw though, an ounce mixed with leak, that's pure though
Flippin' the bigger picture
The bigger nigga with the cheddar was mad dripper
He had a fuckin' villa in Manilla
We got to flee to Panama, but wait, it's half-and-half
Ki's is one and two-fifth, so how we flip?
32 grams raw, chop it in half, get 16
Double it times three, we got 48
Which mean a whole lot of cream
Divide the profit by four
Subtract it by eight, we back to 16
Now add the other two that 'Mega bringin' through
So let's see, if we flip this other ki
Then that's more for me, mad coke and mad leak
Plus a five hundred cut in half is two-fifty
Now triple that times three
We got three quarters of another ki

[Outro: Foxy Brown]
The Firm, baby, Vol. 1",Nas,Affirmative Action,"Cormega, AZ, Foxy Brown"
"[Intro: Nas & (Flo Simpson)]
Yo, it's like waking up, from a bad dream (America)
Just to figure out, you wasn't dreaming in the first place (no)

[Verse 1: Nas]
If all I saw was gangsters coming up as a youngster
Pussy and money the only language I clung to
Claim to, I mold myself up to become one
Ain't ya happy I chose rap? I'm a monster
Streets deceiving, can't believe my achievements
Cultural strata, persona's that of a non-needer
Cause I don't need nada 'cept for Prada beaver
For cold winters, tattoos got my summer sleeveless
To my G's on the flee from the coppers
Stiff bodies on freeze in funeral parlors
From the slums I come up, a phoenix caked up
Trying to take what I'm eating came up
A dismissive kid
You lucky if you allowed to witness this
Savvy, mild, wild hardly
A man's man, who would've knew the beach houses and wild parties
Jezebels and Stella McCartneys
For years, all that, how can I not be dead?
This old German said I was a thug with a knotty head
Looked at my Benz and called that a Nazi sled
With a face like he wonder where I got my bread
Probably all these stones he see, from my shows overseas
From crime to rhyme
My story is I'm from the home of the thieves

[Chorus: Nas, (Flo Simpson) & Both]
America (Americaaaaaa), pay attention
Wake up (Americaaaaaa), this is not what you think it is
America (Americaaaaaa), pay attention
This is not what you think it is

[Verse 2: Nas]
Blessed, the Lord is a G, he gotta be
Who's the God of suckers and snitches? The economy
Lipstick from Marilyn Monroe blew a death kiss to Fidel Castro
He'd want me to spit this
Only the strong survive, Nas bear witness
The hypocrisy is all I can see
White cop acquitted for murder, black cop, cop a plea
That type of shit make me stop and think
We in chronic need of a second look of the law books
And the whole race dichotomy
Too many rappers athletes and actors
But not enough niggas in NASA
Who give you the latest dances, trends and fashion?
But when it comes to residuals, they look past us
Woven into the fabric, they can't stand us
Even in white tees, blue jeans and red bandanas

[Chorus: Nas, (Flo Simpson) & Both]
America (Americaaaaaa), pay attention
Wake up (Americaaaaaa), this is not what you think it is
America (Americaaaaaa), pay attention
This is not what you think it is
America (America, Americaaaaaa
This is not what you think it is)

[Verse 3: Nas]
Assassinations, diplomatic relations
Killed indigenous people built a new nation
Involuntary labor, took a knife split a woman naval
Took her premature baby, let her man see you rape her
If I could travel to the 1700s
I'd push a wheelbarrow full of dynamite through your covenant
Love to sit on the Senate, and tell the whole government
Y'all don't treat women fair, she read about herself in the Bible
Believing she the reason sin is here
You played her, with an apron like, ""Bring me my dinner dear""
She the 'nigga' here, ain't we in the free world?
Death penalty in Texas kill young boys and girls
Barbarity, I'm in the double-R casually
Bugging how I made it out the hood, dazzle me
How far are we really from third world savagery?
When the empire fall, imagine how crazy that'll be

[Chorus: Nas & (Flo Simpson)]
America (Americaaaaaa, Americaaaaaa)
America (Americaaaaaa
This is not what you think it is)
America (Americaaaaaa, ohh
This is not what you think it is)

[Outro: Nas]
America",Nas,America,
"{'Political'}

Newscaster: ""Recently there has been an emergence of socially
Conscious and political rappers. It seems to be
A new trend in the Hip-Hop world.""

*DJ scratches sample* {'Nas is a rebel to America!'}3X*
(Yeah, check it, uh)

[Vers 1: Nas]
Spot build-rocker, lil' papa killed Hoffa
Beard little longer, feel strong and I'll stop ya
Drill sergeant, still thorough wheelbarrows of distilled vodka
Get me real bonkers like Will Ferrell on cat tranquilizer
Rap guys get bank and think they messiahs, but they liars
Vote fo who now? You're red, white and blue?
I'm American too, but I ain't with the president's crew
What you peddlin' and who you peddlin' to?
You ain't got the ghetto with you
Try'na lead my sheep to the slaughterhouse
Talkin 'bout +Rap the Vote+, you ain't thought about
The black vote mean nathan, who you gonna elect
Satan or Satan? In the hood nothin is changin, uh
We ain't got no choices who to choose
Ten-years ago they were tryin to stop our voices
And end Hip-Hop, they some hypocrites
Condoleeza Rice, I don't really get this chick
Tell her if she ever really cared about poor schools
About poor children, then she gotta prove that she
Ain't just another coon Uncle Tom fool
Like these MCs, gotta give 'em the rules
Lie to the youth, Uncle Tom you confused
Might as well give the Hip-Hop community a noose
Need a truce with the gangs and some food for the hungry
On Kerry nuts, he look at you like a monkey
You MCs on that old slavery path
The Bushs'll look at yo' ass and laugh
See, it's all about community, let's help ourselves
Cops brutalize us get dealt with with shells
It's our turn, it's 'bout time we win
Need somebody from the hood as my councilman, uh

[Hook: Kelis]
Yeah I think about this every day, that's the American Way, shit
Yeah I think about this every day, that's the American Way, shit
Yeah I think about this every day, that's the American Way, shit
Yeah I think about this every day, that's the American Way, shit

[Verse 2: Nas]
Up in the steam room chillin', exfoliating the skin
Israeli men conversatin' on ends
Probably businessmen, I sense good taste
And they watch us, the spots an expensive place
Manhattan New York, I'm tryna keep steamin'
It's good for the lungs, had plans for the evening
This man leans in, his boys laughing
Now I'm the spokesperson for Black men, this always happens
Since all Black women care about is who got dough
And all we do is call them either bitch or a black ho
I say first brotha you ain't gotta be that cold
Since you ignorant, I'ma show you how the facts go
The biggest example in scandal of history
Were Monica Lewinksy or Donald Trump's pimping spree
Most women who love Givenchy or Gucci
Are pretentious non-Black groupies or floozies
But who are we to blame, not the dames
It's a man-made game, in essence our woman the same
Beautiful creatures, Black girls birthed the earth
So they deserve the Hermes purse
Matter fact, I'm about to go shopping with my dime
Catch you cowards the next time, the next rhyme, uh

[Hook: Kelis]
Yeah I think about this every day, that's the American Way, shit
Yeah I think about this every day, that's the American Way, shit
Yeah I think about this every day, that's the American Way, shit
Yeah I think about this every day, that's the American Way, shit

[Verse 3: Kelis]
I don't care about the runaways, I don't care about who's gay
I don't care about dying of AIDS, but I care if I got paid
Who even cares about the president?
I think we're making a mistake
I don't care about the hurricane as long as my family's safe
I don't care about the candidates, they burnt this country to bits
Yeah I think about this everyday, that's the American Way (Nas: Uh)

[Kelis]
Can we make a change, you know it's not overnight
Let's start the fight (Nas: And ya don't stop, uh)
Can we make a change
You know it's not overnight
Let's start the fight (Nas: Yeah)
Yeah I think about this everyday, that's the American Way

{'Nas is a rebel to America!'}",Nas,American Way,Kelis
"[Verse 1: Nas]
I walk the blocks like whatever god, my message to y'all feds
Who desperate to arrest us young, benevolent hardheads
Abercrombie & Fitch rockin', wrist glistenin' marksman
Hitchcock of Hip-Hop since Big Pop departed
The project logic is still salute the dead, Glocks spit
Pour some juice out for those in Manchester, Beaumount
Otisville, Lewisberg, Fort Dix, Fort Worth, Oakdale
Every fed jail where all my dawgs lurk
War hurts much to gain 'til the day we all say
May your pain be champagne then we all blaze away
At our enemies, may they die easily
Long as they perish forever's what freedom means to me
Blowin' greenery, growing eager to see evil things
Thrown away, zonin' grey, GT, Diesel jeans
Airs and Chucks, solitaires, stones with the rarest cuts
On some Pretty Tone shit, haircut looks airbrushed
And they're aware of us though
And we don't give a flyin' 747 fuck though
Stayin' on my hus-tle

*beat change*

[Verse 2: Nas]
A message to those who trapped us up
From federal guys who backed them up
We never will die, we black and tough
Lead in your eye, we strapped to bust
Half of us been locked up inside the beast
Look at the time we see
Brooklyn to Compton streets, Queens
Even the Congo needs dreams
Our bullets and triggers our enemies
Pullin' on innocent women and children
It wasn't no ghetto killers
Who mixed up the coke and put guns in our buildings
But I'm not gon' cry and I'm not gon'
Just stand and watch you die
I'mma pass you a .9, I'mma grab your hand
Come on let's ride
A message to those who killed the king
Who murdered the Christ, the same regime
What God has built you never can break
What God has loved you never can hate
Man makes rules and laws
You just a ruthless dog, your kennel is waiting
You devils will run back into the caves you came from
Whenever that day comes, forty-acres
Plantations, see every race won
Sincerely yours, Street's Disciple, revelations",Nas,"A Message to the Feds, Sincerely, We the People",
"[Nas]
First I see a flashin' light, then on my own
I hear nothin', the smell of fire in brimstone
I feel hundreds arms grabbin' me, fallin' down the hole
Is it because there is no Gravity my body leaves my Soul
Is the Devil mad at me? will I go to Hell?
Or is it Heaven that awaits me?, is too early to tell
Is it now that I'm to be judged?
Will I face thee bright tunnel warm lights?
Will embrace me before force takes me
Like I'm movin' through high winds
See my self in baby carriages, relatives and friends
Things manifest, kings from every planets rest here
Beams of light hear the voice of the Nazareth near

[Hook: Nas]
You 'Amongst Kings' from both far near land
Made in my image son of God son of man
You came in the spirit for I am that I am
Father of all worlds Fallen Angel and the Lamb

[Nas]
Seen my body layin' down in the ground
It was painless, didn't feel a thing
Shots ring felt the anxious to get up and run
I was atheist, committed Suicide
I wish I could erase this shit
I seen a new life before the Christ
He created night & day, the sun & moon
From the virgin woman's womb
We lookin' down at my body, emergency room
Doctors frownin' at me surgical performs, I'm doomed
It's my day of judgment, eternal peace & fire
Far past the stars far past the Orion
I asked that you forgive father, I was tryin'
Many thrones in the light but only one's truly shinin'

[Hook]

[Nas]
Faster then the blinkin' eye, is the master and I
Face to face (uh) fightin' my case so we debate (where?)
Countin' all my sins (ok), where do we begin
When I stabbed the man in the train station or drunk gin
When I grabbed the man let the shells hit him from the Mac 10
It was all retaliation, (from what?) from way back then
Now I got the black Benz (and) trips from Aspen (and)
Disney World for my little girl and I'm askin'
You would recognize all the good deeds I'm worth (Dear God)
Send me on a trip God please the Earth
So I can deliver thou want it, stop playin'
He gave me life, I screamed out loud that ""I Am...""
(Nas... Nastradamus)

[Outro: Nas]
And I saw another mighty angel come down from Heaven (I Am)
Clothe wit the cloud (Nastradamus)
And the rainbow was upon his head as a Crown (I Am)
And his face was lit as were the Sun (I Am)
And his feet as pillars of fire (Nastradamus)
And his name was Nastradamus (I Am)
(I Am Nastradamus)
Nas...
Nas...
Nas...",Nas,Amongst Kings,
"[Produced by Salaam Remi]

[Verse 1]
Uhh, rest in peace to Black Just
Riding through Jamaica Queens in his black truck
Timbs was forty below, waves to the side of his dome
Definition of good nigga, yo
Gangsters don't die, niggas only become immortal
Angels don't only fly, they walk right before you
In front of you
It’s foul what this money could do
Cash corrupts the loyal
I hung with E-Money too, the fucking truth
Fucking with Stretch from Live Squad
I could’ve died the same night that Stretch died
I just got out of his ride
He dropped me off and drove to Springfield
November 30th, another Queens king killed
It fucked me up, y’all
I was just trying to make it with Steve Stoute
The legal way, drug-free route
Back in the days, they was sleeping on us
Brooklyn keep on taking it, Manhattan keep on making it
Trying to leave Queens out
But we was pulling them Beems out, them M3's out
Pumping bringing them D's out
Rastas selling chocolate weed inside of a weed house
Colosseum downstairs, gold teeth mouth
Astoria warriors, eight street, twin buildings
Vernon, can’t even count the Livingston children
Justice in Ravenswood, nice neighborhood
Caught sleeping out there, be a wrap though
Bridge niggas be up in Petey’s ten racks, yo
A simple bet on a serious cash flow
Get money, Manolo, welcome home Castro
Queensbridge unified all I ask for
Let's do it for DU, say what up to Snacks, yo
I just salute real niggas when I pass through, uhh...

[Verse 2]
Niggas is very hungry for that bank robbery
Bury money, trying to get to a Benz from a Hyundai
The Queens Courthouse right next to the cemetery
Niggas' rap sheets look like obituaries
You be starving in Kew Gardens
Bolognas and milk from a small carton
You could still feel chills from the team on 118
My nigga Bim fly by like it's a dream
His face on his Shirt Kings
Laced in a pinky ring, in his black Benz murking
Back when Black Rock and Ron was on the map
Cheeba in yellow sacks, dope sold in laundromats
Thugs bark, getting amped from weed
Over the heart of champions, see
Ever since back then, a nigga been about the dough
(You all know how the story GO!)

[Verse 3]
""Any other real niggas in the world besides us?"" I ask
Probably is, but odds are we’ll never cross paths
Put your glass high if you made it out the stash spot
And here to tell a story and celebrate the glory
Drinks in the air for my niggas not here
This how we do, I see you DU
Queens to the heavens, salute the hood legends
Crack the Patrón, Hennessy and Glenlivets
Champagne bottles drowning out the sorrows
Hope the memories'll get us through tomorrow
I'm a real OG 'cause back in '93
Niggas couldn't fuck with me, sipping 'gnac since I was little
Laid back in a rental
Mouth shining, Eddie’s gold caps all up in the dental
Nigga getting money now
But you know I'm still mental but not simple
Put your glass high if you made it out the stash spot
And here to tell your story and celebrate the glory
Drinks in the air for my niggas not here
This for the fallen soldiers, hold it down, I told you
Pop another bottle and keep the smoke rolling

[Verse 4]
Watch the calm realest channel his mom's spirit
Goosebumps cover me, mother's here, I could feel her
Blood of Christ covers me, our savior and healer
Drug prices up or down, I know a few dealers
And some accident murderers, they act like they killed on purpose
Liars brag they put work in
You ain't mean to murk him, your gun's a virgin
Better stay on point, if not it's curtains
Bebo Posse reincarnated through me probably
If music money didn't stop me
I never claimed to be the toughest
Though I'm to blame for a few faces reconstructed
It's the game that we was stuck with
Now I'm the only black in the club with rich Yuppie kids
Sad thing, this is the top, but where the hustlers went
No familiar faces around, ain't gotta grab the musket
It's all safe and sound, champagne by the bucket
Where them niggas I shouted out on my first shit
Bo cooking blow, fuck is Slate at? Where Turkey went?
Old videos show niggas that was murdered since
Another reason to get further bent
Put your glass high if you made it out the stash spot
And here to tell your story and celebrate the glory
Drinks in the air for my niggas not here
This for the fallen soldiers, hold it down, I told you
Pop another bottle and keep the smoke rolling",Nas,A Queens Story,
